,input_en,output_de,gt_de
55,A man in a pink shirt is sitting in the grass and a ball is in the air.,Ein Mann mit rosa Hemd sitzt im Gras und ein Ball,Ein Mann in einem pinken Hemd sitzt auf dem Gras und ein Ball ist in der Luft.
56,A car parked at the beach.,Ein Auto ist an einem Strand geparkt.�,Ein am Strand geparktes Auto.
57,Two men wearing black in a city,"Zwei Männer, die schwarz gekleidet sind, in einer Stadt",Zwei Männer in Schwarz in einer Stadt
58,The man in the yellow pants is raising his arms.,Der Mann mit der gelben Hose hebt seine Arme hoch.,Der Mann in der gelben Hose hebt seine Arme.
59,Two men wearing hats and using walking sticks are walking near a body of water during sundown.,Zwei Männer mit Hüten und Stöcken gehen bei Sonnenuntergang,Zwei Männer mit Hüten und Spazierstöcken schlendern neben einem Gewässer bei Sonnenuntergang.
60,A cheerleading team doing a routine on chairs.,Eine Cheerleader-Gruppe führt eine Routine auf Stühlen vor,Ein Cheerleaderteam macht eine Übung auf Stühlen.
61,A boy is playing checkers with an adult shown off-screen while a girl looks on.,"Ein Junge spielt mit einem Erwachsenen Schach, während ein Mädchen zus",Ein Junge spielt mit einem Erwachsenen außerhalb des Bildes Dame während ein Mädchen zusieht.
62,A crowd of people out for some fun in public park.,"Eine Menschenmenge, die sich für etwas Spaß im Park trifft","Eine Gruppe Menschen, die sich in einem öffentlichen Park amüsieren wollen."
63,A man sits on a bench holding his dog and looking at the water.,Ein Mann sitzt auf einer Bank und hält seinen Hund an der,Ein Mann sitzt auf einer Bank während er seinen Hund hält und aufs Wasser blickt.
64,A boy and his younger brother playing together at the playground.,Ein Junge und sein jüngerer Bruder spielen zusammen auf dem Spiel,Ein Junge und sein jüngerer Bruder spielen gemeinsam auf einem Spielplatz.
65,A woman in blue looks in a black leather bag while sitting on a bench during a sunny afternoon while people and limousines passed behind her.,Eine Frau im blauen Kleid schaut während der sonnigen Nachmittag,Ein blau gekleidete Frau sieht in eine schwarze Ledertasche während sie an einem sonnigen Nachmittag auf einer Bank sitzt und Menschen und Autos hinter ihr vorbeiziehen.
66,The brown dog is standing on the sandy beach.,"Der braune Hund steht am Sandstrand.[
�",Der braune Hund steht auf dem Sandstrand.
67,"A woman is sitting with a basket of cloth, surrounded by cloth.",Eine Frau sitzt mit einem Tuchkorb um sich herum.�,"Eine Frau Sitzt mit einem Korb voller Stoff, umgeben von Stoff."
68,A man is grilling out in his backyard.,"Ein Mann grillt im Hinterhof.<unused64>
0assistant",Ein Mann grillt im Freien in seinem Hof.
69,A woman sings in a club with a guitarist behind her.,"Eine Frau singt in einem Club, hinter ihr ist ein",Eine Frau singt in einem Klub mit einem Gitarristen hinter ihr.
70,Guitar player performs at a nightclub red guitar.,Gitarristen spielt in einer Kneipe mit roter Gitarre,Gitarristin spielt in einem Nachtklub auf einer roten Gitarre.
71,A child sitting on a lawn chair looking up at the camera,Ein Kind sitzt auf einem Gartenstuhl und schaut in die Kamera,Ein Kind sitzt auf einem Gartenstuhl und sieht zur Kamera auf
72,Two ladies and three men looking at the ocean.,Zwei Damen und drei Männer schauen auf den Ozean.0,Zwei Frauen und drei Männer blicken auf den Ozean.
73,A female performer with a violin plays on a street while a woman with a blue guitar looks on.,"Eine Künstlerin mit Geige spielt auf der Straße, während",Eine Musikantin mit einer Violine spielt auf der Straße während eine Frau mit einer blauen Gitarre zusieht.
74,A young girl swimming in a pool,Eine kleine Mädchen schwimmt im Schwimmbecken.�,Ein junges Mädchen schwimmt in einem Pool
75,Several children are outdoors getting ready to play tug-of-war.,"Mehrere Kinder machen sich im Freien bereit, für einen Seil",Mehrere Kinder sind im Freien und bereiten sich auf Tauziehen vor.
76,Three teenagers in a subway playing around.,Drei Teenager spielen auf der U-Bahn herum.[,Drei Teenager in einer U-Bahn albern herum.
77,A brown dog walks in the grass with its tongue hanging out.,Ein brauner Hund läuft mit der Zunge heraus im Gras,Ein brauner Hund läuft durchs Gras und seine Zunge hängt heraus.
78,"People sitting in the grass outside a building, taking a break.",Menschen sitzen im Gras vor einem Gebäude und machen eine Pause.,Leute sitzen vor einem Gebäude im Gras und machen Pause.
79,Shirtless guy staring off in the distance while three woman are walking past a crowd sitting outside a cafe.,Ein Mann mit freiem Oberkörper starrt nach vorn und,Mann ohne Hemd starrt vor einem Café in die Ferne während drei Frauen an einer Menschenmenge vorbeigehen.
80,Two young boys putting fruit on the bike.,"Zwei kleine Jungen legen Obst auf den Fahrrad.�
<unused64>",Zwei Jungen packen Obst auf das Fahrrad.
81,"A man in a black t-shirt, cap and jeans is playing drums on an upside down yellow pail.",Ein Mann im schwarzen T-Shirt mit Kappe und Jeans,Ein Mann in einem schwarzen T-Shirt spielt Trommel auf einem umgedrehten gelben Kübel.
82,A young female artists paints an image of a woman on a wall.,Eine junge Künstlerin malt auf eine Wand ein Bild einer Frau,Eine junge Künstlerin malt ein Bild einer Frau auf eine Wand.
83,Two female members of team USA performing a jump high-five surrounded by two other female members.,Zwei Mitglieder des US-Teams machen einen Hochsprung und werden,"Zwei Spielerinnen der US-Nationalmannschaft klatschen im Sprung ab, umgeben von zwei weiteren Spielerinnen."
84,A man stirring a pot of liquid in this kitchen.,Ein Mann schüttelt eine Pot mit Flüssigkeit in dieser Küche,Ein Mann rührt in einem Topf in seiner Küche.
85,The boy is wakeboarding on the lake.,"Der JungeWAKEBoards auf dem See.0
�assistant",Ein Junge beim Wakeboarden auf dem See.
86,A man is working a hotdog stand.,Ein Mann arbeitet bei einem Hot-Dog-Stand.�,Ein Mann arbeitet an einem Hotdog-Stand.
87,A large group of people of various ages and genders sit outside together.,Eine große Gruppe verschiedener Alters und Geschlechter sitzt draußen zusammen.,Eine große Gruppe von Menschen unterschiedlichen Alters und Geschlechts sitzt gemeinsam im Freien.
88,A blond-haired woman is pouring drinks at a bar.,Eine blonde Frau gießt Drinks in einer Bar aus.0,Eine blonde Frau schenkt an einer Bar Getränke ein.
89,A small child wearing a blue and white t-shirt happily holding a yellow plastic alligator.,Ein kleines Kind in einem blauweißem T-Shirt hält,Ein kleines Kind in einem blau-weißen T-Shirt hält glücklich einen gelben Plastik-Alligator.
90,A woman with pink hair dressed in black talks to a man.,Eine Frau mit rosafarbenen Haaren und schwarzer Kleidung,Eine schwarz gekleidete Frau mit rosa Haaren spricht mit einem Mann.
91,The man in a Japanese cooking suit is preparing a meal for two people.,Der Mann im japanischen Kochanzug bereitet eine Mahlzeit,Der Mann im japanischen Kochgewand bereitet ein Essen für zwei Personen zu.
92,"A girl hops across the river, from rock to rock.",Ein Mädchen hüpft über den Fluss von Felsen zu Fels,Ein Mädchen springt von Fels zu Fels über den Bach.
93,A male worker with his tool box is kneeling next to two women.,Ein Arbeiter mit seiner Werkzeugkiste kniet neben zwei Frauen,Ein Arbeiter mit Werkzeugkiste kniet neben zwei Frauen.
94,An older man is opening his arms wide and looking perplexed.,Ein älterer Mann öffnet sich weit aus und blickt verw,Ein älterer Mann breitet seine Arme aus und blickt verblüfft.
95,A child in a white karate outfit practicing a move,Ein Kind mit weißem Karate-Outfit übt ein Trick.,Ein Kind in einem weißen Karateanzug übt eine Bewegung.
96,Three men in same colored vests are in the outdoors.,Drei Männer mit denselben bunten Westen sind draußen.�,Drei Männer in gleichfarbigen Westen halten sich im Freien auf.
97,A woman takes a picture of a baby wearing a pink hat while a man carries her.,"Eine Frau macht ein Foto von einem Baby, das eine ros","Eine Frau macht ein Bild von einem Baby mit rosa Mütze, das von einem Mann getragen wird."
98,A group of mostly asian children sitting at cubicles in blue chairs.,Eine Gruppe von fast allem Asiaten sitzt auf Sitzen im,Eine Gruppe überwiegend asiatischer Kinder sitzt in Arbeitsnischen verteilt auf blauen Stühlen.
99,A young boy in a soccer uniform crying into his palms.,Ein kleiner Junge im Fußballtrikot weint ins Ohr hinein,Ein kleiner Junge im Fußballdress hält die Hände vors Gesicht und weint.
100,A happy woman is preparing a refreshment at a coffee shop.,Eine fröhliche Frau bereitet in einem Café ein Getränk,Eine glückliche Frau bereitet in einem Coffee-Shop eine Erfrischung zu.
101,A construction worker is driving heavy equipment at a work site.,Ein Bauarbeiter fährt bei der Arbeit mit schweren Maschinen.<unused64>,Ein Bauarbeiter bewegt schweres Gerät auf einer Baustelle.
102,"A woman runs after making a hit in women's softball, the catcher rises to her feet.",Eine Frau rennt nach einem Schlag auf dem Softballfeld und,Eine Frau läuft beim Softball nach einem erfolgreichen Schlag los während die Fängerin sich erhebt.
103,A man in a work uniform passing a tool to another person.,Ein Mann im Arbeitsanzug übergibt einem anderen Menschen ein Werkzeug,Ein Mann in Arbeitskleidung reicht einer anderen Person ein Werkzeug.
104,A group of people are climbing in cold weather.,Eine Gruppe von Menschen klettert im kalten Wetter.,Eine Gruppe klettert bei kaltem Wetter.
105,A mountaineer about to descend down a mountain with a blue helmet on.,"Ein Bergsteiger mit einem blauen Helm, der einen Ab",Ein Bergsteiger mit einem blauen Helm beginnt mit dem Abstieg.
106,A man doing handstand on top of a round statue.,Ein Mann macht einen Handstand auf einer rundlichen Statue.,Ein Mann macht einen Handstand auf einer runden Skulptur.
107,A child sitting at a restaurant table holding a paper mask against his face.,Ein Kind sitzt an einem Tisch im Restaurant und hält eine Papier,Ein Kind sitzt an einem Restauranttisch und hält eine Papiermaske vors Gesicht.
108,A brown dog wades into a lake to retrieve a stick.,"Ein brauner Hund badt sich in ein See, um","Ein brauner Hund watet in einen See, um einen Stock zu holen."
109,A mother teaches her two young boys to fish off of a rocky coast into very blue water.,"Eine Mutter lehrt zwei kleinen Jungen, wie man vom Felsen",Eine Mutter bringt ihren zwei kleinen Söhnen an einer felsigen Küste mit sehr blauem Wasser das Angeln bei.
110,A little kid is walking next to red banners.,Ein kleines Kind geht neben roten Bannern spazieren.�,Ein kleines Kind läuft neben roten Stühlen.
111,A girl sits on a decorated bike with a younger boy while another girl takes a picture.,Ein Mädchen sitzt auf einem mit Dekorationen bemalten Fahrrad,Ein Mädchen sitzt mit einem kleineren Jungen auf einem dekorierten Fahrrad während ein weiteres Mädchen ein Foto macht.
112,A black dog is retrieving a ball in water.,Ein schwarzer Hund holt einen Ball aus dem Wasser.<unused64>,Ein Schwarzer Hund holt einen Ball im Wasser.
113,A man in white pants and a blue shirt is kicking a yellow boxing bag.,Ein Mann mit weißer Hose und blauem Hemd kick,Ein Mann in weißen Hosen und einem blauen Hemd tritt gegen einen gelben Boxsack.
114,Two Indian men participating in a ceremony.,Zwei indische Männer nehmen an einem Zeremoniell teil,Zwei indische Männer nehmen an einer Zeremonie teil.
115,A boy with a bruised nose and writing on his hands is standing in a video rental store.,Ein Junge mit einem verbeuchteten Nacken und Text auf,Ein Junge mit verschrammter Nase und bekritzelten Händen steht in einer Videothek.
116,Two silhouetted people paddle a canoe on the ocean during sunset.,Zwei gepolsterte Leute paddeln an einem Sonnenuntergang,Zwei Silhouetten paddeln in einem Kanu auf dem Ozean bei Sonnenuntergang.
117,"People are standing on a crowded subway, and the platform outside is visible through the window.",Menschen stehen in einer überfüllten U-Bahn und der,"Menschen stehen in einer vollen U-Bahn, der Bahnsteig draußen ist durch das Fenster zu sehen."
118,Man scaling wall with fire in hand,Mann klettert mit einer Flamme an der Hand die,Mann erklettert Mauer mit Feuer in der Hand
119,Two brown dogs are running through the snow.,Zwei braune Hunde rennen durch den Schnee.<unused64>,Zwei braune Hunde rennen durch den Schnee.
120,On stage photo of small band performing for theater audience.,"Auf der Bühne ist ein kleines Musikduo, das für die","Bühnenfoto einer kleinen Band, die für ein Theaterpublikum spielt."
121,A baby in a Christmas outfit looks at the camera.,Ein Baby im Weihnachtskleid schaut auf die Kamera.�,Ein Baby im Weihnachtskostüm blickt in die Kamera.
122,A man is sitting next to a computer monitor.,"Ein Mann sitzt neben einem Computerbildschirm.�
0assistant",Ein Mann Sitzt neben einem Computermonitor.
123,This lady has heard a funny joke and laughing.,Diese Dame hat einen lustigen Scherz gehört und lacht,Diese Frau hat gerade einen lustigen Witz gehört und lacht.
124,"People inside of a building, one is taking a photo.",Personen in einem Gebäude und eine Person macht ein Foto.0,"Personen in einem Gebäude, eine von ihnen macht ein Foto."
125,Four white dogs with muzzles jump over a red wall.,Vier weiße Hunde mit Maulkorb springen über eine rote Wand,Vier weiße Hunde mit Maulkörben springen über eine rote Wand.
126,The woman with the blue shirt is holding a baby.,Die Frau mit dem blauen Oberteil hält ein Baby in der,Die Frau im blauen Shirt hält ein Baby.
127,Two people are sitting fishing on striped beach chairs in a body of water.,Zwei Personen sitzen auf gestreiften Strandschühlen am,Zwei Personen sitzen auf gestreiften Liegestühlen und angeln in einem Gewässer.
128,An old woman working at a loom making cloth.,Eine alte Frau arbeitet an einem Webstuhl und macht Stoff.,Eine alte Frau sitzt an einem Webstuhl und stellt Stoff her.
129,A boy standing in the foreground looking out over other people in a court.,Ein Junge steht im Vordergrund und schaut über andere Personen auf einen,Ein Junge im Vordergrund blickt über andere Personen auf einem Platz.
130,A man in a blue coat grabbing a young boy's shoulder.,Ein Mann im blauen Mantel greift nach dem Schultern eines,Ein Mann in einer blauen Jacke hält einen Jungen an der Schulter.
131,Three brown dogs are jumping up at the woman wearing blue.,Drei braune Hunde springen auf die Frau mit blauer,Drei braune Hunde springen an der blau gekleideten Frau hoch.
132,A boy hangs out of a passing taxi cab window,Ein Junge hängt aus dem Fenster eines fahrenden Taxikab,Ein Junge hängt aus dem Fenster eines vorbeifahrenden Taxis.
133,A man in a gray shirt jumps over the top of a sand dune in the desert.,Ein Mann im grauen Oberteil springt über die Spitze,Ein Mann in einem grauen Shirt springt über die Spitze einer Sanddüne in der Wüste.
134,A child wearing a yellow shirt is jumping up and down.,Ein Kind in einem gelben Hemd springt auf und,Ein Kind in einem gelben Shirt springt rauf und runter.
135,A worker in a yellow jacket is hoisted up high to work on a building.,"Ein Arbeiter mit gelber Jacke wird hochgezogen, um","Ein Arbeiter in einer gelben Jacke wird auf ein Gebäude gehoben, um zu arbeiten."
136,A man in Brazil giving an informal talk to young adults.,Ein Mann im brasilianischen Raum spricht eine informelle Rede,Ein Mann in Brasilien unterhält sich mit jungen Erwachsenen.
137,A bunch of beer pull tabs at a bar with Christmas lights on the ceiling.,Eine Gruppe Bierpull-Tabs auf einer Bar mit Weihnachtslichte,Ein paar Bier-Zapfhähne in einer Bar mit Weihnachtsdekoration an der Decke.
138,A man is abseiling down a cliff over the ocean.,Ein Mann klettert über einen Felsen in der Nähe des,Ein Mann seilt sich an einer Klippe über dem Ozean ab.
139,A man in black is walking to his truck in the snow.,Ein schwarz gekleideter Mann geht zu seinem Lkw im,Ein Mann in schwarz geht im Schnee zu seinem Fahrzeug.
140,A fox terrier leaps after a ball.,"Ein Fox Terrier springt nach einem Ball.0
q",Ein Foxterrier springt nach einem Ball.
141,A female police officer in a cap and navy uniform smiles while wearing sunglasses outside of a shop.,Eine Polizistin mit Hut und einer dunkelblauen Weste,Eine Polizistin mit Mütze und blauer Uniform trägt eine Sonnenbrille und lächelt vor einem Geschäft.
142,A Family going for a walk in a park.,,Eine Familie spaziert durch einen Park.
143,A man in a green hard hat and yellow safety vest frowns.,Ein Mann mit einem grünen Schutzhelm und gelber Sicherheitsw,Ein Mann mit einem grünen Schutzhelm und Sicherheitsweste blickt ernst.
144,"Child with pink strings on head dancing surrounded by confetti, balloons.",Kind mit rosafarbenen Strängen am Kopf tanzt in,Ein Kind mit pinken Fäden auf dem Kopf tanzt umgeben von Konfetti und Ballons.
145,A dog with a snub nose smells for something on a riverbank.,Ein Hund mit schlanker Nase sucht etwas auf einem Ufer,Ein Hund mit Stupsnase schnuppert nach etwas an einem Flussufer.
146,A man prepares his local stand for the days business.,Ein Mann bereitet sein Stand für den Geschäftstag vor.,Ein Mann bereitet seinen Stand für das Tagesgeschäft vor.
147,A man in a red shirt is about to eat a taco.,"Ein Mann mit einem roten Hemd ist gerade dabei, einen","Ein Mann in einem roten Hemd schickt sich an, einen Taco zu essen."
148,A young lady in white holding a tennis racket,Eine junge Frau mit weißem Oberteil hält einen Tennissch,Eine junge Dame in weiß hält einen Tennisschläger.
149,A boy wearing a red shirt digs into the sand with a yellow shovel.,Ein Junge mit rotem Hemd grabt in den Sand,Ein Junge in einem roten Shirt gräbt mit einer gelben Schaufel im Sand.
150,An individual wearing rose jacket site idle on a wooden bench.,Eine Person mit einer Rosa Jacke sitzt auf einem Holztisch,Eine Person in einer rosa Jacke sitzt untätig auf einer hölzernen Bank.
151,A man wearing a white shirt is looking out a window of a metal construction.,Ein Mann in einem weißen Oberteil schaut aus dem Fenster eines,Ein Mann in einem weißen Hemd blickt durch ein Fenster einer Metallkonstruktion.
152,A woman is holding a small white statue.,Eine Frau hält eine kleine weiße Statue in der Hand.0,Eine Frau hält eine kleine weiße Statue.
153,Six shirtless children are playing in natural water and splashing around.,Sechs nackte Kinder spielen im natürlichen Wasser und schüt,Sechs Kinder ohne Hemd spielen in natürlichem Gewässer und planschen.
154,Two people riding bikes through a mountainous region.,Zwei Leute fahren auf Fahrrädern durch eine bewal,Zwei Personen fahren auf Fahrrädern durch eine Gebirgslandschaft.
155,A girl jumping rope on a sidewalk near a parking garage.,Ein Mädchen springt an einem Gehweg in der Nähe einer,Ein Mädchen beim Seilhüpfen auf dem Gehweg nahe einer Garage.
156,A man wearing an orange shirt and helmet.,Ein Mann in einem orangen Hemd und mit Helm.,Ein Mann trägt ein orangefarbenes Shirt und einen Helm.
157,"A small boy plays with plastic blocks, cars, and animals with an adult watching closely.",Ein kleiner Junge spielt mit Plastiktüten-Bauten,"Ein kleiner Junge spielt mit Plastikklötzen, Autos und Tieren während eine Erwachsene ihn aufmerksam beobachtet."
158,A little girl opening a Christmas present.,"Ein kleines Mädchen öffnet ein Weihnachtsgeschenk.0
assistant","Ein kleines Mädchen, das ein Weihnachtsgeschenk auspackt."
159,The woman in blue is operating a camera in front of two other women.,Die Frau im blauen Kleid bedient eine Kamera vor zwei anderen Frauen,Die blau gekleidete Frau bedient eine Kamera vor zwei anderen Frauen.
160,A little girl tries taking a nap on the comfy sofa.,"Ein kleines Mädchen versucht, ein Nickerchen auf dem gemüt",Ein kleines Mädchen versucht auf einem gemütlichen Sofa ein Nickerchen zu machen.
