de,en,predicted_de
Eine Vaterfigur und zwei Kinder machen vor ihrem Zuhause Gartenarbeit wie den Rasen mit einer Gartenhacke zu bearbeiten und einen Baum zu pflanzen.,A father-figure and two children outside their home doing yard work such as using a hoe on the grass and planting a tree.,Un vieux père et deux enfants dans le jardin pré
Ein Mann bereitet am Herd Essen zu.,A man cooking food on the stove.,"Ein Mann gegangen, Spütze in der Kochen.
"
Ein Mann in Jeans spielt an einem Strand mit einem roten Ball.,A man in jeans at the beach playing with a red ball.,Ein Mann im Jeansen bei der Strand spielt mit einem roten
Leute gehen auf einem Gehsteig neben einer Reihe von Geschäften.,People walking down sidewalk next to a line of stores.,"Die Menschen spielen an, um eine Straße zu laufen,"
Ein Wakeboarder macht einen Salto während er bei hoher Geschwindigkeit an einem Seil gezogen wird.,A wakeboarder performs a flip while being towed at high speed.,Ein Wakebauer kommt zum Zweifel und seine Tugande
Eine große Menschenmenge füllt eine Straße.,A large group of people fill a street.,Vielleicht eine große Gewaltträge blühen und
Ein Mann an einem Halteseil geht ins Wasser.,A man on a tag line going into the water.,"Ein Mann mit einem Tag-Line in der Wasser gehört.
"
"Eine Frau in Jeans läuft vor einem Bus vorbei, auf dem eine Werbung eine Frau zeigt, die über den Rand ihrer Sonnenbrille blickt.",A woman in jeans walks by a bus with an ad depicting a woman peering over her sunglasses.,"Derine Frau im Jeans kam bei einem Bus, mit einer Adel"
Ein Mann in einem pinken Hemd sitzt auf dem Gras und ein Ball ist in der Luft.,A man in a pink shirt is sitting in the grass and a ball is in the air.,Ein Mann mit einer roten T-Shirt sitzt im Gras und e
Ein am Strand geparktes Auto.,A car parked at the beach.,"Eine Auto befindet am Strand.
"
Zwei Männer in Schwarz in einer Stadt,Two men wearing black in a city,"Zwei Mann mit Schwarz im Stadt.
"
Der Mann in der gelben Hose hebt seine Arme.,The man in the yellow pants is raising his arms.,"Der Mann aus der Farbegeln hat seinen Arme zu haben.
"
Zwei Männer mit Hüten und Spazierstöcken schlendern neben einem Gewässer bei Sonnenuntergang.,Two men wearing hats and using walking sticks are walking near a body of water during sundown.,Zwei Mann mit Haut und Walzen gehen unter dem Boden einer See im
Ein Cheerleaderteam macht eine Übung auf Stühlen.,A cheerleading team doing a routine on chairs.,Die Cheerleaders wurden ein Rüstungsraum für die Regel
Ein Junge spielt mit einem Erwachsenen außerhalb des Bildes Dame während ein Mädchen zusieht.,A boy is playing checkers with an adult shown off-screen while a girl looks on.,Ein Kind spielt Spiele mit einem Ältere unter der Sch
"Eine Gruppe Menschen, die sich in einem öffentlichen Park amüsieren wollen.",A crowd of people out for some fun in public park.,"Vielleicht eine Gattung von Personen, die für ihren Le"
Ein Mann sitzt auf einer Bank während er seinen Hund hält und aufs Wasser blickt.,A man sits on a bench holding his dog and looking at the water.,"Ein Mensch sitzt am Bahnhof, mit seinem Hund und der Fl"
Ein Junge und sein jüngerer Bruder spielen gemeinsam auf einem Spielplatz.,A boy and his younger brother playing together at the playground.,"Ein Kind und seine junge Bruder spielen am Bahnhof.
"
Ein blau gekleidete Frau sieht in eine schwarze Ledertasche während sie an einem sonnigen Nachmittag auf einer Bank sitzt und Menschen und Autos hinter ihr vorbeiziehen.,A woman in blue looks in a black leather bag while sitting on a bench during a sunny afternoon while people and limousines passed behind her.,"Derin ist eine Frau in blauen Schleicherin, die im"
Der braune Hund steht auf dem Sandstrand.,The brown dog is standing on the sandy beach.,Der südliche Hund schlägt auf dem stranden Meer
"Eine Frau Sitzt mit einem Korb voller Stoff, umgeben von Stoff.","A woman is sitting with a basket of cloth, surrounded by cloth.","Eine Frau sitzt mit einem Baskets von Kleiden, bevor"
Ein Mann grillt im Freien in seinem Hof.,A man is grilling out in his backyard.,Der Mann kocht auf dem Bürokasten mit einem Köf
Eine Frau singt in einem Klub mit einem Gitarristen hinter ihr.,A woman sings in a club with a guitarist behind her.,Eine Frau singt im Zirkus mit einem Gitarre nachdem s
Gitarristin spielt in einem Nachtklub auf einer roten Gitarre.,Guitar player performs at a nightclub red guitar.,Akustiker spielt in einer Kontroverse roten Guitareren.
Ein Kind sitzt auf einem Gartenstuhl und sieht zur Kamera auf,A child sitting on a lawn chair looking up at the camera,"Ein Kind sich im Bürochenstuhl, der in den Bildern h"
Zwei Frauen und drei Männer blicken auf den Ozean.,Two ladies and three men looking at the ocean.,"Zwei Frauen und drei Männer unter den Meer.
"
Eine Musikantin mit einer Violine spielt auf der Straße während eine Frau mit einer blauen Gitarre zusieht.,A female performer with a violin plays on a street while a woman with a blue guitar looks on.,"Eine Frau mit einem Violin spielt nach dem Strand, wä"
Ein junges Mädchen schwimmt in einem Pool,A young girl swimming in a pool,"Eine junge Mädchen im Pool.
"
Mehrere Kinder sind im Freien und bereiten sich auf Tauziehen vor.,Several children are outdoors getting ready to play tug-of-war.,"Sie sind mehr als vier Kinder auf dem Garten, um Tugf"
Drei Teenager in einer U-Bahn albern herum.,Three teenagers in a subway playing around.,Drei Jugendliche im U-Bahn spielen mit Spielzeugen.
Ein brauner Hund läuft durchs Gras und seine Zunge hängt heraus.,A brown dog walks in the grass with its tongue hanging out.,Ein süßes Hund schlägt im Gras mit seinen Augen
Leute sitzen vor einem Gebäude im Gras und machen Pause.,"People sitting in the grass outside a building, taking a break.",In den Boden von einem Haus verwendet er sich die Menschen mit
Mann ohne Hemd starrt vor einem Café in die Ferne während drei Frauen an einer Menschenmenge vorbeigehen.,Shirtless guy staring off in the distance while three woman are walking past a crowd sitting outside a cafe.,"Der andere Mann, mit den drei Frauen weitergehend zusam"
Zwei Jungen packen Obst auf das Fahrrad.,Two young boys putting fruit on the bike.,Zwei junge Kinder bei dem Auto gegenüber einen Apfel z
Ein Mann in einem schwarzen T-Shirt spielt Trommel auf einem umgedrehten gelben Kübel.,"A man in a black t-shirt, cap and jeans is playing drums on an upside down yellow pail.","Ein Mann im schwarzen T-Shirt, Kapp und Jeans spielt"
Eine junge Künstlerin malt ein Bild einer Frau auf eine Wand.,A young female artists paints an image of a woman on a wall.,"Es ist ein junge Frau, die Malerinnen mal in einem Bild"
"Zwei Spielerinnen der US-Nationalmannschaft klatschen im Sprung ab, umgeben von zwei weiteren Spielerinnen.",Two female members of team USA performing a jump high-five surrounded by two other female members.,Zwei Frauen von Team Amerika zwingenden einen höchsten Finger
Ein Mann rührt in einem Topf in seiner Küche.,A man stirring a pot of liquid in this kitchen.,Ein Mann bewegte eine Potschulpe deshalb im Garten
Ein Junge beim Wakeboarden auf dem See.,The boy is wakeboarding on the lake.,Der Junge fällt auf dem Seeleistungsspiel mit der Le
Ein Mann arbeitet an einem Hotdog-Stand.,A man is working a hotdog stand.,"Ein Mann trug einen Händelstand, um Kuchen zu sell"
Eine große Gruppe von Menschen unterschiedlichen Alters und Geschlechts sitzt gemeinsam im Freien.,A large group of people of various ages and genders sit outside together.,Vielleicht eine große Gewerkschaft von vierziger
Eine blonde Frau schenkt an einer Bar Getränke ein.,A blond-haired woman is pouring drinks at a bar.,"Eine blonde Frau trinkt Weizen in einem Bar.
"
Ein kleines Kind in einem blau-weißen T-Shirt hält glücklich einen gelben Plastik-Alligator.,A small child wearing a blue and white t-shirt happily holding a yellow plastic alligator.,Ein kleines Kind hat eine blauen und weiße T-Sh
Eine schwarz gekleidete Frau mit rosa Haaren spricht mit einem Mann.,A woman with pink hair dressed in black talks to a man.,"Eine Frau mit roten Haare, die im schwarzen Tuch verzau"
Der Mann im japanischen Kochgewand bereitet ein Essen für zwei Personen zu.,The man in a Japanese cooking suit is preparing a meal for two people.,Der Mann im japanischen Kochbauchkurtage liest ein Meals
Ein Mädchen springt von Fels zu Fels über den Bach.,"A girl hops across the river, from rock to rock.","Eine Mädchen spielt um den Fluss, von Stein zu Stein."
Ein Arbeiter mit Werkzeugkiste kniet neben zwei Frauen.,A male worker with his tool box is kneeling next to two women.,Ein männerlicher Arbeiter mit seinem Toolbox kennenzul
Ein älterer Mann breitet seine Arme aus und blickt verblüfft.,An older man is opening his arms wide and looking perplexed.,Un altes Mann lässt seinen armen Hülfe wiederau
Ein Kind in einem weißen Karateanzug übt eine Bewegung.,A child in a white karate outfit practicing a move,Ein Kind im weißen Karatekorps beim Fahrzeugung
Drei Männer in gleichfarbigen Westen halten sich im Freien auf.,Three men in same colored vests are in the outdoors.,"Die drei Mannen, die von der ganzen Farbenkörper sind"
"Eine Frau macht ein Bild von einem Baby mit rosa Mütze, das von einem Mann getragen wird.",A woman takes a picture of a baby wearing a pink hat while a man carries her.,Eine Frau zeigt ein Bild von einem Kind mit einer schwarzen
Eine Gruppe überwiegend asiatischer Kinder sitzt in Arbeitsnischen verteilt auf blauen Stühlen.,A group of mostly asian children sitting at cubicles in blue chairs.,"Ein Gruppe von anderen Asienkinder, die sich immer mit einem"
Ein kleiner Junge im Fußballdress hält die Hände vors Gesicht und weint.,A young boy in a soccer uniform crying into his palms.,Ein junge Mann im Sport-Kurtzchen wiederholt ihre
Eine glückliche Frau bereitet in einem Coffee-Shop eine Erfrischung zu.,A happy woman is preparing a refreshment at a coffee shop.,Eine glückliche Frau lieste einen Nachmittag in der
Ein Bauarbeiter bewegt schweres Gerät auf einer Baustelle.,A construction worker is driving heavy equipment at a work site.,"Ein Baumeister befindet sich an einem Arbeitsplatz, um"
Eine Frau läuft beim Softball nach einem erfolgreichen Schlag los während die Fängerin sich erhebt.,"A woman runs after making a hit in women's softball, the catcher rises to her feet.","Frauen spielen Fußball mit einem Hit im Frauenspiel,"
Ein Mann in Arbeitskleidung reicht einer anderen Person ein Werkzeug.,A man in a work uniform passing a tool to another person.,"Er wird ein Mann im Arbeitskulturmittel passiert, um"
Eine Gruppe klettert bei kaltem Wetter.,A group of people are climbing in cold weather.,"Erst auf den Berge stehen ein Gruppe von Menschen, die im Winter"
Ein Bergsteiger mit einem blauen Helm beginnt mit dem Abstieg.,A mountaineer about to descend down a mountain with a blue helmet on.,"Un Bergsteiger, bevor er den Hügel durchgehen wird mit e"
Ein Mann macht einen Handstand auf einer runden Skulptur.,A man doing handstand on top of a round statue.,"Der Mann, bei einem roten Käfig geführt hatte,"
Ein Kind sitzt an einem Restauranttisch und hält eine Papiermaske vors Gesicht.,A child sitting at a restaurant table holding a paper mask against his face.,ein Kind sitzt am Restauranteck mit dem Papiermasken im Kopf.
"Ein brauner Hund watet in einen See, um einen Stock zu holen.",A brown dog wades into a lake to retrieve a stick.,"Eine braunen Hund steht in einem See zu, um ein St"
Eine Mutter bringt ihren zwei kleinen Söhnen an einer felsigen Küste mit sehr blauem Wasser das Angeln bei.,A mother teaches her two young boys to fish off of a rocky coast into very blue water.,"Mutter lernt sie zwei jungen Kindern, um Fisch an einer"
Ein kleines Kind läuft neben roten Stühlen.,A little kid is walking next to red banners.,Ein kleines Kind längst befindet sich nach roten B
Ein Mädchen sitzt mit einem kleineren Jungen auf einem dekorierten Fahrrad während ein weiteres Mädchen ein Foto macht.,A girl sits on a decorated bike with a younger boy while another girl takes a picture.,"Ein Kind spielt im Vergleich mit einem junge Mann, die e"
Ein Schwarzer Hund holt einen Ball im Wasser.,A black dog is retrieving a ball in water.,"Ein schwarzer Hund lauft einen Ball im Wasser.
"
Ein Mann in weißen Hosen und einem blauen Hemd tritt gegen einen gelben Boxsack.,A man in white pants and a blue shirt is kicking a yellow boxing bag.,Ein Mann im weißen Schuhe und eine blauem T-Sh
Zwei indische Männer nehmen an einer Zeremonie teil.,Two Indian men participating in a ceremony.,Zwei Indienherzoginnen befinden sich in einem Ceremony.
Ein Junge mit verschrammter Nase und bekritzelten Händen steht in einer Videothek.,A boy with a bruised nose and writing on his hands is standing in a video rental store.,Ein Junge mit einem niedrigen Nase und Schreibwechsel
Zwei Silhouetten paddeln in einem Kanu auf dem Ozean bei Sonnenuntergang.,Two silhouetted people paddle a canoe on the ocean during sunset.,Zwei Siehlenen Personen stehen einen Kanußschiff am Meer
"Menschen stehen in einer vollen U-Bahn, der Bahnsteig draußen ist durch das Fenster zu sehen.","People are standing on a crowded subway, and the platform outside is visible through the window.",Menschen sind standen am schönen Stadtbahn-Platz und der
Mann erklettert Mauer mit Feuer in der Hand,Man scaling wall with fire in hand,"Mann mit Flammen gebrochen, um Wälder zu besuchen."
Zwei braune Hunde rennen durch den Schnee.,Two brown dogs are running through the snow.,"Zwei braune Hunde spielen im Schnee.
"
"Bühnenfoto einer kleinen Band, die für ein Theaterpublikum spielt.",On stage photo of small band performing for theater audience.,"Un Bild auf dem Theatersteg des kleine Bands umgeben, die"
Ein Baby im Weihnachtskostüm blickt in die Kamera.,A baby in a Christmas outfit looks at the camera.,Ein Kind im Christkinds-Outfit war am Fenster zu den Kamera g
Ein Mann Sitzt neben einem Computermonitor.,A man is sitting next to a computer monitor.,"Ein Mann sitzt selbst nach einem Computermonitor zu.
"
Diese Frau hat gerade einen lustigen Witz gehört und lacht.,This lady has heard a funny joke and laughing.,Das Frau hat ein geschöpftes Gefühl und laut
"Personen in einem Gebäude, eine von ihnen macht ein Foto.","People inside of a building, one is taking a photo.",In der Gebäude ein Person enthüllt sich mit einem Bild
Vier weiße Hunde mit Maulkörben springen über eine rote Wand.,Four white dogs with muzzles jump over a red wall.,Vier weiße Hunde mit Mussen schlagen über ein
Die Frau im blauen Shirt hält ein Baby.,The woman with the blue shirt is holding a baby.,"Die Frau mit der blauen Scharf hat einen Kind gebaut.
"
Zwei Personen sitzen auf gestreiften Liegestühlen und angeln in einem Gewässer.,Two people are sitting fishing on striped beach chairs in a body of water.,"Zwei Personen sind im Strand fischten mit schwarzen Bäumen,"
Eine alte Frau sitzt an einem Webstuhl und stellt Stoff her.,An old woman working at a loom making cloth.,Eine alte Frau befindet sich arbeitend um einen Löwe
Ein Junge im Vordergrund blickt über andere Personen auf einem Platz.,A boy standing in the foreground looking out over other people in a court.,"Der Boy befindet sich im Fronhof, um den anderen Menschen zu"
Ein Mann in einer blauen Jacke hält einen Jungen an der Schulter.,A man in a blue coat grabbing a young boy's shoulder.,Der Mann mit der blaue Kleid begraben einen junge Mädchen
Drei braune Hunde springen an der blau gekleideten Frau hoch.,Three brown dogs are jumping up at the woman wearing blue.,Drei braunen Hunde spielen um die Frau in blauem Sch
Ein Junge hängt aus dem Fenster eines vorbeifahrenden Taxis.,A boy hangs out of a passing taxi cab window,Ein Boy kommt aus einem fahrenden Taxis-Kabine
Ein Mann in einem grauen Shirt springt über die Spitze einer Sanddüne in der Wüste.,A man in a gray shirt jumps over the top of a sand dune in the desert.,Der Mann im grünen T-Shirt spielt um den Hoch der Sandd
Ein Kind in einem gelben Shirt springt rauf und runter.,A child wearing a yellow shirt is jumping up and down.,Ein Kind mit einem grünen T-Shirt spielt um und ü
"Ein Arbeiter in einer gelben Jacke wird auf ein Gebäude gehoben, um zu arbeiten.",A worker in a yellow jacket is hoisted up high to work on a building.,Der Arbeiter im Rot-Weißenvest kauft hoch zu ar
Ein Mann in Brasilien unterhält sich mit jungen Erwachsenen.,A man in Brazil giving an informal talk to young adults.,Un mädchen aus Brasilien spielt eine Informelle Gesprä
Ein paar Bier-Zapfhähne in einer Bar mit Weihnachtsdekoration an der Decke.,A bunch of beer pull tabs at a bar with Christmas lights on the ceiling.,Eine Bande von Brauenköpfe in einem Bar mit Weihn
Ein Mann seilt sich an einer Klippe über dem Ozean ab.,A man is abseiling down a cliff over the ocean.,Der Mann fährt nach dem Meer an der Seite eines Kalkal
Ein Mann in schwarz geht im Schnee zu seinem Fahrzeug.,A man in black is walking to his truck in the snow.,Ein Mann im Schwarz belegt ihn zum Fahrzeug im Schnee.
Ein Foxterrier springt nach einem Ball.,A fox terrier leaps after a ball.,"Eine Fuchsterriere läuft nach einem Ball.
"
Eine Polizistin mit Mütze und blauer Uniform trägt eine Sonnenbrille und lächelt vor einem Geschäft.,A female police officer in a cap and navy uniform smiles while wearing sunglasses outside of a shop.,Frauenpolizeiagentin im Cap und Unternehmen-Schüt
Eine Familie spaziert durch einen Park.,A Family going for a walk in a park.,"Ein Familie geht durch eine Park.
"
Ein Mann mit einem grünen Schutzhelm und Sicherheitsweste blickt ernst.,A man in a green hard hat and yellow safety vest frowns.,Ein Mann mit einem grünen Hardhatschläger und einer rot
Ein Kind mit pinken Fäden auf dem Kopf tanzt umgeben von Konfetti und Ballons.,"Child with pink strings on head dancing surrounded by confetti, balloons.",Ein Kind mit roten Stranden auf dem Kopf schwimmt in e
Ein Hund mit Stupsnase schnuppert nach etwas an einem Flussufer.,A dog with a snub nose smells for something on a riverbank.,Eine Hund mit einer schwarzen Rückenkranz blickt
Ein Mann bereitet seinen Stand für das Tagesgeschäft vor.,A man prepares his local stand for the days business.,"Er läuft, ein Menschenstand auf dem Weg zur Tages"
"Ein Mann in einem roten Hemd schickt sich an, einen Taco zu essen.",A man in a red shirt is about to eat a taco.,Ein Mann mit einem roten T-Shirt ist um einen Tacos ess
Eine junge Dame in weiß hält einen Tennisschläger.,A young lady in white holding a tennis racket,"Eine junge Frau im Weißen mit einem Tennisracket.
"
Ein Junge in einem roten Shirt gräbt mit einer gelben Schaufel im Sand.,A boy wearing a red shirt digs into the sand with a yellow shovel.,Ein Kind mit einem roten T-Shirt gehätte seinen Gold
Eine Person in einer rosa Jacke sitzt untätig auf einer hölzernen Bank.,An individual wearing rose jacket site idle on a wooden bench.,Ein Mensch mit roten Schuhe sitzt im Wald bei einem Hol
Ein Mann in einem weißen Hemd blickt durch ein Fenster einer Metallkonstruktion.,A man wearing a white shirt is looking out a window of a metal construction.,"Der Mann, der in einem grünem Schuß tun, arbeitet am"
Eine Frau hält eine kleine weiße Statue.,A woman is holding a small white statue.,"Ein Frau trägt einen kleine weißen Bilder.
"
Sechs Kinder ohne Hemd spielen in natürlichem Gewässer und planschen.,Six shirtless children are playing in natural water and splashing around.,"Sie sind sechs Kinder, die nach dem Boden verkauft waren"
Zwei Personen fahren auf Fahrrädern durch eine Gebirgslandschaft.,Two people riding bikes through a mountainous region.,"Zwei Personen rund um einer Bergebirgsregion.
"
Ein Mädchen beim Seilhüpfen auf dem Gehweg nahe einer Garage.,A girl jumping rope on a sidewalk near a parking garage.,Eine Mädchen spielt mit einem Ropen im Gras am Str
Ein Mann trägt ein orangefarbenes Shirt und einen Helm.,A man wearing an orange shirt and helmet.,"Ein Mann in einem Orange-T-Shirt und Hautboots.
"
"Ein kleiner Junge spielt mit Plastikklötzen, Autos und Tieren während eine Erwachsene ihn aufmerksam beobachtet.","A small boy plays with plastic blocks, cars, and animals with an adult watching closely.","Ein kleines Mädchen spielt mit Plastikblocken, Auto"
"Ein kleines Mädchen, das ein Weihnachtsgeschenk auspackt.",A little girl opening a Christmas present.,ein kleines Mädchen eröffnete eine Weihnach
Die blau gekleidete Frau bedient eine Kamera vor zwei anderen Frauen.,The woman in blue is operating a camera in front of two other women.,Die Frau mit blauem Scharfe hat eine Kamera an den zwei and
Ein kleines Mädchen versucht auf einem gemütlichen Sofa ein Nickerchen zu machen.,A little girl tries taking a nap on the comfy sofa.,Ein kleines Mädchen liest eine Nachmittag am kom
Ein braun-schwarzer Hund läuft auf einem Pfad im Wald.,A brown and black dog running on a trail in the woods.,"Eine braune und schwarze Hund spielende am Walde.
"
Zwei Hunde spielen an einem Baum.,Two dogs play by a tree.,"Zwei Hunde spielen um einem Baum.
"
Ein Marineoffizier in einem schwarzen Mantel und Hose steigt Treppen während die Kamera auf den Hund fokussiert.,A navy walking wearing a black coat and pants on the stairs as camera focuses on the dog,"Der Seejäger trudelt weiter, bei einem schwarzen Schu"
Zwei grün gekleidete Männer bereiten in einem Restaurant Essen zu.,Two men dressed in green are preparing food in a restaurant.,"Zwei Männer, die im Grünen unterscheiden werden,"
Ein Mann in schwarzem Leder und einem Cowboyhut schlendert auf einem Renaissancefestival.,A man dressed in black leather and a cowboy hat is walking around a Renaissance Festival.,"Ein Mann, die im Scharfenkleid und der Kaperlaktiker"
Ein Hund läuft mit einem gelben Spielzeug im Freien.,A dog runs outside with a yellow toy.,Ein Hund spielt an der Gärten eine Gelbene Spielz
