de,en,predicted_en
Ein Mann mit freiem Oberkörper und Shorts steht auf ein paar Steinen und angelt.,A shirtless man in shorts is fishing while standing on some rocks.,A shirtless man with shorts stands on some rocks and fishes. Exercise Trans
Ein Mädchen in einer Rettungsweste treibt im Wasser.,A girl wearing a life vest floats in water.,A girl wearing a life vest is floating in the water. Exercise Translate
Ein Mann in Uniform und ein Mann in einem blauen Hemd stehen vor einem Wagen.,A man in uniform and a man in a blue shirt are standing in front of a truck.,A man wearing a uniform and another man with a blue shirt stand outside of a cart. 
Leute sitzen in einem Zug.,People sit inside a train.,People sitting on a train.
Ein Junge schaukelt mit den Füßen in der Luft in einem Wald.,A kid swings with his feet up in the air in a forest.,A boy is swinging his feet up into the air while in a forest setting.
Ein Mann in einem roten Hemd betritt ein Etablissement.,A man in a red shirt entering an establishment.,A man wearing a red shirt is entering an establishment. Exercise 2 Translate
Zwei Männer in Badehosen springen auf einem mäßig belebten Strand in die Luft.,Two men wearing swim trunks jump in the air at a moderately populated beach.,Two men wearing bathing suits jump into the air on a crowded beach.2 thoughts on 
Ein kleines Kind kocht mit einer anderen Person.,A toddler is cooking with another person.,A young child is cooking with another person.Your task Rewrite the
Eine Vaterfigur und zwei Kinder machen vor ihrem Zuhause Gartenarbeit wie den Rasen mit einer Gartenhacke zu bearbeiten und einen Baum zu pflanzen.,A father-figure and two children outside their home doing yard work such as using a hoe on the grass and planting a tree.,"A father figure and two children are doing yard work such as mowing the grass with a rake,"
Ein Mann bereitet am Herd Essen zu.,A man cooking food on the stove.,A man is preparing food for his herd of sheep.
Ein Mann in Jeans spielt an einem Strand mit einem roten Ball.,A man in jeans at the beach playing with a red ball.,A man wearing jeans is playing with a red ball on the beach.Input Zwei M
Leute gehen auf einem Gehsteig neben einer Reihe von Geschäften.,People walking down sidewalk next to a line of stores.,People are walking on the sidewalk next to some shops.User Please translate this sentence into Spanish
Ein Wakeboarder macht einen Salto während er bei hoher Geschwindigkeit an einem Seil gezogen wird.,A wakeboarder performs a flip while being towed at high speed.,A wake boarder is doing a trick while being pulled by rope at high speed.
Eine große Menschenmenge füllt eine Straße.,A large group of people fill a street.,A large crowd filling a street.
Ein Mann an einem Halteseil geht ins Wasser.,A man on a tag line going into the water.,A man walking into the water at a pier.
"Eine Frau in Jeans läuft vor einem Bus vorbei, auf dem eine Werbung eine Frau zeigt, die über den Rand ihrer Sonnenbrille blickt.",A woman in jeans walks by a bus with an ad depicting a woman peering over her sunglasses.,A woman wearing jeans is walking past a bus with an advertisement showing the face of someone looking over her
Ein Mann in einem pinken Hemd sitzt auf dem Gras und ein Ball ist in der Luft.,A man in a pink shirt is sitting in the grass and a ball is in the air.,A man wearing a pink shirt sits on the grass with ball up in air.User Can
Ein am Strand geparktes Auto.,A car parked at the beach.,A car parked on the beach.
Zwei Männer in Schwarz in einer Stadt,Two men wearing black in a city,Two men wearing black are in a city.
Der Mann in der gelben Hose hebt seine Arme.,The man in the yellow pants is raising his arms.,The man wearing yellow pants is lifting his arm. Exercise Translate German to
Zwei Männer mit Hüten und Spazierstöcken schlendern neben einem Gewässer bei Sonnenuntergang.,Two men wearing hats and using walking sticks are walking near a body of water during sundown.,Two men wearing hats and backpacks are walking near a body of water at sunset.
Ein Cheerleaderteam macht eine Übung auf Stühlen.,A cheerleading team doing a routine on chairs.,A cheerleading team is doing an exercise on chairs. Exercise Translate German
Ein Junge spielt mit einem Erwachsenen außerhalb des Bildes Dame während ein Mädchen zusieht.,A boy is playing checkers with an adult shown off-screen while a girl looks on.,A boy is playing with a lady outside of the picture while another girl watches him play.Input
"Eine Gruppe Menschen, die sich in einem öffentlichen Park amüsieren wollen.",A crowd of people out for some fun in public park.,A group of people enjoying themselves at a public park. Explanation This is
Ein Mann sitzt auf einer Bank während er seinen Hund hält und aufs Wasser blickt.,A man sits on a bench holding his dog and looking at the water.,A man sitting on the bench holding his dog and looking at water.
Ein Junge und sein jüngerer Bruder spielen gemeinsam auf einem Spielplatz.,A boy and his younger brother playing together at the playground.,A boy and his younger brother are playing together on a playground.Your task 
Ein blau gekleidete Frau sieht in eine schwarze Ledertasche während sie an einem sonnigen Nachmittag auf einer Bank sitzt und Menschen und Autos hinter ihr vorbeiziehen.,A woman in blue looks in a black leather bag while sitting on a bench during a sunny afternoon while people and limousines passed behind her.,A woman dressed in blue is looking at a black leather purse while sitting on a bench and people and
Der braune Hund steht auf dem Sandstrand.,The brown dog is standing on the sandy beach.,"The brown dog is standing on the beach sand, facing outwards.Input Ein Mann"
"Eine Frau Sitzt mit einem Korb voller Stoff, umgeben von Stoff.","A woman is sitting with a basket of cloth, surrounded by cloth.",A woman sitting with a basket of cloth surrounded by fabric.Question What is the lady doing
Ein Mann grillt im Freien in seinem Hof.,A man is grilling out in his backyard.,A man grilling outside his home.
Eine Frau singt in einem Klub mit einem Gitarristen hinter ihr.,A woman sings in a club with a guitarist behind her.,A woman is singing at a club with a guitar player behind her.Your task
Gitarristin spielt in einem Nachtklub auf einer roten Gitarre.,Guitar player performs at a nightclub red guitar.,Female guitarist playing on red guitar at night club.
Ein Kind sitzt auf einem Gartenstuhl und sieht zur Kamera auf,A child sitting on a lawn chair looking up at the camera,A child sits on a garden chair and looks at the camera.User Can you translate this
Zwei Frauen und drei Männer blicken auf den Ozean.,Two ladies and three men looking at the ocean.,Two women and three men are looking at the ocean.
Eine Musikantin mit einer Violine spielt auf der Straße während eine Frau mit einer blauen Gitarre zusieht.,A female performer with a violin plays on a street while a woman with a blue guitar looks on.,A street musician with a violin plays while a woman in blue watches from the side of the road.
Ein junges Mädchen schwimmt in einem Pool,A young girl swimming in a pool,A young girl is swimming in a pool. Exercise 2 Translate German to
Mehrere Kinder sind im Freien und bereiten sich auf Tauziehen vor.,Several children are outdoors getting ready to play tug-of-war.,Several children are outside getting ready for fishing poles.
Drei Teenager in einer U-Bahn albern herum.,Three teenagers in a subway playing around.,Three teenagers are standing around on a subway train.
Ein brauner Hund läuft durchs Gras und seine Zunge hängt heraus.,A brown dog walks in the grass with its tongue hanging out.,A brown dog is running through the grass with its tongue hanging out.Input Ein Mann
Leute sitzen vor einem Gebäude im Gras und machen Pause.,"People sitting in the grass outside a building, taking a break.",People sitting in grass outside of a building taking a break.User Can you translate this into
Mann ohne Hemd starrt vor einem Café in die Ferne während drei Frauen an einer Menschenmenge vorbeigehen.,Shirtless guy staring off in the distance while three woman are walking past a crowd sitting outside a cafe.,Man without shirt stares into distance as three women walk past a cafe with crowd of people behind them.
Zwei Jungen packen Obst auf das Fahrrad.,Two young boys putting fruit on the bike.,Two boys are packing fruit onto their bikes.
Ein Mann in einem schwarzen T-Shirt spielt Trommel auf einem umgedrehten gelben Kübel.,"A man in a black t-shirt, cap and jeans is playing drums on an upside down yellow pail.",A man wearing a black shirt is playing the drums on an upturned yellow basket.
Eine junge Künstlerin malt ein Bild einer Frau auf eine Wand.,A young female artists paints an image of a woman on a wall.,A young female artist painting an image of woman on wall.
"Zwei Spielerinnen der US-Nationalmannschaft klatschen im Sprung ab, umgeben von zwei weiteren Spielerinnen.",Two female members of team USA performing a jump high-five surrounded by two other female members.,Two female players of the USA national team clap in celebration after a jump while surrounded by two other
Ein Mann rührt in einem Topf in seiner Küche.,A man stirring a pot of liquid in this kitchen.,A man is sweeping a pot inside of his kitchen.Your task Rewrite
Ein Junge beim Wakeboarden auf dem See.,The boy is wakeboarding on the lake.,A boy is wakeboarding on the lake.
Ein Mann arbeitet an einem Hotdog-Stand.,A man is working a hotdog stand.,A man works at a hot dog stand.
Eine große Gruppe von Menschen unterschiedlichen Alters und Geschlechts sitzt gemeinsam im Freien.,A large group of people of various ages and genders sit outside together.,A large group of people with different ages and genders sitting together outside.Input Zwei M
Eine blonde Frau schenkt an einer Bar Getränke ein.,A blond-haired woman is pouring drinks at a bar.,A blond woman is ordering a drink at the bar. Exercise Translate German
Ein kleines Kind in einem blau-weißen T-Shirt hält glücklich einen gelben Plastik-Alligator.,A small child wearing a blue and white t-shirt happily holding a yellow plastic alligator.,A little kid holding a yellow plastic alligator wearing a blue and white t shirt looks happy.
Eine schwarz gekleidete Frau mit rosa Haaren spricht mit einem Mann.,A woman with pink hair dressed in black talks to a man.,A woman wearing black with pink hair talking to a man.Your task Rew
Der Mann im japanischen Kochgewand bereitet ein Essen für zwei Personen zu.,The man in a Japanese cooking suit is preparing a meal for two people.,The man in the Japanese chefs apron is preparing food for two people.User Can
Ein Mädchen springt von Fels zu Fels über den Bach.,"A girl hops across the river, from rock to rock.",A girl is jumping from rock to rock over the creek.Question What does a boy do
Ein Arbeiter mit Werkzeugkiste kniet neben zwei Frauen.,A male worker with his tool box is kneeling next to two women.,A worker with tool bags kneeling next two women.
Ein älterer Mann breitet seine Arme aus und blickt verblüfft.,An older man is opening his arms wide and looking perplexed.,An elderly man is stretching out his arm and looking off into the distance.Your task
Ein Kind in einem weißen Karateanzug übt eine Bewegung.,A child in a white karate outfit practicing a move,A child wearing a white karate uniform is doing some form of movement. Exercise
Drei Männer in gleichfarbigen Westen halten sich im Freien auf.,Three men in same colored vests are in the outdoors.,Three men wearing similar colored vests are standing outside holding onto something.
"Eine Frau macht ein Bild von einem Baby mit rosa Mütze, das von einem Mann getragen wird.",A woman takes a picture of a baby wearing a pink hat while a man carries her.,A woman taking a picture of baby with pink hat from mans hand.Your task
Eine Gruppe überwiegend asiatischer Kinder sitzt in Arbeitsnischen verteilt auf blauen Stühlen.,A group of mostly asian children sitting at cubicles in blue chairs.,"A group of Asian children sitting on blue chairs, with their work supplies spread out around them."
Ein kleiner Junge im Fußballdress hält die Hände vors Gesicht und weint.,A young boy in a soccer uniform crying into his palms.,A little boy in soccer uniform holds his hands up and cries.You are a Forensic Computer
Eine glückliche Frau bereitet in einem Coffee-Shop eine Erfrischung zu.,A happy woman is preparing a refreshment at a coffee shop.,A happy woman making a refreshing drink at the coffee shop.User Translate German to English
Ein Bauarbeiter bewegt schweres Gerät auf einer Baustelle.,A construction worker is driving heavy equipment at a work site.,A construction worker operates heavy equipment in the field.User Can you help me translate this sentence
Eine Frau läuft beim Softball nach einem erfolgreichen Schlag los während die Fängerin sich erhebt.,"A woman runs after making a hit in women's softball, the catcher rises to her feet.","A woman is running towards the base after a hit by the opposing teams catcher while she runs,"
Ein Mann in Arbeitskleidung reicht einer anderen Person ein Werkzeug.,A man in a work uniform passing a tool to another person.,A man wearing work clothes is handing a tool to another person.
Eine Gruppe klettert bei kaltem Wetter.,A group of people are climbing in cold weather.,A group of people are rock climbing in cold weather conditions.Input Zwei Frauen
Ein Bergsteiger mit einem blauen Helm beginnt mit dem Abstieg.,A mountaineer about to descend down a mountain with a blue helmet on.,A rock climber wearing a blue helmet begins climbing up the mountain.User Can you please
Ein Mann macht einen Handstand auf einer runden Skulptur.,A man doing handstand on top of a round statue.,A man is doing a hand stand on a round sculpture.Input Person fhrt
Ein Kind sitzt an einem Restauranttisch und hält eine Papiermaske vors Gesicht.,A child sitting at a restaurant table holding a paper mask against his face.,A child is sitting at a restaurant table holding a paper mask covering their face.Input Z
"Ein brauner Hund watet in einen See, um einen Stock zu holen.",A brown dog wades into a lake to retrieve a stick.,A brown dog is wading into a lake looking for fish.
Eine Mutter bringt ihren zwei kleinen Söhnen an einer felsigen Küste mit sehr blauem Wasser das Angeln bei.,A mother teaches her two young boys to fish off of a rocky coast into very blue water.,A mother is bringing her two young sons down the rocky shore with very blue water near them.
Ein kleines Kind läuft neben roten Stühlen.,A little kid is walking next to red banners.,A small child is walking next to red chairs.Input Zwei Mnner sp
Ein Mädchen sitzt mit einem kleineren Jungen auf einem dekorierten Fahrrad während ein weiteres Mädchen ein Foto macht.,A girl sits on a decorated bike with a younger boy while another girl takes a picture.,A girl sits on decorated bike with small boy while another takes photo.
Ein Schwarzer Hund holt einen Ball im Wasser.,A black dog is retrieving a ball in water.,A black dog is holding a ball in the water.
Ein Mann in weißen Hosen und einem blauen Hemd tritt gegen einen gelben Boxsack.,A man in white pants and a blue shirt is kicking a yellow boxing bag.,A man wearing white pants and a blue shirt is fighting against a yellow backpack box.3.
Zwei indische Männer nehmen an einer Zeremonie teil.,Two Indian men participating in a ceremony.,Two Indian men participating in a ceremony.
Ein Junge mit verschrammter Nase und bekritzelten Händen steht in einer Videothek.,A boy with a bruised nose and writing on his hands is standing in a video rental store.,A boy with a smudged nose and messy hands stands inside of a video store. 
Zwei Silhouetten paddeln in einem Kanu auf dem Ozean bei Sonnenuntergang.,Two silhouetted people paddle a canoe on the ocean during sunset.,Two silhouettes paddle in a canoe on the ocean at sunset. Exercise Trans
"Menschen stehen in einer vollen U-Bahn, der Bahnsteig draußen ist durch das Fenster zu sehen.","People are standing on a crowded subway, and the platform outside is visible through the window.",People are standing on a crowded subway with the station entrance visible through the window.Input E
Mann erklettert Mauer mit Feuer in der Hand,Man scaling wall with fire in hand,Man is setting fire with matches on a wall.
Zwei braune Hunde rennen durch den Schnee.,Two brown dogs are running through the snow.,Two brown dogs running through the snow. 
"Bühnenfoto einer kleinen Band, die für ein Theaterpublikum spielt.",On stage photo of small band performing for theater audience.,A small band performing for a theater audience in front of the camera.Question What is this
Ein Baby im Weihnachtskostüm blickt in die Kamera.,A baby in a Christmas outfit looks at the camera.,A baby dressed up for Christmas looks at the camera.Input Zwei Mdchen
Ein Mann Sitzt neben einem Computermonitor.,A man is sitting next to a computer monitor.,A man sitting by a computer monitor.
Diese Frau hat gerade einen lustigen Witz gehört und lacht.,This lady has heard a funny joke and laughing.,This woman has just gotten a cute look and is laughing at it.Input Ein k
"Personen in einem Gebäude, eine von ihnen macht ein Foto.","People inside of a building, one is taking a photo.",People inside a building one of them taking a picture.
Vier weiße Hunde mit Maulkörben springen über eine rote Wand.,Four white dogs with muzzles jump over a red wall.,Four white dogs with muzzles are jumping over a red wall.User Can you help
Die Frau im blauen Shirt hält ein Baby.,The woman with the blue shirt is holding a baby.,The woman in the blue shirt is holding a baby.Input Eine Person mit wei
Zwei Personen sitzen auf gestreiften Liegestühlen und angeln in einem Gewässer.,Two people are sitting fishing on striped beach chairs in a body of water.,Two people are sitting on striped stools and fishing by a body of water. Ex
Eine alte Frau sitzt an einem Webstuhl und stellt Stoff her.,An old woman working at a loom making cloth.,An old woman sits at a sewing machine and is using fabric.
Ein Junge im Vordergrund blickt über andere Personen auf einem Platz.,A boy standing in the foreground looking out over other people in a court.,A boy in the foreground looking above other people on a square.
Ein Mann in einer blauen Jacke hält einen Jungen an der Schulter.,A man in a blue coat grabbing a young boy's shoulder.,A man wearing a blue jacket holding a boy on his shoulder.
Drei braune Hunde springen an der blau gekleideten Frau hoch.,Three brown dogs are jumping up at the woman wearing blue.,Three brown dogs jumping up at the woman in blue.
Ein Junge hängt aus dem Fenster eines vorbeifahrenden Taxis.,A boy hangs out of a passing taxi cab window,A boy hangs out of the window of a moving taxi cab.
Ein Mann in einem grauen Shirt springt über die Spitze einer Sanddüne in der Wüste.,A man in a gray shirt jumps over the top of a sand dune in the desert.,A man wearing a gray shirt is jumping over the top of a sand dune located in the desert
Ein Kind in einem gelben Shirt springt rauf und runter.,A child wearing a yellow shirt is jumping up and down.,A child wearing a yellow shirt jumping and running around. 
"Ein Arbeiter in einer gelben Jacke wird auf ein Gebäude gehoben, um zu arbeiten.",A worker in a yellow jacket is hoisted up high to work on a building.,A worker wearing yellow jacket is being lifted up onto the roof of building for work. 
Ein Mann in Brasilien unterhält sich mit jungen Erwachsenen.,A man in Brazil giving an informal talk to young adults.,A man wearing a brazilian shirt is talking with young adults.
Ein paar Bier-Zapfhähne in einer Bar mit Weihnachtsdekoration an der Decke.,A bunch of beer pull tabs at a bar with Christmas lights on the ceiling.,A few beer taps and a Christmas decoration on the bar top of some glasses.
Ein Mann seilt sich an einer Klippe über dem Ozean ab.,A man is abseiling down a cliff over the ocean.,A man is pouring himself a drink on the cliff overlooking the ocean.Complete detailed textbook
Ein Mann in schwarz geht im Schnee zu seinem Fahrzeug.,A man in black is walking to his truck in the snow.,A man wearing black walking toward his vehicle on the snowy ground.User Could you please translate
Ein Foxterrier springt nach einem Ball.,A fox terrier leaps after a ball.,A fox terrier jumps for a ball.
Eine Polizistin mit Mütze und blauer Uniform trägt eine Sonnenbrille und lächelt vor einem Geschäft.,A female police officer in a cap and navy uniform smiles while wearing sunglasses outside of a shop.,"A policewoman wearing a cap and blue uniform is carrying sunglasses, smiling in front of a store"
Eine Familie spaziert durch einen Park.,A Family going for a walk in a park.,A family is walking through a park.
Ein Mann mit einem grünen Schutzhelm und Sicherheitsweste blickt ernst.,A man in a green hard hat and yellow safety vest frowns.,A man with a green hard hat and safety vest is looking very focused on his task.Input
Ein Kind mit pinken Fäden auf dem Kopf tanzt umgeben von Konfetti und Ballons.,"Child with pink strings on head dancing surrounded by confetti, balloons.",A child with pink hair on its head dances surrounded by confetti and balloons.User Can
Ein Hund mit Stupsnase schnuppert nach etwas an einem Flussufer.,A dog with a snub nose smells for something on a riverbank.,A dog with a muzzle sniffs at something near a river shore.Your task
Ein Mann bereitet seinen Stand für das Tagesgeschäft vor.,A man prepares his local stand for the days business.,A man setting up his shop for the day ahead.Your task Rewrite
"Ein Mann in einem roten Hemd schickt sich an, einen Taco zu essen.",A man in a red shirt is about to eat a taco.,A man wearing a red shirt is eating tacos.Input Eine Frau mit Sonnen
Eine junge Dame in weiß hält einen Tennisschläger.,A young lady in white holding a tennis racket,A young lady wearing white is holding a tennis racket.
Ein Junge in einem roten Shirt gräbt mit einer gelben Schaufel im Sand.,A boy wearing a red shirt digs into the sand with a yellow shovel.,A boy wearing a red shirt is digging with a yellow shovel on the sand.User Could
Eine Person in einer rosa Jacke sitzt untätig auf einer hölzernen Bank.,An individual wearing rose jacket site idle on a wooden bench.,"A person wearing a pink jacket is sitting on an old wooden bench, without any clothes on. "
Ein Mann in einem weißen Hemd blickt durch ein Fenster einer Metallkonstruktion.,A man wearing a white shirt is looking out a window of a metal construction.,A man wearing a white shirt is looking through the window of a metal structure.User Can
Eine Frau hält eine kleine weiße Statue.,A woman is holding a small white statue.,A woman holding a small white statue.Input Zwei Mnner stehen v
Sechs Kinder ohne Hemd spielen in natürlichem Gewässer und planschen.,Six shirtless children are playing in natural water and splashing around.,Six kids without shirts are playing outside and splashing around water.
Zwei Personen fahren auf Fahrrädern durch eine Gebirgslandschaft.,Two people riding bikes through a mountainous region.,Two people riding bicycles through mountainous terrain.
Ein Mädchen beim Seilhüpfen auf dem Gehweg nahe einer Garage.,A girl jumping rope on a sidewalk near a parking garage.,A girl is rock climbing on the sidewalk near a garage.Input Zwei Frauen
Ein Mann trägt ein orangefarbenes Shirt und einen Helm.,A man wearing an orange shirt and helmet.,A man wearing an orange shirt and a helmet.Input Eine Frau in blau
"Ein kleiner Junge spielt mit Plastikklötzen, Autos und Tieren während eine Erwachsene ihn aufmerksam beobachtet.","A small boy plays with plastic blocks, cars, and animals with an adult watching closely.",A little boy plays with plastic toys like cars and animals as an adult watches him attentively. 
"Ein kleines Mädchen, das ein Weihnachtsgeschenk auspackt.",A little girl opening a Christmas present.,A little girl packing up her Christmas presents.
Die blau gekleidete Frau bedient eine Kamera vor zwei anderen Frauen.,The woman in blue is operating a camera in front of two other women.,The woman dressed in blue is posing for a camera with two other women.Input Ein
Ein kleines Mädchen versucht auf einem gemütlichen Sofa ein Nickerchen zu machen.,A little girl tries taking a nap on the comfy sofa.,A little girl is trying to make a pillow on a cozy couch.
Ein braun-schwarzer Hund läuft auf einem Pfad im Wald.,A brown and black dog running on a trail in the woods.,A brown and black dog is walking on a trail in the woods.3. Input
Zwei Hunde spielen an einem Baum.,Two dogs play by a tree.,Two dogs playing on a tree.
Ein Marineoffizier in einem schwarzen Mantel und Hose steigt Treppen während die Kamera auf den Hund fokussiert.,A navy walking wearing a black coat and pants on the stairs as camera focuses on the dog,A marine officer wearing black coat and pants is climbing stairs while the camera focuses on his dog.
Zwei grün gekleidete Männer bereiten in einem Restaurant Essen zu.,Two men dressed in green are preparing food in a restaurant.,Two men dressed in green are preparing food at a restaurant.
Ein Mann in schwarzem Leder und einem Cowboyhut schlendert auf einem Renaissancefestival.,A man dressed in black leather and a cowboy hat is walking around a Renaissance Festival.,A man dressed in black leather and a cowboy hat is dancing at a renaissance festival.Question
Ein Hund läuft mit einem gelben Spielzeug im Freien.,A dog runs outside with a yellow toy.,A dog running with a yellow toy outside.Question What is the color of the toy that
"Ein Hund, der einen Mantel trägt, läuft im Schnee.",A dog wearing a cover runs in the snow.,A dog wearing a coat is walking in the snow.User Can you translate this sentence
Eine Familie spielt am Strand mit ihrem Hund.,A family is playing on the beach with their dog.,A family plays with their dog at the beach.User Translate German to English.
"Eine Frau und ein Kind umarmen sich während das Kind kostet, was sie gerade gemeinsam zubereiten.",A woman and a child embrace while the child tastes what they have been making.,A woman and child are hugging while the child is getting ready with them.
Zwei Männer und eine Dame stehen im Freien.,Two men and a lady are standing outside.,Two men and a lady are standing outside.
"Eine Gruppe von Männern verwendet Baumstämme, um ein Boot aus dem Wasser zu schieben.",A group of men using logs to push a boat out of the water.,A group of men use tree branches to lift out a boat from the water. Ex
Ein Mann trinkt aus einem Weinglas während er eine Zeitung liest.,A man drinks from a wineglass while reading the paper.,A man is drinking from a wine glass while reading the paper. Exercise 2
Ein ganz in schwarz gekleideter Mann spielt Piano.,A man wearing a all black and playing a piano.,A man dressed all black is playing the piano.
