de,en,predicted_en
Ein Wakeboarder macht einen Salto während er bei hoher Geschwindigkeit an einem Seil gezogen wird.,A wakeboarder performs a flip while being towed at high speed.,A wakeboarding guy does a jump while being pulled on rope at high speed.
Eine große Menschenmenge füllt eine Straße.,A large group of people fill a street.,A large crowd filling a street.brInput Zwei Mnner
Ein Mann an einem Halteseil geht ins Wasser.,A man on a tag line going into the water.,A man on a dock walks into the water.
"Eine Frau in Jeans läuft vor einem Bus vorbei, auf dem eine Werbung eine Frau zeigt, die über den Rand ihrer Sonnenbrille blickt.",A woman in jeans walks by a bus with an ad depicting a woman peering over her sunglasses.,A woman wearing jeans is walking past a bus with an advertisement for another female looking over her shoulder at
Ein Mann in einem pinken Hemd sitzt auf dem Gras und ein Ball ist in der Luft.,A man in a pink shirt is sitting in the grass and a ball is in the air.,A man wearing a pink shirt sits on the grass and a ball is floating in the air.
Ein am Strand geparktes Auto.,A car parked at the beach.,A parked car on a beach.
Zwei Männer in Schwarz in einer Stadt,Two men wearing black in a city,Two men wearing black are walking around a city.Your task Rewrite
Der Mann in der gelben Hose hebt seine Arme.,The man in the yellow pants is raising his arms.,The man wearing yellow pants is lifting his arm up.
Zwei Männer mit Hüten und Spazierstöcken schlendern neben einem Gewässer bei Sonnenuntergang.,Two men wearing hats and using walking sticks are walking near a body of water during sundown.,Two men wearing hats and backpacks are walking next to a body of water at sunset. 
Ein Cheerleaderteam macht eine Übung auf Stühlen.,A cheerleading team doing a routine on chairs.,A cheerleading team is doing an activity on chairs.Exercise 1 Translate German
Ein Junge spielt mit einem Erwachsenen außerhalb des Bildes Dame während ein Mädchen zusieht.,A boy is playing checkers with an adult shown off-screen while a girl looks on.,A boy is playing with a doll outside while another girl looks on from inside the picture frame.
"Eine Gruppe Menschen, die sich in einem öffentlichen Park amüsieren wollen.",A crowd of people out for some fun in public park.,A group of people enjoying themselves at a public park.
Ein Mann sitzt auf einer Bank während er seinen Hund hält und aufs Wasser blickt.,A man sits on a bench holding his dog and looking at the water.,A man sits on a bench holding his dog and looking at the water. Your
Ein Junge und sein jüngerer Bruder spielen gemeinsam auf einem Spielplatz.,A boy and his younger brother playing together at the playground.,A boy and his younger brother playing together on an outdoor playground.
Ein blau gekleidete Frau sieht in eine schwarze Ledertasche während sie an einem sonnigen Nachmittag auf einer Bank sitzt und Menschen und Autos hinter ihr vorbeiziehen.,A woman in blue looks in a black leather bag while sitting on a bench during a sunny afternoon while people and limousines passed behind her.,A woman dressed in blue looks at a black leather bag as she sits on the bench during a sunny
Der braune Hund steht auf dem Sandstrand.,The brown dog is standing on the sandy beach.,The brown dog is standing on the beach sand.
"Eine Frau Sitzt mit einem Korb voller Stoff, umgeben von Stoff.","A woman is sitting with a basket of cloth, surrounded by cloth.",A woman sits on a basket full of cloth surrounded by cloth.
Ein Mann grillt im Freien in seinem Hof.,A man is grilling out in his backyard.,A man is grilling outside his house.
Eine Frau singt in einem Klub mit einem Gitarristen hinter ihr.,A woman sings in a club with a guitarist behind her.,A woman is singing at a club with a guitarist behind her.
Gitarristin spielt in einem Nachtklub auf einer roten Gitarre.,Guitar player performs at a nightclub red guitar.,A female guitarist is playing on a red guitar at night club.
Ein Kind sitzt auf einem Gartenstuhl und sieht zur Kamera auf,A child sitting on a lawn chair looking up at the camera,A child sits on a garden chair and looks at the camera.
Zwei Frauen und drei Männer blicken auf den Ozean.,Two ladies and three men looking at the ocean.,Two women and three men are looking out at the ocean.
Eine Musikantin mit einer Violine spielt auf der Straße während eine Frau mit einer blauen Gitarre zusieht.,A female performer with a violin plays on a street while a woman with a blue guitar looks on.,A street musician with a violin playing while a woman in blue is watching her play.Output
Ein junges Mädchen schwimmt in einem Pool,A young girl swimming in a pool,A young girl swims in a pool.
Mehrere Kinder sind im Freien und bereiten sich auf Tauziehen vor.,Several children are outdoors getting ready to play tug-of-war.,Several children are outside preparing fishing lines.
Drei Teenager in einer U-Bahn albern herum.,Three teenagers in a subway playing around.,Three teenagers are relaxing on a subway train.
Ein brauner Hund läuft durchs Gras und seine Zunge hängt heraus.,A brown dog walks in the grass with its tongue hanging out.,A brown dog is running through the grass with its tongue hanging out.
Leute sitzen vor einem Gebäude im Gras und machen Pause.,"People sitting in the grass outside a building, taking a break.",People are sitting in grass outside a building taking break time.User Can you translate German to
Mann ohne Hemd starrt vor einem Café in die Ferne während drei Frauen an einer Menschenmenge vorbeigehen.,Shirtless guy staring off in the distance while three woman are walking past a crowd sitting outside a cafe.,Man not wearing a shirt staring into the distance while three women walk past a crowd outside of a cafe
Zwei Jungen packen Obst auf das Fahrrad.,Two young boys putting fruit on the bike.,Two boys are packing fruit onto the bicycle.Exercise Translate German to English.
Ein Mann in einem schwarzen T-Shirt spielt Trommel auf einem umgedrehten gelben Kübel.,"A man in a black t-shirt, cap and jeans is playing drums on an upside down yellow pail.",A man wearing a black tshirt is playing drums on an open green container.
Eine junge Künstlerin malt ein Bild einer Frau auf eine Wand.,A young female artists paints an image of a woman on a wall.,A young artist paints a picture of a woman on a wall.
"Zwei Spielerinnen der US-Nationalmannschaft klatschen im Sprung ab, umgeben von zwei weiteren Spielerinnen.",Two female members of team USA performing a jump high-five surrounded by two other female members.,Two female members of the USA national team are jumping in midair surrounded by two other females.
Ein Mann rührt in einem Topf in seiner Küche.,A man stirring a pot of liquid in this kitchen.,A man sweeping his kitchen floor with a broom.Your task Rewrite
Ein Junge beim Wakeboarden auf dem See.,The boy is wakeboarding on the lake.,A boy wakesboarding on the lake.
Ein Mann arbeitet an einem Hotdog-Stand.,A man is working a hotdog stand.,A man works at a hot dog stand. Exercise Translate German to English
Eine große Gruppe von Menschen unterschiedlichen Alters und Geschlechts sitzt gemeinsam im Freien.,A large group of people of various ages and genders sit outside together.,A large group of people with various ages and genders sitting together outside.
Eine blonde Frau schenkt an einer Bar Getränke ein.,A blond-haired woman is pouring drinks at a bar.,A blond woman is ordering a drink at the bar.Your task Rewrite
Ein kleines Kind in einem blau-weißen T-Shirt hält glücklich einen gelben Plastik-Alligator.,A small child wearing a blue and white t-shirt happily holding a yellow plastic alligator.,A small child holding a yellow plastic alligator is wearing a blue and white tshirt.
Eine schwarz gekleidete Frau mit rosa Haaren spricht mit einem Mann.,A woman with pink hair dressed in black talks to a man.,A woman wearing black and pink hair talks with a man. Your task 
Der Mann im japanischen Kochgewand bereitet ein Essen für zwei Personen zu.,The man in a Japanese cooking suit is preparing a meal for two people.,The man in the Japanese chefs apron is preparing food for two people. IN
Ein Mädchen springt von Fels zu Fels über den Bach.,"A girl hops across the river, from rock to rock.",A girl jumps from rock to rocks across the creek.
Ein Arbeiter mit Werkzeugkiste kniet neben zwei Frauen.,A male worker with his tool box is kneeling next to two women.,A worker with tool belt kneels next to two women.Your task Rew
Ein älterer Mann breitet seine Arme aus und blickt verblüfft.,An older man is opening his arms wide and looking perplexed.,An older man is stretching his arm out and looking surprised.Your task Rew
Ein Kind in einem weißen Karateanzug übt eine Bewegung.,A child in a white karate outfit practicing a move,A child wearing a white karate uniform is practicing an exercise.
Drei Männer in gleichfarbigen Westen halten sich im Freien auf.,Three men in same colored vests are in the outdoors.,Three men wearing matching white shirts are outside holding onto something. Your task 
"Eine Frau macht ein Bild von einem Baby mit rosa Mütze, das von einem Mann getragen wird.",A woman takes a picture of a baby wearing a pink hat while a man carries her.,A woman is making a picture of baby with pink hat that was made by man.Output
Eine Gruppe überwiegend asiatischer Kinder sitzt in Arbeitsnischen verteilt auf blauen Stühlen.,A group of mostly asian children sitting at cubicles in blue chairs.,A group of Asian children are sitting on blue chairs with workbooks spread out over them. 
Ein kleiner Junge im Fußballdress hält die Hände vors Gesicht und weint.,A young boy in a soccer uniform crying into his palms.,A little boy in soccer uniform holds his hands up and is crying. Explanation
Eine glückliche Frau bereitet in einem Coffee-Shop eine Erfrischung zu.,A happy woman is preparing a refreshment at a coffee shop.,A happy woman is getting a drink at the coffee shop.
Ein Bauarbeiter bewegt schweres Gerät auf einer Baustelle.,A construction worker is driving heavy equipment at a work site.,A construction worker is moving heavy equipment at the site of some building work being done.
Eine Frau läuft beim Softball nach einem erfolgreichen Schlag los während die Fängerin sich erhebt.,"A woman runs after making a hit in women's softball, the catcher rises to her feet.",A woman runs after the ball as she is about to hit it in softball game.Output
Ein Mann in Arbeitskleidung reicht einer anderen Person ein Werkzeug.,A man in a work uniform passing a tool to another person.,A man wearing work clothes is handing a tool to another person.Your task 
Eine Gruppe klettert bei kaltem Wetter.,A group of people are climbing in cold weather.,A group of people climbing in cold weather.
Ein Bergsteiger mit einem blauen Helm beginnt mit dem Abstieg.,A mountaineer about to descend down a mountain with a blue helmet on.,A rock climber with a blue helmet begins the climb.
Ein Mann macht einen Handstand auf einer runden Skulptur.,A man doing handstand on top of a round statue.,A man is doing a handstand on a round sculpture.Your task Rew
Ein Kind sitzt an einem Restauranttisch und hält eine Papiermaske vors Gesicht.,A child sitting at a restaurant table holding a paper mask against his face.,A child is sitting at a restaurant table with paper mask covering face.
"Ein brauner Hund watet in einen See, um einen Stock zu holen.",A brown dog wades into a lake to retrieve a stick.,A brown dog is swimming for a stick in the lake.Your task Rew
Eine Mutter bringt ihren zwei kleinen Söhnen an einer felsigen Küste mit sehr blauem Wasser das Angeln bei.,A mother teaches her two young boys to fish off of a rocky coast into very blue water.,A mother is singing lullabies while her two young children sleep on a rocky shore with very blue water
Ein kleines Kind läuft neben roten Stühlen.,A little kid is walking next to red banners.,A little kid is running next to some red chairs.
Ein Mädchen sitzt mit einem kleineren Jungen auf einem dekorierten Fahrrad während ein weiteres Mädchen ein Foto macht.,A girl sits on a decorated bike with a younger boy while another girl takes a picture.,A girl sits on a decorated bicycle while another young girl takes her picture.
Ein Schwarzer Hund holt einen Ball im Wasser.,A black dog is retrieving a ball in water.,A black dog holding a ball in the water.Exercise Translate German to English
Ein Mann in weißen Hosen und einem blauen Hemd tritt gegen einen gelben Boxsack.,A man in white pants and a blue shirt is kicking a yellow boxing bag.,A man wearing white pants and a blue shirt is kicking against a yellow box.
Zwei indische Männer nehmen an einer Zeremonie teil.,Two Indian men participating in a ceremony.,Two Indian men are part of a ceremony.Explanation This is a picture of
Ein Junge mit verschrammter Nase und bekritzelten Händen steht in einer Videothek.,A boy with a bruised nose and writing on his hands is standing in a video rental store.,A boy with a runny nose and messy hands stands in front of a video store.
Zwei Silhouetten paddeln in einem Kanu auf dem Ozean bei Sonnenuntergang.,Two silhouetted people paddle a canoe on the ocean during sunset.,Two silhouettes are paddling on a canoe at sunset over the ocean.
"Menschen stehen in einer vollen U-Bahn, der Bahnsteig draußen ist durch das Fenster zu sehen.","People are standing on a crowded subway, and the platform outside is visible through the window.",People are standing on a crowded subway platform outside the window of the train station.
Mann erklettert Mauer mit Feuer in der Hand,Man scaling wall with fire in hand,Man is writing a wall with fire on his hand.
Zwei braune Hunde rennen durch den Schnee.,Two brown dogs are running through the snow.,Two brown dogs are running in the snow.Your task Rewrite the
"Bühnenfoto einer kleinen Band, die für ein Theaterpublikum spielt.",On stage photo of small band performing for theater audience.,A photo of a small band performing for an audience in a theater.Explanation
Ein Baby im Weihnachtskostüm blickt in die Kamera.,A baby in a Christmas outfit looks at the camera.,A baby dressed up for Christmas looking at the camera.
Ein Mann Sitzt neben einem Computermonitor.,A man is sitting next to a computer monitor.,A man is sitting near a computer monitor.
Diese Frau hat gerade einen lustigen Witz gehört und lacht.,This lady has heard a funny joke and laughing.,This woman just had a funny joke and is laughing at it now.
"Personen in einem Gebäude, eine von ihnen macht ein Foto.","People inside of a building, one is taking a photo.",People inside a building one of them is taking a photo.
Vier weiße Hunde mit Maulkörben springen über eine rote Wand.,Four white dogs with muzzles jump over a red wall.,Four white dogs with muzzles are jumping over a red wall.Your task
Die Frau im blauen Shirt hält ein Baby.,The woman with the blue shirt is holding a baby.,The woman in the blue shirt is holding a baby.
Zwei Personen sitzen auf gestreiften Liegestühlen und angeln in einem Gewässer.,Two people are sitting fishing on striped beach chairs in a body of water.,Two people are sitting on striped logs and fishing by the water.Your task 
Eine alte Frau sitzt an einem Webstuhl und stellt Stoff her.,An old woman working at a loom making cloth.,An old woman is sitting in a recliner and sewing fabric.Exercise 2 Trans
Ein Junge im Vordergrund blickt über andere Personen auf einem Platz.,A boy standing in the foreground looking out over other people in a court.,A boy in the foreground looking over other people at an area of ground.
Ein Mann in einer blauen Jacke hält einen Jungen an der Schulter.,A man in a blue coat grabbing a young boy's shoulder.,A man wearing a blue jacket is holding a boy on his shoulder.Exercise Trans
Drei braune Hunde springen an der blau gekleideten Frau hoch.,Three brown dogs are jumping up at the woman wearing blue.,Three brown dogs are jumping up on the woman wearing blue clothing.
Ein Junge hängt aus dem Fenster eines vorbeifahrenden Taxis.,A boy hangs out of a passing taxi cab window,A boy hangs out of the window of an oncoming taxi. Your task
Ein Mann in einem grauen Shirt springt über die Spitze einer Sanddüne in der Wüste.,A man in a gray shirt jumps over the top of a sand dune in the desert.,A man wearing a gray shirt jumps over the top of an arid sand dune.Output
Ein Kind in einem gelben Shirt springt rauf und runter.,A child wearing a yellow shirt is jumping up and down.,A child wearing a yellow shirt is jumping and running away.
"Ein Arbeiter in einer gelben Jacke wird auf ein Gebäude gehoben, um zu arbeiten.",A worker in a yellow jacket is hoisted up high to work on a building.,A laborer wearing a yellow jacket is being moved into a building for work.
Ein Mann in Brasilien unterhält sich mit jungen Erwachsenen.,A man in Brazil giving an informal talk to young adults.,A man from Brazil is talking with young adults.
Ein paar Bier-Zapfhähne in einer Bar mit Weihnachtsdekoration an der Decke.,A bunch of beer pull tabs at a bar with Christmas lights on the ceiling.,A few beer taps at a bar with Christmas decorations on the floor.
Ein Mann seilt sich an einer Klippe über dem Ozean ab.,A man is abseiling down a cliff over the ocean.,A man is painting on a cliff over the ocean.Exercise 2 Translate German
Ein Mann in schwarz geht im Schnee zu seinem Fahrzeug.,A man in black is walking to his truck in the snow.,A man wearing black is walking towards his vehicle in the snow.
Ein Foxterrier springt nach einem Ball.,A fox terrier leaps after a ball.,A fox terrier jumps for a ball.
Eine Polizistin mit Mütze und blauer Uniform trägt eine Sonnenbrille und lächelt vor einem Geschäft.,A female police officer in a cap and navy uniform smiles while wearing sunglasses outside of a shop.,A female police officer wearing a hat and blue uniform is smiling while wearing sunglasses in front of a store
Eine Familie spaziert durch einen Park.,A Family going for a walk in a park.,A family is walking through a park.
Ein Mann mit einem grünen Schutzhelm und Sicherheitsweste blickt ernst.,A man in a green hard hat and yellow safety vest frowns.,A man with a green hard hat and safety vest is looking intently at something.Follow up
Ein Kind mit pinken Fäden auf dem Kopf tanzt umgeben von Konfetti und Ballons.,"Child with pink strings on head dancing surrounded by confetti, balloons.",A child with feathers on his head dances among confetti and balloons.
Ein Hund mit Stupsnase schnuppert nach etwas an einem Flussufer.,A dog with a snub nose smells for something on a riverbank.,A dog with a mouthful of something on the shore of a riverbank.
Ein Mann bereitet seinen Stand für das Tagesgeschäft vor.,A man prepares his local stand for the days business.,A man is preparing his store for the days business.
"Ein Mann in einem roten Hemd schickt sich an, einen Taco zu essen.",A man in a red shirt is about to eat a taco.,A man wearing a red shirt is getting ready to eat a taco. What does this
Eine junge Dame in weiß hält einen Tennisschläger.,A young lady in white holding a tennis racket,A young lady wearing white is holding a tennis racket.
Ein Junge in einem roten Shirt gräbt mit einer gelben Schaufel im Sand.,A boy wearing a red shirt digs into the sand with a yellow shovel.,A boy wearing a red shirt is digging with a yellow shovel into the sand. boy
Eine Person in einer rosa Jacke sitzt untätig auf einer hölzernen Bank.,An individual wearing rose jacket site idle on a wooden bench.,A person wearing a pink jacket is sitting down on an old wooden bench.
Ein Mann in einem weißen Hemd blickt durch ein Fenster einer Metallkonstruktion.,A man wearing a white shirt is looking out a window of a metal construction.,A man wearing a white shirt looks through the window of a metal structure.Your task
Eine Frau hält eine kleine weiße Statue.,A woman is holding a small white statue.,A woman holding a small white statue.
Sechs Kinder ohne Hemd spielen in natürlichem Gewässer und planschen.,Six shirtless children are playing in natural water and splashing around.,Six children without shirts are playing and splashing around in natural water. endof
Zwei Personen fahren auf Fahrrädern durch eine Gebirgslandschaft.,Two people riding bikes through a mountainous region.,Two people riding bikes through mountainous terrain.Your task Rewrite the above
Ein Mädchen beim Seilhüpfen auf dem Gehweg nahe einer Garage.,A girl jumping rope on a sidewalk near a parking garage.,A girl is rock climbing on the sidewalk near a garage door.Your task 
Ein Mann trägt ein orangefarbenes Shirt und einen Helm.,A man wearing an orange shirt and helmet.,A man wearing an orange shirt and a helmet is riding his bike.
"Ein kleiner Junge spielt mit Plastikklötzen, Autos und Tieren während eine Erwachsene ihn aufmerksam beobachtet.","A small boy plays with plastic blocks, cars, and animals with an adult watching closely.","A young boy is playing with plastic blocks, cars and animals as an adult watches him attentively."
"Ein kleines Mädchen, das ein Weihnachtsgeschenk auspackt.",A little girl opening a Christmas present.,A little girl carrying a Christmas present.
Die blau gekleidete Frau bedient eine Kamera vor zwei anderen Frauen.,The woman in blue is operating a camera in front of two other women.,The woman in blue is posing for a camera while two other women stand behind her.Output
Ein kleines Mädchen versucht auf einem gemütlichen Sofa ein Nickerchen zu machen.,A little girl tries taking a nap on the comfy sofa.,A little girl is trying to make a sandwich on an intimate couch.
Ein braun-schwarzer Hund läuft auf einem Pfad im Wald.,A brown and black dog running on a trail in the woods.,A brown and black dog walking on a trail in the woods.
Zwei Hunde spielen an einem Baum.,Two dogs play by a tree.,Two dogs playing on a tree.
Ein Marineoffizier in einem schwarzen Mantel und Hose steigt Treppen während die Kamera auf den Hund fokussiert.,A navy walking wearing a black coat and pants on the stairs as camera focuses on the dog,A marine officer wearing black coat and pants is climbing steps while the camera focuses on the dog.
Zwei grün gekleidete Männer bereiten in einem Restaurant Essen zu.,Two men dressed in green are preparing food in a restaurant.,Two men dressed in green are preparing food at a restaurant.Explanation The two
Ein Mann in schwarzem Leder und einem Cowboyhut schlendert auf einem Renaissancefestival.,A man dressed in black leather and a cowboy hat is walking around a Renaissance Festival.,A man wearing black leather and a cowboy hat is waving at an outdoor renaissance festival.
Ein Hund läuft mit einem gelben Spielzeug im Freien.,A dog runs outside with a yellow toy.,A dog is running with a yellow toy outside.
"Ein Hund, der einen Mantel trägt, läuft im Schnee.",A dog wearing a cover runs in the snow.,A dog wearing a coat walks in snow.Followup Questions1 What color is
Eine Familie spielt am Strand mit ihrem Hund.,A family is playing on the beach with their dog.,A family is playing on the beach with their dog.Your task Rewrite
"Eine Frau und ein Kind umarmen sich während das Kind kostet, was sie gerade gemeinsam zubereiten.",A woman and a child embrace while the child tastes what they have been making.,A woman and a child hug while the child gets ready for what they are about to do together.
Zwei Männer und eine Dame stehen im Freien.,Two men and a lady are standing outside.,Two men and a lady are outside standing up.
"Eine Gruppe von Männern verwendet Baumstämme, um ein Boot aus dem Wasser zu schieben.",A group of men using logs to push a boat out of the water.,A group of men use tree branches as rafts for getting out into the water.Output
Ein Mann trinkt aus einem Weinglas während er eine Zeitung liest.,A man drinks from a wineglass while reading the paper.,A man is drinking wine from a glass while reading the newspaper. Your task
Ein ganz in schwarz gekleideter Mann spielt Piano.,A man wearing a all black and playing a piano.,A man dressed entirely in black is playing piano.
Ein Junge in einem blauen Trikot und gelben Shorts spielt Fußball.,A young boy wearing a blue jersey and yellow shorts is playing soccer.,A boy wearing a blue jersey and yellow shorts is playing soccer.
Ein Mann steht auf einem Stein und breitet seine Arme aus wie ein Vogel.,A man is standing on a stone structure with his arms out like a bird.,"A man stands on stone, stretching his arms out like wings of a bird."
Ein Hund trinkt draußen Wasser auf dem Gras.,A dog drinks water outside on the grass.,A dog drinking water on the grass outside.
Zwei Frauen in Tank-Tops blicken in die Kamera.,Two women wearing tank tops are looking at the camera.,Two women wearing tank tops look at the camera. Rewrite These two ladies are
