,input_de,output_en,gt_en
67,"Eine Frau Sitzt mit einem Korb voller Stoff, umgeben von Stoff.",A woman sitting with a basket of fabric surrounded by fabric.,"A woman is sitting with a basket of cloth, surrounded by cloth."
68,Ein Mann grillt im Freien in seinem Hof.,,A man is grilling out in his backyard.
69,Eine Frau singt in einem Klub mit einem Gitarristen hinter ihr.,A woman is singing in a bar with a guitarist behind her,A woman sings in a club with a guitarist behind her.
70,Gitarristin spielt in einem Nachtklub auf einer roten Gitarre.,Female guitarist playing on a red guitar at a night club.,Guitar player performs at a nightclub red guitar.
71,Ein Kind sitzt auf einem Gartenstuhl und sieht zur Kamera auf,A child is sitting on a lawn chair looking at the camera,A child sitting on a lawn chair looking up at the camera
72,Zwei Frauen und drei Männer blicken auf den Ozean.,Two women and three men looking at the ocean.,Two ladies and three men looking at the ocean.
73,Eine Musikantin mit einer Violine spielt auf der Straße während eine Frau mit einer blauen Gitarre zusieht.,A musician with a violin is playing on the street while a,A female performer with a violin plays on a street while a woman with a blue guitar looks on.
74,Ein junges Mädchen schwimmt in einem Pool,A young girl swims in a pool.assistant,A young girl swimming in a pool
75,Mehrere Kinder sind im Freien und bereiten sich auf Tauziehen vor.,Several children are outdoors preparing to participate in a tug of war,Several children are outdoors getting ready to play tug-of-war.
76,Drei Teenager in einer U-Bahn albern herum.,Three teenagers are talking and laughing on a subway. affor,Three teenagers in a subway playing around.
77,Ein brauner Hund läuft durchs Gras und seine Zunge hängt heraus.,A brown dog is running through the grass and his tongue hangs,A brown dog walks in the grass with its tongue hanging out.
78,Leute sitzen vor einem Gebäude im Gras und machen Pause.,People sitting outside a building in the grass taking a break.,"People sitting in the grass outside a building, taking a break."
79,Mann ohne Hemd starrt vor einem Café in die Ferne während drei Frauen an einer Menschenmenge vorbeigehen.,Man without shirt stares off into the distance while three women walk,Shirtless guy staring off in the distance while three woman are walking past a crowd sitting outside a cafe.
80,Zwei Jungen packen Obst auf das Fahrrad.,Two boys are packing fruit on their bikes. affor unused,Two young boys putting fruit on the bike.
81,Ein Mann in einem schwarzen T-Shirt spielt Trommel auf einem umgedrehten gelben Kübel.,A man wearing a black tshirt is playing drums on,"A man in a black t-shirt, cap and jeans is playing drums on an upside down yellow pail."
82,Eine junge Künstlerin malt ein Bild einer Frau auf eine Wand.,A young artist paints a picture of a woman on a wall,A young female artists paints an image of a woman on a wall.
83,"Zwei Spielerinnen der US-Nationalmannschaft klatschen im Sprung ab, umgeben von zwei weiteren Spielerinnen.",Two players from the U.S. National team are jumping,Two female members of team USA performing a jump high-five surrounded by two other female members.
84,Ein Mann rührt in einem Topf in seiner Küche.,A man is stirring a pot in his kitchen.unused,A man stirring a pot of liquid in this kitchen.
85,Ein Junge beim Wakeboarden auf dem See.,A young boy wakesurfing on the lake.,The boy is wakeboarding on the lake.
86,Ein Mann arbeitet an einem Hotdog-Stand.,A man works at a hot dog stand.,A man is working a hotdog stand.
87,Eine große Gruppe von Menschen unterschiedlichen Alters und Geschlechts sitzt gemeinsam im Freien.,A large group of people of various ages and genders sit together,A large group of people of various ages and genders sit outside together.
88,Eine blonde Frau schenkt an einer Bar Getränke ein.,A blond woman is giving a bar drink to someone.,A blond-haired woman is pouring drinks at a bar.
89,Ein kleines Kind in einem blau-weißen T-Shirt hält glücklich einen gelben Plastik-Alligator.,A little kid wearing a blue and white tshirt is,A small child wearing a blue and white t-shirt happily holding a yellow plastic alligator.
90,Eine schwarz gekleidete Frau mit rosa Haaren spricht mit einem Mann.,A woman in black with pink hair speaks to a man.,A woman with pink hair dressed in black talks to a man.
91,Der Mann im japanischen Kochgewand bereitet ein Essen für zwei Personen zu.,The man in the Japanese chef garb prepares a meal for two,The man in a Japanese cooking suit is preparing a meal for two people.
92,Ein Mädchen springt von Fels zu Fels über den Bach.,A girl jumps from rock to rock over the stream.,"A girl hops across the river, from rock to rock."
93,Ein Arbeiter mit Werkzeugkiste kniet neben zwei Frauen.,An worker with a tool box kneeling next to two women.,A male worker with his tool box is kneeling next to two women.
94,Ein älterer Mann breitet seine Arme aus und blickt verblüfft.,An older man spreads his arms out and looks amazed.unused,An older man is opening his arms wide and looking perplexed.
95,Ein Kind in einem weißen Karateanzug übt eine Bewegung.,A child wearing a white karate suit is performing an action.,A child in a white karate outfit practicing a move
96,Drei Männer in gleichfarbigen Westen halten sich im Freien auf.,Three men wearing matching vests are standing outside.,Three men in same colored vests are in the outdoors.
97,"Eine Frau macht ein Bild von einem Baby mit rosa Mütze, das von einem Mann getragen wird.",A woman takes a picture of a baby in a pink hat,A woman takes a picture of a baby wearing a pink hat while a man carries her.
98,Eine Gruppe überwiegend asiatischer Kinder sitzt in Arbeitsnischen verteilt auf blauen Stühlen.,A group of mostly asian children sitting around blue chairs in work,A group of mostly asian children sitting at cubicles in blue chairs.
99,Ein kleiner Junge im Fußballdress hält die Hände vors Gesicht und weint.,A young boy in a soccer uniform is holding his hands to,A young boy in a soccer uniform crying into his palms.
100,Eine glückliche Frau bereitet in einem Coffee-Shop eine Erfrischung zu.,A happy woman making a refreshment at a coffee shop.unused,A happy woman is preparing a refreshment at a coffee shop.
101,Ein Bauarbeiter bewegt schweres Gerät auf einer Baustelle.,A construction worker moves heavy equipment on a job site.,A construction worker is driving heavy equipment at a work site.
102,Eine Frau läuft beim Softball nach einem erfolgreichen Schlag los während die Fängerin sich erhebt.,A woman running after a successful pitch while the band sings.,"A woman runs after making a hit in women's softball, the catcher rises to her feet."
103,Ein Mann in Arbeitskleidung reicht einer anderen Person ein Werkzeug.,A man wearing work clothes hands another person a tool. affor,A man in a work uniform passing a tool to another person.
104,Eine Gruppe klettert bei kaltem Wetter.,A group of people climbing in cold weather.,A group of people are climbing in cold weather.
105,Ein Bergsteiger mit einem blauen Helm beginnt mit dem Abstieg.,A mountain climber wearing a blue helmet starts to descend.,A mountaineer about to descend down a mountain with a blue helmet on.
106,Ein Mann macht einen Handstand auf einer runden Skulptur.,A man is doing a handstand on a round sculpture.,A man doing handstand on top of a round statue.
107,Ein Kind sitzt an einem Restauranttisch und hält eine Papiermaske vors Gesicht.,A child sits at a restaurant table holding a paper mask to,A child sitting at a restaurant table holding a paper mask against his face.
108,"Ein brauner Hund watet in einen See, um einen Stock zu holen.",A brown dog is wading into a lake to retrieve a stick,A brown dog wades into a lake to retrieve a stick.
109,Eine Mutter bringt ihren zwei kleinen Söhnen an einer felsigen Küste mit sehr blauem Wasser das Angeln bei.,A mother is bringing her two young sons fishing in the very,A mother teaches her two young boys to fish off of a rocky coast into very blue water.
110,Ein kleines Kind läuft neben roten Stühlen.,A little kid running next to red chairs.unused,A little kid is walking next to red banners.
111,Ein Mädchen sitzt mit einem kleineren Jungen auf einem dekorierten Fahrrad während ein weiteres Mädchen ein Foto macht.,A girl is sitting with a small boy on a decorated bicycle,A girl sits on a decorated bike with a younger boy while another girl takes a picture.
112,Ein Schwarzer Hund holt einen Ball im Wasser.,A black dog is retrieving a ball in the water.,A black dog is retrieving a ball in water.
113,Ein Mann in weißen Hosen und einem blauen Hemd tritt gegen einen gelben Boxsack.,A man in white pants and a blue shirt is fighting a,A man in white pants and a blue shirt is kicking a yellow boxing bag.
114,Zwei indische Männer nehmen an einer Zeremonie teil.,Two Indian men are participating in a ceremony. affor ,Two Indian men participating in a ceremony.
115,Ein Junge mit verschrammter Nase und bekritzelten Händen steht in einer Videothek.,A boy with a squashed nose and sticky hands standing in,A boy with a bruised nose and writing on his hands is standing in a video rental store.
116,Zwei Silhouetten paddeln in einem Kanu auf dem Ozean bei Sonnenuntergang.,Two silhouettes paddle a canoe on the ocean at sunset.,Two silhouetted people paddle a canoe on the ocean during sunset.
117,"Menschen stehen in einer vollen U-Bahn, der Bahnsteig draußen ist durch das Fenster zu sehen.",People are standing on an overcrowded subway train with the platform outside,"People are standing on a crowded subway, and the platform outside is visible through the window."
118,Mann erklettert Mauer mit Feuer in der Hand,man climbs a wall with fire in his handcosity man,Man scaling wall with fire in hand
119,Zwei braune Hunde rennen durch den Schnee.,Two brown dogs run through the snow.unusedassistant,Two brown dogs are running through the snow.
120,"Bühnenfoto einer kleinen Band, die für ein Theaterpublikum spielt.",Band photo of a small band playing for a theater audience.,On stage photo of small band performing for theater audience.
121,Ein Baby im Weihnachtskostüm blickt in die Kamera.,A baby dressed in Christmas costume looks into the camera. affor,A baby in a Christmas outfit looks at the camera.
122,Ein Mann Sitzt neben einem Computermonitor.,A man sitting next to a computer monitor.unused,A man is sitting next to a computer monitor.
123,Diese Frau hat gerade einen lustigen Witz gehört und lacht.,This woman just heard a funny joke and is laughing. affor,This lady has heard a funny joke and laughing.
124,"Personen in einem Gebäude, eine von ihnen macht ein Foto.",People are inside a building and one of them is taking a,"People inside of a building, one is taking a photo."
125,Vier weiße Hunde mit Maulkörben springen über eine rote Wand.,Four white dogs wearing bandanas are jumping over a red wall,Four white dogs with muzzles jump over a red wall.
126,Die Frau im blauen Shirt hält ein Baby.,The woman in the blue shirt holds a baby.unused,The woman with the blue shirt is holding a baby.
127,Zwei Personen sitzen auf gestreiften Liegestühlen und angeln in einem Gewässer.,Two people sitting on striped lounge chairs and fishing in a body,Two people are sitting fishing on striped beach chairs in a body of water.
128,Eine alte Frau sitzt an einem Webstuhl und stellt Stoff her.,An old woman is sitting at a loom and making fabric.,An old woman working at a loom making cloth.
129,Ein Junge im Vordergrund blickt über andere Personen auf einem Platz.,A boy in the foreground looks over other people on a plaza,A boy standing in the foreground looking out over other people in a court.
130,Ein Mann in einer blauen Jacke hält einen Jungen an der Schulter.,A man in a blue jacket holds a boy on his shoulder,A man in a blue coat grabbing a young boy's shoulder.
131,Drei braune Hunde springen an der blau gekleideten Frau hoch.,Three brown dogs are jumping up at the woman in blue.,Three brown dogs are jumping up at the woman wearing blue.
132,Ein Junge hängt aus dem Fenster eines vorbeifahrenden Taxis.,A boy is dangling from the window of a taxi as it,A boy hangs out of a passing taxi cab window
133,Ein Mann in einem grauen Shirt springt über die Spitze einer Sanddüne in der Wüste.,A man wearing a gray shirt jumping over the top of a,A man in a gray shirt jumps over the top of a sand dune in the desert.
134,Ein Kind in einem gelben Shirt springt rauf und runter.,A child in a yellow shirt is jumping up and down.,A child wearing a yellow shirt is jumping up and down.
135,"Ein Arbeiter in einer gelben Jacke wird auf ein Gebäude gehoben, um zu arbeiten.",A worker wearing a yellow jacket is being lifted onto a building,A worker in a yellow jacket is hoisted up high to work on a building.
136,Ein Mann in Brasilien unterhält sich mit jungen Erwachsenen.,A man in Brazil conversing with young adults.E,A man in Brazil giving an informal talk to young adults.
137,Ein paar Bier-Zapfhähne in einer Bar mit Weihnachtsdekoration an der Decke.,A few beer taps on a bar with christmas decorations on the,A bunch of beer pull tabs at a bar with Christmas lights on the ceiling.
138,Ein Mann seilt sich an einer Klippe über dem Ozean ab.,A man is parasailing over the ocean from a cliff.,A man is abseiling down a cliff over the ocean.
139,Ein Mann in schwarz geht im Schnee zu seinem Fahrzeug.,A man in black is walking to his car in the snow,A man in black is walking to his truck in the snow.
140,Ein Foxterrier springt nach einem Ball.,A fox terrier jumps for a ball.unusedassistant,A fox terrier leaps after a ball.
141,Eine Polizistin mit Mütze und blauer Uniform trägt eine Sonnenbrille und lächelt vor einem Geschäft.,A female police officer in a hat and blue uniform is wearing,A female police officer in a cap and navy uniform smiles while wearing sunglasses outside of a shop.
142,Eine Familie spaziert durch einen Park.,A family is walking through a park.assistant,A Family going for a walk in a park.
143,Ein Mann mit einem grünen Schutzhelm und Sicherheitsweste blickt ernst.,A man wearing a green hard hat and safety vest looks serious,A man in a green hard hat and yellow safety vest frowns.
144,Ein Kind mit pinken Fäden auf dem Kopf tanzt umgeben von Konfetti und Ballons.,A child with pink ribbons on his head dances surrounded by confetti,"Child with pink strings on head dancing surrounded by confetti, balloons."
145,Ein Hund mit Stupsnase schnuppert nach etwas an einem Flussufer.,A dog with a droopy snout sniffing something on the bank,A dog with a snub nose smells for something on a riverbank.
146,Ein Mann bereitet seinen Stand für das Tagesgeschäft vor.,A man prepares his stand for the days business.,A man prepares his local stand for the days business.
147,"Ein Mann in einem roten Hemd schickt sich an, einen Taco zu essen.",A man in a red shirt is ready to eat a taco,A man in a red shirt is about to eat a taco.
148,Eine junge Dame in weiß hält einen Tennisschläger.,A young lady with white holds a tennis racket. affor,A young lady in white holding a tennis racket
149,Ein Junge in einem roten Shirt gräbt mit einer gelben Schaufel im Sand.,A boy in a red shirt is digging with a yellow shovel,A boy wearing a red shirt digs into the sand with a yellow shovel.
150,Eine Person in einer rosa Jacke sitzt untätig auf einer hölzernen Bank.,A person wearing a pink jacket is sitting idly on a wooden,An individual wearing rose jacket site idle on a wooden bench.
151,Ein Mann in einem weißen Hemd blickt durch ein Fenster einer Metallkonstruktion.,A man wearing a white shirt is looking through the window of,A man wearing a white shirt is looking out a window of a metal construction.
152,Eine Frau hält eine kleine weiße Statue.,A woman holds a small white statue.assistant,A woman is holding a small white statue.
153,Sechs Kinder ohne Hemd spielen in natürlichem Gewässer und planschen.,Six children without shirts are playing in natural water and splashing.,Six shirtless children are playing in natural water and splashing around.
154,Zwei Personen fahren auf Fahrrädern durch eine Gebirgslandschaft.,Two people are riding bicycles through a mountain landscape.,Two people riding bikes through a mountainous region.
155,Ein Mädchen beim Seilhüpfen auf dem Gehweg nahe einer Garage.,A girl doing slacklining on the sidewalk near a garage.,A girl jumping rope on a sidewalk near a parking garage.
156,Ein Mann trägt ein orangefarbenes Shirt und einen Helm.,A man wearing an orange shirt and a helmet.,A man wearing an orange shirt and helmet.
157,"Ein kleiner Junge spielt mit Plastikklötzen, Autos und Tieren während eine Erwachsene ihn aufmerksam beobachtet.","A little boy plays with plastic toys, cars and animals while","A small boy plays with plastic blocks, cars, and animals with an adult watching closely."
158,"Ein kleines Mädchen, das ein Weihnachtsgeschenk auspackt.",A little girl unpacking a Christmas gift.qassistant,A little girl opening a Christmas present.
159,Die blau gekleidete Frau bedient eine Kamera vor zwei anderen Frauen.,The woman in blue is taking pictures of two other women in,The woman in blue is operating a camera in front of two other women.
160,Ein kleines Mädchen versucht auf einem gemütlichen Sofa ein Nickerchen zu machen.,A little girl tries to take a nap on a cozy couch,A little girl tries taking a nap on the comfy sofa.
161,Ein braun-schwarzer Hund läuft auf einem Pfad im Wald.,A brown and black dog is running on a trail in the,A brown and black dog running on a trail in the woods.
162,Zwei Hunde spielen an einem Baum.,,Two dogs play by a tree.
163,Ein Marineoffizier in einem schwarzen Mantel und Hose steigt Treppen während die Kamera auf den Hund fokussiert.,A marine officer wearing a black coat and pants is climbing stairs,A navy walking wearing a black coat and pants on the stairs as camera focuses on the dog
164,Zwei grün gekleidete Männer bereiten in einem Restaurant Essen zu.,Two men dressed in green preparing food at a restaurant.,Two men dressed in green are preparing food in a restaurant.
165,Ein Mann in schwarzem Leder und einem Cowboyhut schlendert auf einem Renaissancefestival.,A man wearing black leather and a cowboy hat wanders around at,A man dressed in black leather and a cowboy hat is walking around a Renaissance Festival.
166,Ein Hund läuft mit einem gelben Spielzeug im Freien.,A dog is running outside with a yellow toy.,A dog runs outside with a yellow toy.
167,"Ein Hund, der einen Mantel trägt, läuft im Schnee.",A dog wearing a coat is running in the snow.,A dog wearing a cover runs in the snow.
168,Eine Familie spielt am Strand mit ihrem Hund.,A family plays at the beach with their dog.,A family is playing on the beach with their dog.
169,"Eine Frau und ein Kind umarmen sich während das Kind kostet, was sie gerade gemeinsam zubereiten.",A woman and a child are hugging while the child is eating,A woman and a child embrace while the child tastes what they have been making.
170,Zwei Männer und eine Dame stehen im Freien.,Two men and a woman are standing outside.unused,Two men and a lady are standing outside.
171,"Eine Gruppe von Männern verwendet Baumstämme, um ein Boot aus dem Wasser zu schieben.",A group of men use tree trunks to push a boat out,A group of men using logs to push a boat out of the water.
172,Ein Mann trinkt aus einem Weinglas während er eine Zeitung liest.,A man is drinking from a wineglass while reading the newspaper,A man drinks from a wineglass while reading the paper.
173,Ein ganz in schwarz gekleideter Mann spielt Piano.,A man dressed all in black is playing the piano.,A man wearing a all black and playing a piano.
174,Ein Junge in einem blauen Trikot und gelben Shorts spielt Fußball.,A boy in a blue shirt and yellow shorts is playing soccer,A young boy wearing a blue jersey and yellow shorts is playing soccer.
175,Ein Mann steht auf einem Stein und breitet seine Arme aus wie ein Vogel.,A man is standing on a stone and spreading his arms like,A man is standing on a stone structure with his arms out like a bird.
176,Ein Hund trinkt draußen Wasser auf dem Gras.,A dog is drinking water outside on the grass.,A dog drinks water outside on the grass.
177,Zwei Frauen in Tank-Tops blicken in die Kamera.,Two women wearing tank tops looking into the camera. afford,Two women wearing tank tops are looking at the camera.
178,Ein Mann sitzt im Friseurstuhl und bereitet sich auf eine Rasur vor.,A man sits in the barber chair and prepares to get a,A man is sitting in a barber's chair getting ready for a shave.
179,Ein kleines Kind in grünen Stiefeln spielt in einer Schlammpfütze.,A little kid in green boots playing in a puddle of mud,A young child wearing green boots playing in a mud puddle
180,Ein Mann schneidet Holz mit einer Kettensäge.,A man is sawing wood with a chainsaw. afford,A man using a chainsaw to cut lumber.
181,Ein Mann sitzt an einem Picknicktisch mit einem Tablett und halb ausgetrunkenem Bier vor sich.,A man sits at a picnic table with a tablet and half,A man sitting at a picnic table with a tray and partially consumed beer in front of him.
182,Der Junge im schwarzen T-Shirt und blauen Jeans hält einen roten Baseballschläger.,The boy in the black tshirt and blue jeans is,The boy wearing a black shirt and blue jeans is holding a red baseball bat.
183,"Ein dunkelhaariger Mann mit Bart, Brille und Hawaiihemd sitzt auf dem Gras.",A bearded man with a mustache and glasses sitting on grass.,A dark-haired bearded man in glasses and a Hawaiian shirt is sitting on the grass.
