de,en,predicted_en
"Eine Frau, die in einer Küche eine Schale mit Essen hält.",A woman holding a bowl of food in a kitchen.,A woman holding a plate with food in her kitchen.
"Ein sitzender Mann, der an einem Tisch in seinem Haus mit einem Werkzeug arbeitet.",Man sitting using tool at a table in his home.,A man sitting at a table with his work on it inside of his house.
Drei Leute sitzen in einer Höhle.,Three people sit in a cave.,Three people are sitting in a hole.
Ein Mädchen in einem Jeanskleid läuft über einen erhöhten Schwebebalken.,A girl in a jean dress is walking along a raised balance beam.,A girl is walking on a bridge over a deep ravine while wearing a skirt.
Eine Blondine hält mit einem Mann im Sand Händchen.,A blond holding hands with a guy in the sand.,A blond woman is holding a mans hand in the sand.
Eine Frau in einem Grauen Pulli und mit einer schwarzen Baseballmütze steht in einem Geschäft in der Schlange.,A woman in a gray sweater and black baseball cap is standing in line at a shop.,A woman wearing a gray pullover and with a black baseball cap is standing outside of her store on
Die Person im gestreiften Shirt klettert auf einen Berg.,The person in the striped shirt is mountain climbing.,The person in the striped shirt is climbing up a mountain.Instruct Translate German to English
"Zwei Männer tun so als seien sie Statuen, während Frauen ihnen zusehen.",Two men pretend to be statutes while women look on.,Two men are posing as statues while women look at them.
"Leute, die vor einem Gebäude stehen.",People standing outside of a building.,People standing outside a building.
Eine Teenagerin spielt bei einem Spiel Trompete auf dem Feld.,A teenager plays her trumpet on the field at a game.,A teenage girl playing the tuba on stage.
Eine Frau macht einen Salto auf einem Trampolin am Strand.,A woman does a somersault on a trampoline on the beach.,A woman doing an aerial jump on the beach with trampoline.
Ein Mann steht bei einigen Spielautomaten in einer Bar.,A man is standing by a group of video games in a bar.,A man standing near some vending machines at a bar.
Eine Frau verwendet eine Bohrmaschine während ein Mann sie fotografiert.,A woman uses a drill while another man takes her picture.,A woman is using a Bohr machine while a man photographs her.
Eine Frau in einem pinken Pulli und einer Schürze putzt einen Tisch mit einem Schwamm.,"A woman in a pink sweater and an apron, cleaning a table with a sponge.",A woman wearing a pink pullover and scarf putting dishes on the table with her hands wrapped around something
Ein Mann schneidet Äste von Bäumen.,A man cutting branches of trees.,A man is trimming the bushes in a yard.
"Eine Gruppe Asiatischer Jungen wartet am Grill darauf, dass Fleisch gar wird.",Group of Asian boys wait for meat to cook over barbecue.,A group of Asian boys are eating food on a grill while there is meat cooking.
"Frauen, die traditionelle Kleidung tragen, spielen das Leben Einheimischer nach.","Women, wearing traditional clothing, are reenacting native life.",Women wearing traditional clothing play a game of life in their native language.
Ein Mann drückt den Kopf eines anderen Mannes nach unten und will ihm ins Gesicht schlagen.,One man holds another man's head down and prepares to punch him in the face.,A man is scratching the head of another person while looking at him in his face.
Sechs Leute fahren Mountainbikes durch eine Dschungellandschaft.,Six people ride mountain bikes through a jungle environment.,Six people are riding mountain bikes through a dirt road.
2 blonde Mädchen sitzen auf einem Absatz auf einem belebten Platz.,2 blond girls are sitting on a ledge in a crowded plaza.,Two blond girls sitting on an outdoor bench in front of a busy place.
Ein Kind planscht im Wasser.,A child is splashing in the water,A child is planning in the water.
"Drei Leute sitzen an einem Picknicktisch vor einem Gebäude, das wie der Union Jack bemalt ist.",Three people sit at a picnic table outside of a building painted like a union jack.,Three people sitting at a picnic table outside of a building with the flag of England on it.
3 Jungen stehen in ihren Badehosen auf einem Pier.,3 boys are standing on a pier in their bathing suits.,Three boys are standing on piers wearing bathing suits.
"Ein Angestellter reicht einer Frau auf einem Markt eine Tüte, während sie auf Eis gelegten Fisch begutachtet.",An employee is handing a woman a bag while she is browsing through fish on ice at a street market.,A vendor is selling fish while a woman watches on icecovered water at the market.
Eine schöne Frau spielt auf einer Harfe.,A pretty woman plays a harpsichord.,A beautiful woman plays the harp.
Vor einem Gebäude sieht ein uniformierter Sicherheitsbeamter hinter einem Zaun in die Kamera.,"Outside a building, a uniformed security guard looks at the camera from behind a fence.",A uniformed security officer is behind a fence camera at the entrance of a building.
Die junge Dame sieht auf die Pizza.,The young lady is looking at the pizza.,The young girl looks at the pizza.
Ein Mann mit freiem Oberkörper und Shorts steht auf ein paar Steinen und angelt.,A shirtless man in shorts is fishing while standing on some rocks.,A man with loose pants and shorts standing on stones while he is talking in front of them.
Ein Mädchen in einer Rettungsweste treibt im Wasser.,A girl wearing a life vest floats in water.,A girl is rescuing someone from drowning while swimming.
Ein Mann in Uniform und ein Mann in einem blauen Hemd stehen vor einem Wagen.,A man in uniform and a man in a blue shirt are standing in front of a truck.,A man wearing uniform and a blue shirt stand outside of a car with another man standing next to him
Leute sitzen in einem Zug.,People sit inside a train.,People are sitting inside a train car.
Ein Junge schaukelt mit den Füßen in der Luft in einem Wald.,A kid swings with his feet up in the air in a forest.,A boy is skateboarding on the ground in a forest.
Ein Mann in einem roten Hemd betritt ein Etablissement.,A man in a red shirt entering an establishment.,A man wearing a red shirt enters an establishment.
Zwei Männer in Badehosen springen auf einem mäßig belebten Strand in die Luft.,Two men wearing swim trunks jump in the air at a moderately populated beach.,Two men in swim trunks jumping on a crowded beach.
Ein kleines Kind kocht mit einer anderen Person.,A toddler is cooking with another person.,A little boy is kissing another persons cheek.
Eine Vaterfigur und zwei Kinder machen vor ihrem Zuhause Gartenarbeit wie den Rasen mit einer Gartenhacke zu bearbeiten und einen Baum zu pflanzen.,A father-figure and two children outside their home doing yard work such as using a hoe on the grass and planting a tree.,"A father and two children are working in their garden, planting grass with a rake while tending the trees"
Ein Mann bereitet am Herd Essen zu.,A man cooking food on the stove.,A man preparing food for a herd of animals.
Ein Mann in Jeans spielt an einem Strand mit einem roten Ball.,A man in jeans at the beach playing with a red ball.,A man wearing jeans is playing on a beach with a red ball.
Leute gehen auf einem Gehsteig neben einer Reihe von Geschäften.,People walking down sidewalk next to a line of stores.,People walking on the sidewalk near row of houses and businesses.
Ein Wakeboarder macht einen Salto während er bei hoher Geschwindigkeit an einem Seil gezogen wird.,A wakeboarder performs a flip while being towed at high speed.,A wake boarder doing a jump while at high speed on the water.
Eine große Menschenmenge füllt eine Straße.,A large group of people fill a street.,A large group of people fill a street.
Ein Mann an einem Halteseil geht ins Wasser.,A man on a tag line going into the water.,A man on a boat row into the water.
"Eine Frau in Jeans läuft vor einem Bus vorbei, auf dem eine Werbung eine Frau zeigt, die über den Rand ihrer Sonnenbrille blickt.",A woman in jeans walks by a bus with an ad depicting a woman peering over her sunglasses.,A woman wearing jeans is walking past the bus stop with an advertisement on her shoulder that has someones
Ein Mann in einem pinken Hemd sitzt auf dem Gras und ein Ball ist in der Luft.,A man in a pink shirt is sitting in the grass and a ball is in the air.,A man sitting on grass with ball in air wearing pink shirt.
Ein am Strand geparktes Auto.,A car parked at the beach.,A beachside carousel at the beach.
Zwei Männer in Schwarz in einer Stadt,Two men wearing black in a city,Two men wearing black shirts walking through a city.
Der Mann in der gelben Hose hebt seine Arme.,The man in the yellow pants is raising his arms.,The man wearing the yellow shirt is putting on his uniform.
Zwei Männer mit Hüten und Spazierstöcken schlendern neben einem Gewässer bei Sonnenuntergang.,Two men wearing hats and using walking sticks are walking near a body of water during sundown.,Two men in jackets and hats walking by a lake at sunset.
Ein Cheerleaderteam macht eine Übung auf Stühlen.,A cheerleading team doing a routine on chairs.,A cheerleading team doing an exercise on mats.
Ein Junge spielt mit einem Erwachsenen außerhalb des Bildes Dame während ein Mädchen zusieht.,A boy is playing checkers with an adult shown off-screen while a girl looks on.,A boy playing with an adult outside of a picture while a girl watches.
"Eine Gruppe Menschen, die sich in einem öffentlichen Park amüsieren wollen.",A crowd of people out for some fun in public park.,A group of people enjoying themselves at a public park.
Ein Mann sitzt auf einer Bank während er seinen Hund hält und aufs Wasser blickt.,A man sits on a bench holding his dog and looking at the water.,A man sitting on the bank while his dog looks at water.Instruct Translate German to
Ein Junge und sein jüngerer Bruder spielen gemeinsam auf einem Spielplatz.,A boy and his younger brother playing together at the playground.,A boy and his younger brother are playing together on a playground.
Ein blau gekleidete Frau sieht in eine schwarze Ledertasche während sie an einem sonnigen Nachmittag auf einer Bank sitzt und Menschen und Autos hinter ihr vorbeiziehen.,A woman in blue looks in a black leather bag while sitting on a bench during a sunny afternoon while people and limousines passed behind her.,A woman dressed blue is looking at black lede curtains while sitting on a bench outside her bank during
Der braune Hund steht auf dem Sandstrand.,The brown dog is standing on the sandy beach.,The brown dog is standing on the sand beach.
"Eine Frau Sitzt mit einem Korb voller Stoff, umgeben von Stoff.","A woman is sitting with a basket of cloth, surrounded by cloth.",A woman sitting on a couch covered in stuff.
Ein Mann grillt im Freien in seinem Hof.,A man is grilling out in his backyard.,A man grilling outdoors in his yard.
Eine Frau singt in einem Klub mit einem Gitarristen hinter ihr.,A woman sings in a club with a guitarist behind her.,A woman singing with a guitar behind her at a club.Instruct Translate German to English
Gitarristin spielt in einem Nachtklub auf einer roten Gitarre.,Guitar player performs at a nightclub red guitar.,A female guitarist is playing on stage at an evening club with red guitar.
Ein Kind sitzt auf einem Gartenstuhl und sieht zur Kamera auf,A child sitting on a lawn chair looking up at the camera,A child is sitting on a garden bench and looking at the camera.
Zwei Frauen und drei Männer blicken auf den Ozean.,Two ladies and three men looking at the ocean.,Two women and three men are looking at the ocean.
Eine Musikantin mit einer Violine spielt auf der Straße während eine Frau mit einer blauen Gitarre zusieht.,A female performer with a violin plays on a street while a woman with a blue guitar looks on.,A street musician playing violin while a woman with blue guitar listens nearby.
Ein junges Mädchen schwimmt in einem Pool,A young girl swimming in a pool,A young girl swims in a pool.
Mehrere Kinder sind im Freien und bereiten sich auf Tauziehen vor.,Several children are outdoors getting ready to play tug-of-war.,Several children are outside waiting for their turn on the swings.
Drei Teenager in einer U-Bahn albern herum.,Three teenagers in a subway playing around.,Three teenagers standing on a subway train are wearing hats.
Ein brauner Hund läuft durchs Gras und seine Zunge hängt heraus.,A brown dog walks in the grass with its tongue hanging out.,A brown dog runs through the grass with its tongue hanging out.
Leute sitzen vor einem Gebäude im Gras und machen Pause.,"People sitting in the grass outside a building, taking a break.","People sitting outside a building in grass, taking pause."
Mann ohne Hemd starrt vor einem Café in die Ferne während drei Frauen an einer Menschenmenge vorbeigehen.,Shirtless guy staring off in the distance while three woman are walking past a crowd sitting outside a cafe.,Man without hat is walking past a cafe with three women around it while they are talking among themselves.
Zwei Jungen packen Obst auf das Fahrrad.,Two young boys putting fruit on the bike.,Two boys are pedaling bikes with obstacles on them.
Ein Mann in einem schwarzen T-Shirt spielt Trommel auf einem umgedrehten gelben Kübel.,"A man in a black t-shirt, cap and jeans is playing drums on an upside down yellow pail.",A man wearing a black shirt is playing the tambourine on an uneven green bag.
Eine junge Künstlerin malt ein Bild einer Frau auf eine Wand.,A young female artists paints an image of a woman on a wall.,A young artist is painting the face of a woman on a canvas with paintbrush strokes.
"Zwei Spielerinnen der US-Nationalmannschaft klatschen im Sprung ab, umgeben von zwei weiteren Spielerinnen.",Two female members of team USA performing a jump high-five surrounded by two other female members.,Two players of the American National Team are jumping over two other female players in a jump rope competition.
Ein Mann rührt in einem Topf in seiner Küche.,A man stirring a pot of liquid in this kitchen.,A man is sweeping the floor of his kitchen with a broom.
Ein Junge beim Wakeboarden auf dem See.,The boy is wakeboarding on the lake.,A boy doing wakeboarding in the lake.
Ein Mann arbeitet an einem Hotdog-Stand.,A man is working a hotdog stand.,A man works at a hot dog stand.
Eine große Gruppe von Menschen unterschiedlichen Alters und Geschlechts sitzt gemeinsam im Freien.,A large group of people of various ages and genders sit outside together.,A large group of people with different ages and genders sitting together in the park.
Eine blonde Frau schenkt an einer Bar Getränke ein.,A blond-haired woman is pouring drinks at a bar.,A blond woman orders a drink at the bar.
Ein kleines Kind in einem blau-weißen T-Shirt hält glücklich einen gelben Plastik-Alligator.,A small child wearing a blue and white t-shirt happily holding a yellow plastic alligator.,A little boy wearing a blue and white striped t shirt holds happily onto his green plastic alligator toy
Eine schwarz gekleidete Frau mit rosa Haaren spricht mit einem Mann.,A woman with pink hair dressed in black talks to a man.,A blackdressed woman with red hair talks with a man in front of her.
Der Mann im japanischen Kochgewand bereitet ein Essen für zwei Personen zu.,The man in a Japanese cooking suit is preparing a meal for two people.,The man in Japanese costume prepares a meal for two people with food.
Ein Mädchen springt von Fels zu Fels über den Bach.,"A girl hops across the river, from rock to rock.",A girl jumping from rocks into a creek.
Ein Arbeiter mit Werkzeugkiste kniet neben zwei Frauen.,A male worker with his tool box is kneeling next to two women.,A worker with a toolbox kneeling next two women.
Ein älterer Mann breitet seine Arme aus und blickt verblüfft.,An older man is opening his arms wide and looking perplexed.,An older man looks at his weapon as he breaks it apart.
Ein Kind in einem weißen Karateanzug übt eine Bewegung.,A child in a white karate outfit practicing a move,A child wearing a white karate uniform performing an exercise.
Drei Männer in gleichfarbigen Westen halten sich im Freien auf.,Three men in same colored vests are in the outdoors.,Three men wearing matching white shirts are standing outside on the sidewalk.
"Eine Frau macht ein Bild von einem Baby mit rosa Mütze, das von einem Mann getragen wird.",A woman takes a picture of a baby wearing a pink hat while a man carries her.,A woman is making a picture of baby with red accessories that her boyfriend requested.
Eine Gruppe überwiegend asiatischer Kinder sitzt in Arbeitsnischen verteilt auf blauen Stühlen.,A group of mostly asian children sitting at cubicles in blue chairs.,"A group of children with Asianlooking parents sitting around tables eating blue plates and drinking cups, likely"
Ein kleiner Junge im Fußballdress hält die Hände vors Gesicht und weint.,A young boy in a soccer uniform crying into his palms.,A little boy in a soccer jersey holding his arms up as he drinks from the bottle.
Eine glückliche Frau bereitet in einem Coffee-Shop eine Erfrischung zu.,A happy woman is preparing a refreshment at a coffee shop.,A happy woman prepares a cup of coffee at a coffee shop.
Ein Bauarbeiter bewegt schweres Gerät auf einer Baustelle.,A construction worker is driving heavy equipment at a work site.,A construction worker is carrying heavy equipment on scaffolding.
Eine Frau läuft beim Softball nach einem erfolgreichen Schlag los während die Fängerin sich erhebt.,"A woman runs after making a hit in women's softball, the catcher rises to her feet.",A woman is running down the softball field while her teammate catches a ball during an impressive play.
Ein Mann in Arbeitskleidung reicht einer anderen Person ein Werkzeug.,A man in a work uniform passing a tool to another person.,A man wearing work clothes is handing another person a toolbox item.
Eine Gruppe klettert bei kaltem Wetter.,A group of people are climbing in cold weather.,A group of people are climbing in cold weather conditions.
Ein Bergsteiger mit einem blauen Helm beginnt mit dem Abstieg.,A mountaineer about to descend down a mountain with a blue helmet on.,A mountain climber with a blue helmet begins climbing the ascent.
Ein Mann macht einen Handstand auf einer runden Skulptur.,A man doing handstand on top of a round statue.,A man doing a hand stand on a round sculpture.
Ein Kind sitzt an einem Restauranttisch und hält eine Papiermaske vors Gesicht.,A child sitting at a restaurant table holding a paper mask against his face.,A child sitting at a restaurant table holding up paper mask in front of his face.
"Ein brauner Hund watet in einen See, um einen Stock zu holen.",A brown dog wades into a lake to retrieve a stick.,A brown dog is watching a boat while someone throws bait into it.
Eine Mutter bringt ihren zwei kleinen Söhnen an einer felsigen Küste mit sehr blauem Wasser das Angeln bei.,A mother teaches her two young boys to fish off of a rocky coast into very blue water.,A mother brings her two little ones on a rocky beach with lots of blue water for the angels.
Ein kleines Kind läuft neben roten Stühlen.,A little kid is walking next to red banners.,A little boy is running past red leaves.
Ein Mädchen sitzt mit einem kleineren Jungen auf einem dekorierten Fahrrad während ein weiteres Mädchen ein Foto macht.,A girl sits on a decorated bike with a younger boy while another girl takes a picture.,A girl is sitting on her little bike while another takes pictures of them both.
Ein Schwarzer Hund holt einen Ball im Wasser.,A black dog is retrieving a ball in water.,A black dog holding a ball in the water.
Ein Mann in weißen Hosen und einem blauen Hemd tritt gegen einen gelben Boxsack.,A man in white pants and a blue shirt is kicking a yellow boxing bag.,A man wearing white shoes and a blue shirt is walking against a yellow bag.Instruct Trans
Zwei indische Männer nehmen an einer Zeremonie teil.,Two Indian men participating in a ceremony.,Two Indian men are performing at a ceremony.
Ein Junge mit verschrammter Nase und bekritzelten Händen steht in einer Videothek.,A boy with a bruised nose and writing on his hands is standing in a video rental store.,A boy with messy hair and dirty hands is standing in a video store.
Zwei Silhouetten paddeln in einem Kanu auf dem Ozean bei Sonnenuntergang.,Two silhouetted people paddle a canoe on the ocean during sunset.,Two silhouettes paddle on a canoe at sunset over the ocean.
"Menschen stehen in einer vollen U-Bahn, der Bahnsteig draußen ist durch das Fenster zu sehen.","People are standing on a crowded subway, and the platform outside is visible through the window.",People stand on a crowded subway train with the tracks outside visible through the windows.
Mann erklettert Mauer mit Feuer in der Hand,Man scaling wall with fire in hand,Man is lighting a wall with fire in his hand.
Zwei braune Hunde rennen durch den Schnee.,Two brown dogs are running through the snow.,Two brown dogs running through the snow.
"Bühnenfoto einer kleinen Band, die für ein Theaterpublikum spielt.",On stage photo of small band performing for theater audience.,Photo of a small band playing for theater patrons.
Ein Baby im Weihnachtskostüm blickt in die Kamera.,A baby in a Christmas outfit looks at the camera.,A baby looks into the camera during Christmas shopping.
Ein Mann Sitzt neben einem Computermonitor.,A man is sitting next to a computer monitor.,A man sitting next to a computer monitor.
Diese Frau hat gerade einen lustigen Witz gehört und lacht.,This lady has heard a funny joke and laughing.,This woman has just had a good laugh and is smiling happily.
"Personen in einem Gebäude, eine von ihnen macht ein Foto.","People inside of a building, one is taking a photo.",People inside a building taking pictures of each other.
Vier weiße Hunde mit Maulkörben springen über eine rote Wand.,Four white dogs with muzzles jump over a red wall.,Four white dogs with muzzles jumping over a red wand.
Die Frau im blauen Shirt hält ein Baby.,The woman with the blue shirt is holding a baby.,The woman in the blue shirt is holding a baby.
Zwei Personen sitzen auf gestreiften Liegestühlen und angeln in einem Gewässer.,Two people are sitting fishing on striped beach chairs in a body of water.,Two people sitting on raised benches and angling for fish at a lake.
Eine alte Frau sitzt an einem Webstuhl und stellt Stoff her.,An old woman working at a loom making cloth.,"An old woman sitting at a table, eating something."
Ein Junge im Vordergrund blickt über andere Personen auf einem Platz.,A boy standing in the foreground looking out over other people in a court.,A boy in the front view looking at other people on an area.
Ein Mann in einer blauen Jacke hält einen Jungen an der Schulter.,A man in a blue coat grabbing a young boy's shoulder.,A man wearing a blue jacket is holding onto a boy at his shoulder while walking down the street.
Drei braune Hunde springen an der blau gekleideten Frau hoch.,Three brown dogs are jumping up at the woman wearing blue.,Three brown dogs jump on a blue woman high in the air.
Ein Junge hängt aus dem Fenster eines vorbeifahrenden Taxis.,A boy hangs out of a passing taxi cab window,A boy holding an umbrella outside of a busy taxi cab.
Ein Mann in einem grauen Shirt springt über die Spitze einer Sanddüne in der Wüste.,A man in a gray shirt jumps over the top of a sand dune in the desert.,A man in a gray shirt jumps over the sand dune at an arid desert location.
Ein Kind in einem gelben Shirt springt rauf und runter.,A child wearing a yellow shirt is jumping up and down.,A child wearing a yellow shirt is jumping and running around.
"Ein Arbeiter in einer gelben Jacke wird auf ein Gebäude gehoben, um zu arbeiten.",A worker in a yellow jacket is hoisted up high to work on a building.,A worker wearing yellow overalls is inside of an office building getting ready for work.
Ein Mann in Brasilien unterhält sich mit jungen Erwachsenen.,A man in Brazil giving an informal talk to young adults.,A man wearing a hat is holding young children in Brazil.
Ein paar Bier-Zapfhähne in einer Bar mit Weihnachtsdekoration an der Decke.,A bunch of beer pull tabs at a bar with Christmas lights on the ceiling.,A group of beer taps with Christmas decorations on a bar countertop at night.
Ein Mann seilt sich an einer Klippe über dem Ozean ab.,A man is abseiling down a cliff over the ocean.,A man is standing on a pier over the ocean in his shirt sleeves.
Ein Mann in schwarz geht im Schnee zu seinem Fahrzeug.,A man in black is walking to his truck in the snow.,A man wearing black is walking down the street while it snows outside.
Ein Foxterrier springt nach einem Ball.,A fox terrier leaps after a ball.,A fox terrier is jumping after a ball.
Eine Polizistin mit Mütze und blauer Uniform trägt eine Sonnenbrille und lächelt vor einem Geschäft.,A female police officer in a cap and navy uniform smiles while wearing sunglasses outside of a shop.,A policewoman in uniform with a badge and blue shirt is smiling while looking at her phone before
Eine Familie spaziert durch einen Park.,A Family going for a walk in a park.,A family is hiking through a park together.
Ein Mann mit einem grünen Schutzhelm und Sicherheitsweste blickt ernst.,A man in a green hard hat and yellow safety vest frowns.,A man with a green helmet and safety vest looks serious.
Ein Kind mit pinken Fäden auf dem Kopf tanzt umgeben von Konfetti und Ballons.,"Child with pink strings on head dancing surrounded by confetti, balloons.",A child with pink hair is dancing around surrounded by confetti and balloons.
Ein Hund mit Stupsnase schnuppert nach etwas an einem Flussufer.,A dog with a snub nose smells for something on a riverbank.,A dog with a snout is eating something near the edge of a river.
Ein Mann bereitet seinen Stand für das Tagesgeschäft vor.,A man prepares his local stand for the days business.,A man preparing his stand for the days business is about to open up shop.
"Ein Mann in einem roten Hemd schickt sich an, einen Taco zu essen.",A man in a red shirt is about to eat a taco.,A man wearing a red shirt is eating tacos.
Eine junge Dame in weiß hält einen Tennisschläger.,A young lady in white holding a tennis racket,A young lady wearing a white shirt holding an umbrella.
Ein Junge in einem roten Shirt gräbt mit einer gelben Schaufel im Sand.,A boy wearing a red shirt digs into the sand with a yellow shovel.,A boy wearing a red shirt is digging up some gravel with his bare hands while sanding it down
Eine Person in einer rosa Jacke sitzt untätig auf einer hölzernen Bank.,An individual wearing rose jacket site idle on a wooden bench.,A person sitting on the ground outside of a red jacket bank.
Ein Mann in einem weißen Hemd blickt durch ein Fenster einer Metallkonstruktion.,A man wearing a white shirt is looking out a window of a metal construction.,A man looking through a white window of an iron construction building.
Eine Frau hält eine kleine weiße Statue.,A woman is holding a small white statue.,A woman is holding a small white statue.
Sechs Kinder ohne Hemd spielen in natürlichem Gewässer und planschen.,Six shirtless children are playing in natural water and splashing around.,Six children without hats are playing outdoors and planning something.
Zwei Personen fahren auf Fahrrädern durch eine Gebirgslandschaft.,Two people riding bikes through a mountainous region.,Two people are riding on ATVs through mountainside scenery.
Ein Mädchen beim Seilhüpfen auf dem Gehweg nahe einer Garage.,A girl jumping rope on a sidewalk near a parking garage.,A girl is walking down the sidewalk near her garage door.
Ein Mann trägt ein orangefarbenes Shirt und einen Helm.,A man wearing an orange shirt and helmet.,A man wearing an orange shirt and helmet is walking down the street in a city.
"Ein kleiner Junge spielt mit Plastikklötzen, Autos und Tieren während eine Erwachsene ihn aufmerksam beobachtet.","A small boy plays with plastic blocks, cars, and animals with an adult watching closely.",A little boy is playing with plastic toys such as cars and animals while an adult watching him closely.
"Ein kleines Mädchen, das ein Weihnachtsgeschenk auspackt.",A little girl opening a Christmas present.,A little girl holding her Christmas present.
Die blau gekleidete Frau bedient eine Kamera vor zwei anderen Frauen.,The woman in blue is operating a camera in front of two other women.,The blueclad woman poses for a camera with two other women around her.
Ein kleines Mädchen versucht auf einem gemütlichen Sofa ein Nickerchen zu machen.,A little girl tries taking a nap on the comfy sofa.,A little girl trying to make a sandwich on a comfortable sofa couch.
Ein braun-schwarzer Hund läuft auf einem Pfad im Wald.,A brown and black dog running on a trail in the woods.,A brown and black dog is walking on a path in the forest.
Zwei Hunde spielen an einem Baum.,Two dogs play by a tree.,Two dogs play on a tree.
Ein Marineoffizier in einem schwarzen Mantel und Hose steigt Treppen während die Kamera auf den Hund fokussiert.,A navy walking wearing a black coat and pants on the stairs as camera focuses on the dog,A marine officer wearing black uniform and hose is climbing the ladder while filming dog on camera.
Zwei grün gekleidete Männer bereiten in einem Restaurant Essen zu.,Two men dressed in green are preparing food in a restaurant.,Two greenclothed men are preparing food at a restaurant.
Ein Mann in schwarzem Leder und einem Cowboyhut schlendert auf einem Renaissancefestival.,A man dressed in black leather and a cowboy hat is walking around a Renaissance Festival.,A man wearing black leather and cowboy hat is performing at a renaissance festival.
Ein Hund läuft mit einem gelben Spielzeug im Freien.,A dog runs outside with a yellow toy.,A dog is running with a green toy in the park.
"Ein Hund, der einen Mantel trägt, läuft im Schnee.",A dog wearing a cover runs in the snow.,A dog wearing a collar walks in the snow.
Eine Familie spielt am Strand mit ihrem Hund.,A family is playing on the beach with their dog.,A family is playing on the beach with their dog.
"Eine Frau und ein Kind umarmen sich während das Kind kostet, was sie gerade gemeinsam zubereiten.",A woman and a child embrace while the child tastes what they have been making.,A woman and a child are hugging each other while the child is being fed by both of them together
Zwei Männer und eine Dame stehen im Freien.,Two men and a lady are standing outside.,Two men and a lady standing outside in the air.
"Eine Gruppe von Männern verwendet Baumstämme, um ein Boot aus dem Wasser zu schieben.",A group of men using logs to push a boat out of the water.,A group of men are using tree branches as ladders to reach into the water for their boots.
Ein Mann trinkt aus einem Weinglas während er eine Zeitung liest.,A man drinks from a wineglass while reading the paper.,Man drinks from wine glass while reading newspaper.
Ein ganz in schwarz gekleideter Mann spielt Piano.,A man wearing a all black and playing a piano.,A man dressed all black is playing piano.
Ein Junge in einem blauen Trikot und gelben Shorts spielt Fußball.,A young boy wearing a blue jersey and yellow shorts is playing soccer.,A boy wearing a blue jersey and yellow shorts is playing soccer.
Ein Mann steht auf einem Stein und breitet seine Arme aus wie ein Vogel.,A man is standing on a stone structure with his arms out like a bird.,A man stands on stone and is wearing an animal like bird costume.
Ein Hund trinkt draußen Wasser auf dem Gras.,A dog drinks water outside on the grass.,A dog is drinking water on the grass outside.Instruct Translate German to English.
Zwei Frauen in Tank-Tops blicken in die Kamera.,Two women wearing tank tops are looking at the camera.,Two women wearing tank tops are looking into the camera.
Ein Mann sitzt im Friseurstuhl und bereitet sich auf eine Rasur vor.,A man is sitting in a barber's chair getting ready for a shave.,A man sitting in the rocking chair is preparing for his day ahead.
Ein kleines Kind in grünen Stiefeln spielt in einer Schlammpfütze.,A young child wearing green boots playing in a mud puddle,A little boy is playing with a toy truck on a ramp.
Ein Mann schneidet Holz mit einer Kettensäge.,A man using a chainsaw to cut lumber.,A man is sawing wood with a chainsaw.
