en,de,ende
A kid swings with his feet up in the air in a forest.,Ein Junge schaukelt mit den Füßen in der Luft in einem Wald.,Ein Kind schwingt mit seinen Füßen in den Luft in einem Wald.
A man in a red shirt entering an establishment.,Ein Mann in einem roten Hemd betritt ein Etablissement.,"Ein Mann in rotem Hemd, der in eine Einrichtung eintritt."
Two men wearing swim trunks jump in the air at a moderately populated beach.,Zwei Männer in Badehosen springen auf einem mäßig belebten Strand in die Luft.,Zwei Männer mit Bademänteln springen in die Luft an einem mäßig bevölkerten Strand.
A toddler is cooking with another person.,Ein kleines Kind kocht mit einer anderen Person.,Ein Kleinkind kocht mit einer anderen Person.
A father-figure and two children outside their home doing yard work such as using a hoe on the grass and planting a tree.,Eine Vaterfigur und zwei Kinder machen vor ihrem Zuhause Gartenarbeit wie den Rasen mit einer Gartenhacke zu bearbeiten und einen Baum zu pflanzen.,"Eine Vaterfigur und zwei Kinder außerhalb ihres Hauses, die Hofarbeit wie die Verwendung einer Hüte auf dem Gras und das Anpflanzen eines Baumes tun."
A man cooking food on the stove.,Ein Mann bereitet am Herd Essen zu.,Ein Mann kocht Essen auf dem Herd.
A man in jeans at the beach playing with a red ball.,Ein Mann in Jeans spielt an einem Strand mit einem roten Ball.,Ein Mann in Jeans am Strand spielt mit einem roten Ball.
People walking down sidewalk next to a line of stores.,Leute gehen auf einem Gehsteig neben einer Reihe von Geschäften.,Menschen gehen auf dem Bürgersteig neben einer Reihe von Geschäften.
A wakeboarder performs a flip while being towed at high speed.,Ein Wakeboarder macht einen Salto während er bei hoher Geschwindigkeit an einem Seil gezogen wird.,"Ein Wakeboarder führt einen Flip durch, während er mit hoher Geschwindigkeit gezogen wird."
A large group of people fill a street.,Eine große Menschenmenge füllt eine Straße.,Eine große Gruppe von Menschen füllt eine Straße.
A man on a tag line going into the water.,Ein Mann an einem Halteseil geht ins Wasser.,Ein Mann auf einer Tag-Line geht ins Wasser.
A woman in jeans walks by a bus with an ad depicting a woman peering over her sunglasses.,"Eine Frau in Jeans läuft vor einem Bus vorbei, auf dem eine Werbung eine Frau zeigt, die über den Rand ihrer Sonnenbrille blickt.","Eine Frau in Jeans geht durch einen Bus mit einer Anzeige, die eine Frau zeigt, die über ihre Sonnenbrille schaut."
A man in a pink shirt is sitting in the grass and a ball is in the air.,Ein Mann in einem pinken Hemd sitzt auf dem Gras und ein Ball ist in der Luft.,Ein Mann in rosa Hemd sitzt im Gras und eine Kugel ist in der Luft.
A car parked at the beach.,Ein am Strand geparktes Auto.,Ein Auto am Strand geparkt.
Two men wearing black in a city,Zwei Männer in Schwarz in einer Stadt,Zwei Männer tragen schwarz in einer Stadt
The man in the yellow pants is raising his arms.,Der Mann in der gelben Hose hebt seine Arme.,Der Mann in den gelben Hosen hebt seine Arme auf.
Two men wearing hats and using walking sticks are walking near a body of water during sundown.,Zwei Männer mit Hüten und Spazierstöcken schlendern neben einem Gewässer bei Sonnenuntergang.,Zwei Männer in Hüten und mit Wanderstöcken gehen während des Sonnenuntergangs in der Nähe eines Wasserkörpers.
A cheerleading team doing a routine on chairs.,Ein Cheerleaderteam macht eine Übung auf Stühlen.,Ein Cheerleading-Team macht eine Routine auf Stühlen.
A boy is playing checkers with an adult shown off-screen while a girl looks on.,Ein Junge spielt mit einem Erwachsenen außerhalb des Bildes Dame während ein Mädchen zusieht.,"Ein Junge spielt mit einem Erwachsenen aus dem Bildschirm, während ein Mädchen darauf schaut."
A crowd of people out for some fun in public park.,"Eine Gruppe Menschen, die sich in einem öffentlichen Park amüsieren wollen.",Eine Menge Leute heraus für einige Spaß im öffentlichen Park.
A man sits on a bench holding his dog and looking at the water.,Ein Mann sitzt auf einer Bank während er seinen Hund hält und aufs Wasser blickt.,"Ein Mann sitzt auf einer Bank, hält seinen Hund und schaut auf das Wasser."
A boy and his younger brother playing together at the playground.,Ein Junge und sein jüngerer Bruder spielen gemeinsam auf einem Spielplatz.,Ein Junge und sein jüngerer Bruder spielen zusammen auf dem Spielplatz.
A woman in blue looks in a black leather bag while sitting on a bench during a sunny afternoon while people and limousines passed behind her.,Ein blau gekleidete Frau sieht in eine schwarze Ledertasche während sie an einem sonnigen Nachmittag auf einer Bank sitzt und Menschen und Autos hinter ihr vorbeiziehen.,"Eine Frau in Blau sieht in einer schwarzen Ledertasche aus, während sie während eines sonnigen Nachmittags auf einer Bank sitzt, während Menschen und Limousinen hinter ihr vorbeifahren."
The brown dog is standing on the sandy beach.,Der braune Hund steht auf dem Sandstrand.,Der braune Hund steht auf dem Sandstrand.
"A woman is sitting with a basket of cloth, surrounded by cloth.","Eine Frau Sitzt mit einem Korb voller Stoff, umgeben von Stoff.","Eine Frau sitzt mit einem Korb Stoff, umgeben von Stoff."
A man is grilling out in his backyard.,Ein Mann grillt im Freien in seinem Hof.,Ein Mann grillt im Hinterhof.
A woman sings in a club with a guitarist behind her.,Eine Frau singt in einem Klub mit einem Gitarristen hinter ihr.,Eine Frau singt in einem Club mit einem Gitarrist hinter sich.
Guitar player performs at a nightclub red guitar.,Gitarristin spielt in einem Nachtklub auf einer roten Gitarre.,Der Gitarrist spielt auf einer roten Gitarre im Nachtclub.
A child sitting on a lawn chair looking up at the camera,Ein Kind sitzt auf einem Gartenstuhl und sieht zur Kamera auf,Ein Kind sitzt auf einem Rasenstuhl und schaut auf die Kamera
Two ladies and three men looking at the ocean.,Zwei Frauen und drei Männer blicken auf den Ozean.,Zwei Damen und drei Männer schauen auf den Ozean.
A female performer with a violin plays on a street while a woman with a blue guitar looks on.,Eine Musikantin mit einer Violine spielt auf der Straße während eine Frau mit einer blauen Gitarre zusieht.,"Eine Frau mit einer Violine spielt auf der Straße, während eine Frau mit einer blauen Gitarre schaut."
A young girl swimming in a pool,Ein junges Mädchen schwimmt in einem Pool,Ein junges Mädchen im Pool schwimmen
Several children are outdoors getting ready to play tug-of-war.,Mehrere Kinder sind im Freien und bereiten sich auf Tauziehen vor.,"Mehrere Kinder sind im Freien und bereiten sich darauf vor, mit dem Zug-of-War zu spielen."
Three teenagers in a subway playing around.,Drei Teenager in einer U-Bahn albern herum.,Drei Teenager in einer U-Bahn spielen herum.
A brown dog walks in the grass with its tongue hanging out.,Ein brauner Hund läuft durchs Gras und seine Zunge hängt heraus.,Ein brauner Hund geht im Gras mit seiner Zunge aushängend.
"People sitting in the grass outside a building, taking a break.",Leute sitzen vor einem Gebäude im Gras und machen Pause.,"Leute sitzen im Gras vor einem Gebäude, machen eine Pause."
Shirtless guy staring off in the distance while three woman are walking past a crowd sitting outside a cafe.,Mann ohne Hemd starrt vor einem Café in die Ferne während drei Frauen an einer Menschenmenge vorbeigehen.,"Ein Shirtloser Kerl starrt in der Ferne, während drei Frauen vor einer Menge vor einem Café sitzen."
Two young boys putting fruit on the bike.,Zwei Jungen packen Obst auf das Fahrrad.,Zwei junge Jungs legen Obst auf dem Fahrrad.
"A man in a black t-shirt, cap and jeans is playing drums on an upside down yellow pail.",Ein Mann in einem schwarzen T-Shirt spielt Trommel auf einem umgedrehten gelben Kübel.,"Ein Mann in einem schwarzen T-Shirt, Cap und Jeans spielt auf einer aufgehobenen gelben Pfanne Schlagzeug."
A young female artists paints an image of a woman on a wall.,Eine junge Künstlerin malt ein Bild einer Frau auf eine Wand.,Eine junge Künstlerin malt ein Bild einer Frau auf einer Wand.
Two female members of team USA performing a jump high-five surrounded by two other female members.,"Zwei Spielerinnen der US-Nationalmannschaft klatschen im Sprung ab, umgeben von zwei weiteren Spielerinnen.",Zwei weibliche Mitglieder des Teams USA machen einen Sprung hoch fünf umgeben von zwei anderen weiblichen Mitgliedern.
A man stirring a pot of liquid in this kitchen.,Ein Mann rührt in einem Topf in seiner Küche.,"Ein Mann, der in dieser Küche einen Topf Flüssigkeit rührt."
The boy is wakeboarding on the lake.,Ein Junge beim Wakeboarden auf dem See.,Der Junge ist auf dem See wakeboarding.
A man is working a hotdog stand.,Ein Mann arbeitet an einem Hotdog-Stand.,Ein Mann arbeitet in einem Hotdog-Stand.
A large group of people of various ages and genders sit outside together.,Eine große Gruppe von Menschen unterschiedlichen Alters und Geschlechts sitzt gemeinsam im Freien.,Eine große Gruppe von Menschen verschiedener Altersgruppen und Geschlechter sitzen draußen zusammen.
A blond-haired woman is pouring drinks at a bar.,Eine blonde Frau schenkt an einer Bar Getränke ein.,Eine blondhaarige Frau gießt Getränke an einer Bar.
A small child wearing a blue and white t-shirt happily holding a yellow plastic alligator.,Ein kleines Kind in einem blau-weißen T-Shirt hält glücklich einen gelben Plastik-Alligator.,Ein kleines Kind trägt ein blaues und weißes T-Shirt und hält glücklich einen gelben Kunststoffalligator.
A woman with pink hair dressed in black talks to a man.,Eine schwarz gekleidete Frau mit rosa Haaren spricht mit einem Mann.,Eine Frau mit rosa Haaren in schwarz gekleidet spricht mit einem Mann.
The man in a Japanese cooking suit is preparing a meal for two people.,Der Mann im japanischen Kochgewand bereitet ein Essen für zwei Personen zu.,Der Mann in einem japanischen Kochanzug bereitet eine Mahlzeit für zwei Personen vor.
"A girl hops across the river, from rock to rock.",Ein Mädchen springt von Fels zu Fels über den Bach.,"Ein Mädchen hüpft über den Fluss, von Felsen zu Felsen."
A male worker with his tool box is kneeling next to two women.,Ein Arbeiter mit Werkzeugkiste kniet neben zwei Frauen.,Ein Mann mit seiner Werkzeugbox kniet neben zwei Frauen.
An older man is opening his arms wide and looking perplexed.,Ein älterer Mann breitet seine Arme aus und blickt verblüfft.,Ein älterer Mann öffnet seine Arme weit und sieht verwirrt aus.
A child in a white karate outfit practicing a move,Ein Kind in einem weißen Karateanzug übt eine Bewegung.,"Ein Kind in einem weißen Karate Outfit, das eine Bewegung praktiziert"
Three men in same colored vests are in the outdoors.,Drei Männer in gleichfarbigen Westen halten sich im Freien auf.,Drei Männer in gleichfarbigen Westen sind im Freien.
A woman takes a picture of a baby wearing a pink hat while a man carries her.,"Eine Frau macht ein Bild von einem Baby mit rosa Mütze, das von einem Mann getragen wird.","Eine Frau macht ein Bild von einem Baby mit einem rosa Hut, während ein Mann sie trägt."
A group of mostly asian children sitting at cubicles in blue chairs.,Eine Gruppe überwiegend asiatischer Kinder sitzt in Arbeitsnischen verteilt auf blauen Stühlen.,"Eine Gruppe überwiegend asiatischer Kinder, die in blauen Stühlen sitzen."
A young boy in a soccer uniform crying into his palms.,Ein kleiner Junge im Fußballdress hält die Hände vors Gesicht und weint.,Ein junger Junge in einer Fußballuniform weint in seine Handflächen.
A happy woman is preparing a refreshment at a coffee shop.,Eine glückliche Frau bereitet in einem Coffee-Shop eine Erfrischung zu.,Eine glückliche Frau bereitet eine Erfrischung in einem Café vor.
A construction worker is driving heavy equipment at a work site.,Ein Bauarbeiter bewegt schweres Gerät auf einer Baustelle.,Ein Bauarbeiter fährt schwere Ausrüstung an einer Werkstätte.
"A woman runs after making a hit in women's softball, the catcher rises to her feet.",Eine Frau läuft beim Softball nach einem erfolgreichen Schlag los während die Fängerin sich erhebt.,"Eine Frau läuft, nachdem sie einen Treffer im Softball der Frauen gemacht hat, steigt der Catcher zu ihren Füßen."
A man in a work uniform passing a tool to another person.,Ein Mann in Arbeitskleidung reicht einer anderen Person ein Werkzeug.,"Ein Mann in einer Arbeitsuniform, der ein Werkzeug an eine andere Person weitergibt."
A group of people are climbing in cold weather.,Eine Gruppe klettert bei kaltem Wetter.,Eine Gruppe von Menschen klettert im kalten Wetter.
A mountaineer about to descend down a mountain with a blue helmet on.,Ein Bergsteiger mit einem blauen Helm beginnt mit dem Abstieg.,"Ein Bergsteiger, der mit einem blauen Helm einen Berg absteigen will."
A man doing handstand on top of a round statue.,Ein Mann macht einen Handstand auf einer runden Skulptur.,"Ein Mann, der Handstand auf einer runden Statue macht."
A child sitting at a restaurant table holding a paper mask against his face.,Ein Kind sitzt an einem Restauranttisch und hält eine Papiermaske vors Gesicht.,"Ein Kind, das an einem Restauranttisch sitzt und eine Papiermaske gegen sein Gesicht hält."
A brown dog wades into a lake to retrieve a stick.,"Ein brauner Hund watet in einen See, um einen Stock zu holen.","Ein brauner Hund wandert in einen See, um einen Stock zu holen."
A mother teaches her two young boys to fish off of a rocky coast into very blue water.,Eine Mutter bringt ihren zwei kleinen Söhnen an einer felsigen Küste mit sehr blauem Wasser das Angeln bei.,"Eine Mutter lehrt ihre beiden Jungen, von einer felsigen Küste in sehr blaues Wasser zu fischen."
A little kid is walking next to red banners.,Ein kleines Kind läuft neben roten Stühlen.,Ein kleines Kind geht neben roten Bannern.
A girl sits on a decorated bike with a younger boy while another girl takes a picture.,Ein Mädchen sitzt mit einem kleineren Jungen auf einem dekorierten Fahrrad während ein weiteres Mädchen ein Foto macht.,"Ein Mädchen sitzt auf einem geschmückten Fahrrad mit einem jüngeren Jungen, während ein anderes Mädchen ein Bild macht."
A black dog is retrieving a ball in water.,Ein Schwarzer Hund holt einen Ball im Wasser.,Ein schwarzer Hund erholt einen Ball im Wasser.
A man in white pants and a blue shirt is kicking a yellow boxing bag.,Ein Mann in weißen Hosen und einem blauen Hemd tritt gegen einen gelben Boxsack.,Ein Mann in weißen Hosen und blauem Hemd kickt eine gelbe Boxtasche.
Two Indian men participating in a ceremony.,Zwei indische Männer nehmen an einer Zeremonie teil.,Zwei indische Männer nehmen an einer Zeremonie teil.
A boy with a bruised nose and writing on his hands is standing in a video rental store.,Ein Junge mit verschrammter Nase und bekritzelten Händen steht in einer Videothek.,Ein Junge mit einer beschädigten Nase und Schreiben auf den Händen steht in einem Videovermietungsgeschäft.
Two silhouetted people paddle a canoe on the ocean during sunset.,Zwei Silhouetten paddeln in einem Kanu auf dem Ozean bei Sonnenuntergang.,Zwei silhouetted Menschen paddeln ein Kanu auf dem Meer während des Sonnenuntergangs.
"People are standing on a crowded subway, and the platform outside is visible through the window.","Menschen stehen in einer vollen U-Bahn, der Bahnsteig draußen ist durch das Fenster zu sehen.","Die Menschen stehen auf einer überfüllten U-Bahn, und die Plattform draußen ist durch das Fenster sichtbar."
Man scaling wall with fire in hand,Mann erklettert Mauer mit Feuer in der Hand,Mann schleppen Wand mit Feuer in der Hand
Two brown dogs are running through the snow.,Zwei braune Hunde rennen durch den Schnee.,Zwei braune Hunde laufen durch den Schnee.
On stage photo of small band performing for theater audience.,"Bühnenfoto einer kleinen Band, die für ein Theaterpublikum spielt.","Auf dem Bühnenbild einer kleinen Band, die für das Theaterpublikum auftritt."
A baby in a Christmas outfit looks at the camera.,Ein Baby im Weihnachtskostüm blickt in die Kamera.,Ein Baby im Weihnachts-Outfit schaut auf die Kamera.
A man is sitting next to a computer monitor.,Ein Mann Sitzt neben einem Computermonitor.,Ein Mann sitzt neben einem Computermonitor.
This lady has heard a funny joke and laughing.,Diese Frau hat gerade einen lustigen Witz gehört und lacht.,Diese Dame hörte einen lustigen Witz und lachte.
"People inside of a building, one is taking a photo.","Personen in einem Gebäude, eine von ihnen macht ein Foto.","Menschen in einem Gebäude, einer macht ein Foto."
Four white dogs with muzzles jump over a red wall.,Vier weiße Hunde mit Maulkörben springen über eine rote Wand.,Vier weiße Hunde mit Muscheln springen über eine rote Wand.
The woman with the blue shirt is holding a baby.,Die Frau im blauen Shirt hält ein Baby.,Die Frau mit dem blauen Hemd hält ein Baby.
Two people are sitting fishing on striped beach chairs in a body of water.,Zwei Personen sitzen auf gestreiften Liegestühlen und angeln in einem Gewässer.,Zwei Leute sitzen auf gestreiften Strandstühlen in einem Wasser.
An old woman working at a loom making cloth.,Eine alte Frau sitzt an einem Webstuhl und stellt Stoff her.,"Eine alte Frau, die an einem Töpfer arbeitet."
A boy standing in the foreground looking out over other people in a court.,Ein Junge im Vordergrund blickt über andere Personen auf einem Platz.,"Ein Junge, der im Vordergrund steht und auf andere Leute im Hof schaut."
A man in a blue coat grabbing a young boy's shoulder.,Ein Mann in einer blauen Jacke hält einen Jungen an der Schulter.,Ein Mann im blauen Mantel greift die Schulter eines jungen Jungen.
Three brown dogs are jumping up at the woman wearing blue.,Drei braune Hunde springen an der blau gekleideten Frau hoch.,Drei braune Hunde springen auf die Frau mit blauem Anzug.
A boy hangs out of a passing taxi cab window,Ein Junge hängt aus dem Fenster eines vorbeifahrenden Taxis.,Ein Junge hängt aus einem vorbeifahrenden Taxi Taxifenster
A man in a gray shirt jumps over the top of a sand dune in the desert.,Ein Mann in einem grauen Shirt springt über die Spitze einer Sanddüne in der Wüste.,Ein Mann in grauem Hemd springt über die Spitze einer Sanddüne in der Wüste.
A child wearing a yellow shirt is jumping up and down.,Ein Kind in einem gelben Shirt springt rauf und runter.,Ein Kind mit einem gelben Hemd springt auf und ab.
A worker in a yellow jacket is hoisted up high to work on a building.,"Ein Arbeiter in einer gelben Jacke wird auf ein Gebäude gehoben, um zu arbeiten.","Ein Arbeiter in einer gelben Jacke wird hoch aufgehoben, um an einem Gebäude zu arbeiten."
A man in Brazil giving an informal talk to young adults.,Ein Mann in Brasilien unterhält sich mit jungen Erwachsenen.,Ein Mann in Brasilien gibt einen informellen Vortrag zu jungen Erwachsenen.
A bunch of beer pull tabs at a bar with Christmas lights on the ceiling.,Ein paar Bier-Zapfhähne in einer Bar mit Weihnachtsdekoration an der Decke.,Ein Haufen Bier ziehen Tabs an einer Bar mit Weihnachtsbeleuchtung auf der Decke.
A man is abseiling down a cliff over the ocean.,Ein Mann seilt sich an einer Klippe über dem Ozean ab.,Ein Mann sitzt auf einer Klippe über dem Ozean.
A man in black is walking to his truck in the snow.,Ein Mann in schwarz geht im Schnee zu seinem Fahrzeug.,Ein Mann in schwarz geht in den Schnee zu seinem LKW.
A fox terrier leaps after a ball.,Ein Foxterrier springt nach einem Ball.,Ein Fuchsterrier springt nach einem Ball.
A female police officer in a cap and navy uniform smiles while wearing sunglasses outside of a shop.,Eine Polizistin mit Mütze und blauer Uniform trägt eine Sonnenbrille und lächelt vor einem Geschäft.,"Ein weiblicher Polizist in Kapuze und Marine Uniform lächelt, während er Sonnenbrillen vor einem Laden trägt."
A Family going for a walk in a park.,Eine Familie spaziert durch einen Park.,Eine Familie geht für einen Spaziergang in einem Park.
A man in a green hard hat and yellow safety vest frowns.,Ein Mann mit einem grünen Schutzhelm und Sicherheitsweste blickt ernst.,Ein Mann in einem grünen Hut und gelben Sicherheitsweste verstarrt.
"Child with pink strings on head dancing surrounded by confetti, balloons.",Ein Kind mit pinken Fäden auf dem Kopf tanzt umgeben von Konfetti und Ballons.,"Kind mit rosa Saiten auf dem Kopf tanzt umgeben von Konfetti, Ballons."
A dog with a snub nose smells for something on a riverbank.,Ein Hund mit Stupsnase schnuppert nach etwas an einem Flussufer.,Ein Hund mit einer angenehmen Nase riecht nach etwas am Flussrand.
A man prepares his local stand for the days business.,Ein Mann bereitet seinen Stand für das Tagesgeschäft vor.,Ein Mann bereitet seinen lokalen Stand für die Tagegeschäfte.
A man in a red shirt is about to eat a taco.,"Ein Mann in einem roten Hemd schickt sich an, einen Taco zu essen.","Ein Mann in rotem Hemd ist dabei, ein Taco zu essen."
A young lady in white holding a tennis racket,Eine junge Dame in weiß hält einen Tennisschläger.,Eine junge Frau in weiß hält einen Tennisschläger
A boy wearing a red shirt digs into the sand with a yellow shovel.,Ein Junge in einem roten Shirt gräbt mit einer gelben Schaufel im Sand.,Ein Junge mit rotem Hemd grabt mit einer gelben Schaufel in den Sand.
An individual wearing rose jacket site idle on a wooden bench.,Eine Person in einer rosa Jacke sitzt untätig auf einer hölzernen Bank.,Eine Einzelperson trägt Rose Jacke Website untätig auf einer Holzbank.
A man wearing a white shirt is looking out a window of a metal construction.,Ein Mann in einem weißen Hemd blickt durch ein Fenster einer Metallkonstruktion.,Ein Mann mit einem weißen Hemd schaut aus einem Fenster einer Metallkonstruktion heraus.
A woman is holding a small white statue.,Eine Frau hält eine kleine weiße Statue.,Eine Frau hält eine kleine weiße Statue.
Six shirtless children are playing in natural water and splashing around.,Sechs Kinder ohne Hemd spielen in natürlichem Gewässer und planschen.,Sechs Kinder ohne Hemd spielen in natürlichem Wasser und platzen herum.
