,input_en,output_de,gt_de
14,Three people sit in a cave.,,Drei Leute sitzen in einer Höhle.
15,A girl in a jean dress is walking along a raised balance beam.,,Ein Mädchen in einem Jeanskleid läuft über einen erhöhten Schwebebalken.
16,A blond holding hands with a guy in the sand.,,Eine Blondine hält mit einem Mann im Sand Händchen.
17,A woman in a gray sweater and black baseball cap is standing in line at a shop.,,Eine Frau in einem Grauen Pulli und mit einer schwarzen Baseballmütze steht in einem Geschäft in der Schlange.
18,The person in the striped shirt is mountain climbing.,":
:
:
:
:
:",Die Person im gestreiften Shirt klettert auf einen Berg.
19,Two men pretend to be statutes while women look on.,,"Zwei Männer tun so als seien sie Statuen, während Frauen ihnen zusehen."
20,People standing outside of a building.,,"Leute, die vor einem Gebäude stehen."
21,A teenager plays her trumpet on the field at a game.,,Eine Teenagerin spielt bei einem Spiel Trompete auf dem Feld.
22,A woman does a somersault on a trampoline on the beach.,,Eine Frau macht einen Salto auf einem Trampolin am Strand.
23,A man is standing by a group of video games in a bar.,,Ein Mann steht bei einigen Spielautomaten in einer Bar.
24,A woman uses a drill while another man takes her picture.,A woman uses a drill while another man takes her picture.,Eine Frau verwendet eine Bohrmaschine während ein Mann sie fotografiert.
25,"A woman in a pink sweater and an apron, cleaning a table with a sponge.",,Eine Frau in einem pinken Pulli und einer Schürze putzt einen Tisch mit einem Schwamm.
26,A man cutting branches of trees.,,Ein Mann schneidet Äste von Bäumen.
27,Group of Asian boys wait for meat to cook over barbecue.,,"Eine Gruppe Asiatischer Jungen wartet am Grill darauf, dass Fleisch gar wird."
28,"Women, wearing traditional clothing, are reenacting native life.",,"Frauen, die traditionelle Kleidung tragen, spielen das Leben Einheimischer nach."
29,One man holds another man's head down and prepares to punch him in the face.,,Ein Mann drückt den Kopf eines anderen Mannes nach unten und will ihm ins Gesicht schlagen.
30,Six people ride mountain bikes through a jungle environment.,,Sechs Leute fahren Mountainbikes durch eine Dschungellandschaft.
31,2 blond girls are sitting on a ledge in a crowded plaza.,,2 blonde Mädchen sitzen auf einem Absatz auf einem belebten Platz.
32,A child is splashing in the water,":
:
:
:
:
:",Ein Kind planscht im Wasser.
33,Three people sit at a picnic table outside of a building painted like a union jack.,,"Drei Leute sitzen an einem Picknicktisch vor einem Gebäude, das wie der Union Jack bemalt ist."
34,3 boys are standing on a pier in their bathing suits.,,3 Jungen stehen in ihren Badehosen auf einem Pier.
35,An employee is handing a woman a bag while she is browsing through fish on ice at a street market.,to,"Ein Angestellter reicht einer Frau auf einem Markt eine Tüte, während sie auf Eis gelegten Fisch begutachtet."
36,A pretty woman plays a harpsichord.,,Eine schöne Frau spielt auf einer Harfe.
37,"Outside a building, a uniformed security guard looks at the camera from behind a fence.",,Vor einem Gebäude sieht ein uniformierter Sicherheitsbeamter hinter einem Zaun in die Kamera.
38,The young lady is looking at the pizza.,,Die junge Dame sieht auf die Pizza.
39,A shirtless man in shorts is fishing while standing on some rocks.,,Ein Mann mit freiem Oberkörper und Shorts steht auf ein paar Steinen und angelt.
40,A girl wearing a life vest floats in water.,,Ein Mädchen in einer Rettungsweste treibt im Wasser.
41,A man in uniform and a man in a blue shirt are standing in front of a truck.,,Ein Mann in Uniform und ein Mann in einem blauen Hemd stehen vor einem Wagen.
42,People sit inside a train.,,Leute sitzen in einem Zug.
43,A kid swings with his feet up in the air in a forest.,,Ein Junge schaukelt mit den Füßen in der Luft in einem Wald.
44,A man in a red shirt entering an establishment.,"A man in a red shirt entering an establishment.

The",Ein Mann in einem roten Hemd betritt ein Etablissement.
45,Two men wearing swim trunks jump in the air at a moderately populated beach.,,Zwei Männer in Badehosen springen auf einem mäßig belebten Strand in die Luft.
46,A toddler is cooking with another person.,A toddler is a child who has been raised by an individual,Ein kleines Kind kocht mit einer anderen Person.
47,A father-figure and two children outside their home doing yard work such as using a hoe on the grass and planting a tree.,,Eine Vaterfigur und zwei Kinder machen vor ihrem Zuhause Gartenarbeit wie den Rasen mit einer Gartenhacke zu bearbeiten und einen Baum zu pflanzen.
48,A man cooking food on the stove.,,Ein Mann bereitet am Herd Essen zu.
49,A man in jeans at the beach playing with a red ball.,,Ein Mann in Jeans spielt an einem Strand mit einem roten Ball.
50,People walking down sidewalk next to a line of stores.,,Leute gehen auf einem Gehsteig neben einer Reihe von Geschäften.
51,A wakeboarder performs a flip while being towed at high speed.,,Ein Wakeboarder macht einen Salto während er bei hoher Geschwindigkeit an einem Seil gezogen wird.
52,A large group of people fill a street.,The United States has been able to commit the following: The,Eine große Menschenmenge füllt eine Straße.
53,A man on a tag line going into the water.,,Ein Mann an einem Halteseil geht ins Wasser.
54,A woman in jeans walks by a bus with an ad depicting a woman peering over her sunglasses.,,"Eine Frau in Jeans läuft vor einem Bus vorbei, auf dem eine Werbung eine Frau zeigt, die über den Rand ihrer Sonnenbrille blickt."
55,A man in a pink shirt is sitting in the grass and a ball is in the air.,,Ein Mann in einem pinken Hemd sitzt auf dem Gras und ein Ball ist in der Luft.
56,A car parked at the beach.,,Ein am Strand geparktes Auto.
57,Two men wearing black in a city,,Zwei Männer in Schwarz in einer Stadt
58,The man in the yellow pants is raising his arms.,,Der Mann in der gelben Hose hebt seine Arme.
59,Two men wearing hats and using walking sticks are walking near a body of water during sundown.,,Zwei Männer mit Hüten und Spazierstöcken schlendern neben einem Gewässer bei Sonnenuntergang.
60,A cheerleading team doing a routine on chairs.,,Ein Cheerleaderteam macht eine Übung auf Stühlen.
61,A boy is playing checkers with an adult shown off-screen while a girl looks on.,:,Ein Junge spielt mit einem Erwachsenen außerhalb des Bildes Dame während ein Mädchen zusieht.
62,A crowd of people out for some fun in public park.,,"Eine Gruppe Menschen, die sich in einem öffentlichen Park amüsieren wollen."
63,A man sits on a bench holding his dog and looking at the water.,,Ein Mann sitzt auf einer Bank während er seinen Hund hält und aufs Wasser blickt.
64,A boy and his younger brother playing together at the playground.,,Ein Junge und sein jüngerer Bruder spielen gemeinsam auf einem Spielplatz.
65,A woman in blue looks in a black leather bag while sitting on a bench during a sunny afternoon while people and limousines passed behind her.,,Ein blau gekleidete Frau sieht in eine schwarze Ledertasche während sie an einem sonnigen Nachmittag auf einer Bank sitzt und Menschen und Autos hinter ihr vorbeiziehen.
66,The brown dog is standing on the sandy beach.,,Der braune Hund steht auf dem Sandstrand.
67,"A woman is sitting with a basket of cloth, surrounded by cloth.",,"Eine Frau Sitzt mit einem Korb voller Stoff, umgeben von Stoff."
68,A man is grilling out in his backyard.,,Ein Mann grillt im Freien in seinem Hof.
69,A woman sings in a club with a guitarist behind her.,,Eine Frau singt in einem Klub mit einem Gitarristen hinter ihr.
70,Guitar player performs at a nightclub red guitar.,,Gitarristin spielt in einem Nachtklub auf einer roten Gitarre.
71,A child sitting on a lawn chair looking up at the camera,,Ein Kind sitzt auf einem Gartenstuhl und sieht zur Kamera auf
72,Two ladies and three men looking at the ocean.,,Zwei Frauen und drei Männer blicken auf den Ozean.
73,A female performer with a violin plays on a street while a woman with a blue guitar looks on.,":
:
:
:
:
:",Eine Musikantin mit einer Violine spielt auf der Straße während eine Frau mit einer blauen Gitarre zusieht.
74,A young girl swimming in a pool,":
:
:
:
:
:",Ein junges Mädchen schwimmt in einem Pool
75,Several children are outdoors getting ready to play tug-of-war.,,Mehrere Kinder sind im Freien und bereiten sich auf Tauziehen vor.
76,Three teenagers in a subway playing around.,,Drei Teenager in einer U-Bahn albern herum.
77,A brown dog walks in the grass with its tongue hanging out.,"The green tree is a walking plant.

The blue:",Ein brauner Hund läuft durchs Gras und seine Zunge hängt heraus.
78,"People sitting in the grass outside a building, taking a break.",,Leute sitzen vor einem Gebäude im Gras und machen Pause.
79,Shirtless guy staring off in the distance while three woman are walking past a crowd sitting outside a cafe.,,Mann ohne Hemd starrt vor einem Café in die Ferne während drei Frauen an einer Menschenmenge vorbeigehen.
80,Two young boys putting fruit on the bike.,,Zwei Jungen packen Obst auf das Fahrrad.
81,"A man in a black t-shirt, cap and jeans is playing drums on an upside down yellow pail.",:,Ein Mann in einem schwarzen T-Shirt spielt Trommel auf einem umgedrehten gelben Kübel.
82,A young female artists paints an image of a woman on a wall.,,Eine junge Künstlerin malt ein Bild einer Frau auf eine Wand.
83,Two female members of team USA performing a jump high-five surrounded by two other female members.,,"Zwei Spielerinnen der US-Nationalmannschaft klatschen im Sprung ab, umgeben von zwei weiteren Spielerinnen."
84,A man stirring a pot of liquid in this kitchen.,"A woman standing:
a man turning.
A woman",Ein Mann rührt in einem Topf in seiner Küche.
85,The boy is wakeboarding on the lake.,,Ein Junge beim Wakeboarden auf dem See.
86,A man is working a hotdog stand.,1. The woman in charge of the restaurant was forced to,Ein Mann arbeitet an einem Hotdog-Stand.
87,A large group of people of various ages and genders sit outside together.,,Eine große Gruppe von Menschen unterschiedlichen Alters und Geschlechts sitzt gemeinsam im Freien.
88,A blond-haired woman is pouring drinks at a bar.,,Eine blonde Frau schenkt an einer Bar Getränke ein.
89,A small child wearing a blue and white t-shirt happily holding a yellow plastic alligator.,,Ein kleines Kind in einem blau-weißen T-Shirt hält glücklich einen gelben Plastik-Alligator.
90,A woman with pink hair dressed in black talks to a man.,,Eine schwarz gekleidete Frau mit rosa Haaren spricht mit einem Mann.
91,The man in a Japanese cooking suit is preparing a meal for two people.,,Der Mann im japanischen Kochgewand bereitet ein Essen für zwei Personen zu.
92,"A girl hops across the river, from rock to rock.","The boy is a human being.

The girl is a",Ein Mädchen springt von Fels zu Fels über den Bach.
93,A male worker with his tool box is kneeling next to two women.,,Ein Arbeiter mit Werkzeugkiste kniet neben zwei Frauen.
94,An older man is opening his arms wide and looking perplexed.,,Ein älterer Mann breitet seine Arme aus und blickt verblüfft.
95,A child in a white karate outfit practicing a move,,Ein Kind in einem weißen Karateanzug übt eine Bewegung.
96,Three men in same colored vests are in the outdoors.,,Drei Männer in gleichfarbigen Westen halten sich im Freien auf.
97,A woman takes a picture of a baby wearing a pink hat while a man carries her.,The woman is taken a picture of a baby wearing a pink,"Eine Frau macht ein Bild von einem Baby mit rosa Mütze, das von einem Mann getragen wird."
98,A group of mostly asian children sitting at cubicles in blue chairs.,,Eine Gruppe überwiegend asiatischer Kinder sitzt in Arbeitsnischen verteilt auf blauen Stühlen.
99,A young boy in a soccer uniform crying into his palms.,A young boy in a soccer uniform crying into his palms.,Ein kleiner Junge im Fußballdress hält die Hände vors Gesicht und weint.
100,A happy woman is preparing a refreshment at a coffee shop.,,Eine glückliche Frau bereitet in einem Coffee-Shop eine Erfrischung zu.
101,A construction worker is driving heavy equipment at a work site.,a,Ein Bauarbeiter bewegt schweres Gerät auf einer Baustelle.
102,"A woman runs after making a hit in women's softball, the catcher rises to her feet.",The catchers rise to her feet.,Eine Frau läuft beim Softball nach einem erfolgreichen Schlag los während die Fängerin sich erhebt.
103,A man in a work uniform passing a tool to another person.,,Ein Mann in Arbeitskleidung reicht einer anderen Person ein Werkzeug.
104,A group of people are climbing in cold weather.,,Eine Gruppe klettert bei kaltem Wetter.
105,A mountaineer about to descend down a mountain with a blue helmet on.,A mountaineer about to descend down a mountain with a blue,Ein Bergsteiger mit einem blauen Helm beginnt mit dem Abstieg.
106,A man doing handstand on top of a round statue.,,Ein Mann macht einen Handstand auf einer runden Skulptur.
107,A child sitting at a restaurant table holding a paper mask against his face.,,Ein Kind sitzt an einem Restauranttisch und hält eine Papiermaske vors Gesicht.
108,A brown dog wades into a lake to retrieve a stick.,,"Ein brauner Hund watet in einen See, um einen Stock zu holen."
109,A mother teaches her two young boys to fish off of a rocky coast into very blue water.,,Eine Mutter bringt ihren zwei kleinen Söhnen an einer felsigen Küste mit sehr blauem Wasser das Angeln bei.
110,A little kid is walking next to red banners.,,Ein kleines Kind läuft neben roten Stühlen.
111,A girl sits on a decorated bike with a younger boy while another girl takes a picture.,"girl:
boy:

12:
girl:",Ein Mädchen sitzt mit einem kleineren Jungen auf einem dekorierten Fahrrad während ein weiteres Mädchen ein Foto macht.
112,A black dog is retrieving a ball in water.,,Ein Schwarzer Hund holt einen Ball im Wasser.
113,A man in white pants and a blue shirt is kicking a yellow boxing bag.,,Ein Mann in weißen Hosen und einem blauen Hemd tritt gegen einen gelben Boxsack.
114,Two Indian men participating in a ceremony.,"A woman who has been given the title of:
A",Zwei indische Männer nehmen an einer Zeremonie teil.
115,A boy with a bruised nose and writing on his hands is standing in a video rental store.,,Ein Junge mit verschrammter Nase und bekritzelten Händen steht in einer Videothek.
116,Two silhouetted people paddle a canoe on the ocean during sunset.,:,Zwei Silhouetten paddeln in einem Kanu auf dem Ozean bei Sonnenuntergang.
117,"People are standing on a crowded subway, and the platform outside is visible through the window.",":
:
:
:
:
:","Menschen stehen in einer vollen U-Bahn, der Bahnsteig draußen ist durch das Fenster zu sehen."
118,Man scaling wall with fire in hand,":
:
:
:
:
:",Mann erklettert Mauer mit Feuer in der Hand
119,Two brown dogs are running through the snow.,,Zwei braune Hunde rennen durch den Schnee.
120,On stage photo of small band performing for theater audience.,,"Bühnenfoto einer kleinen Band, die für ein Theaterpublikum spielt."
121,A baby in a Christmas outfit looks at the camera.,"The child is in a tree.

:
The child",Ein Baby im Weihnachtskostüm blickt in die Kamera.
122,A man is sitting next to a computer monitor.,,Ein Mann Sitzt neben einem Computermonitor.
123,This lady has heard a funny joke and laughing.,,Diese Frau hat gerade einen lustigen Witz gehört und lacht.
124,"People inside of a building, one is taking a photo.","a) The camera, one is taking a photo.","Personen in einem Gebäude, eine von ihnen macht ein Foto."
125,Four white dogs with muzzles jump over a red wall.,,Vier weiße Hunde mit Maulkörben springen über eine rote Wand.
126,The woman with the blue shirt is holding a baby.,,Die Frau im blauen Shirt hält ein Baby.
127,Two people are sitting fishing on striped beach chairs in a body of water.,,Zwei Personen sitzen auf gestreiften Liegestühlen und angeln in einem Gewässer.
128,An old woman working at a loom making cloth.,,Eine alte Frau sitzt an einem Webstuhl und stellt Stoff her.
129,A boy standing in the foreground looking out over other people in a court.,,Ein Junge im Vordergrund blickt über andere Personen auf einem Platz.
130,A man in a blue coat grabbing a young boy's shoulder.,,Ein Mann in einer blauen Jacke hält einen Jungen an der Schulter.
131,Three brown dogs are jumping up at the woman wearing blue.,,Drei braune Hunde springen an der blau gekleideten Frau hoch.
132,A boy hangs out of a passing taxi cab window,"A boy hanging out of a passing taxi cab window
The",Ein Junge hängt aus dem Fenster eines vorbeifahrenden Taxis.
133,A man in a gray shirt jumps over the top of a sand dune in the desert.,,Ein Mann in einem grauen Shirt springt über die Spitze einer Sanddüne in der Wüste.
134,A child wearing a yellow shirt is jumping up and down.,"The red shirt is worn by the child.

:",Ein Kind in einem gelben Shirt springt rauf und runter.
135,A worker in a yellow jacket is hoisted up high to work on a building.,,"Ein Arbeiter in einer gelben Jacke wird auf ein Gebäude gehoben, um zu arbeiten."
136,A man in Brazil giving an informal talk to young adults.,,Ein Mann in Brasilien unterhält sich mit jungen Erwachsenen.
137,A bunch of beer pull tabs at a bar with Christmas lights on the ceiling.,"to make:
A bunch of beer pull tabs at a",Ein paar Bier-Zapfhähne in einer Bar mit Weihnachtsdekoration an der Decke.
138,A man is abseiling down a cliff over the ocean.,A man is an abseiler.,Ein Mann seilt sich an einer Klippe über dem Ozean ab.
139,A man in black is walking to his truck in the snow.,,Ein Mann in schwarz geht im Schnee zu seinem Fahrzeug.
140,A fox terrier leaps after a ball.,,Ein Foxterrier springt nach einem Ball.
141,A female police officer in a cap and navy uniform smiles while wearing sunglasses outside of a shop.,":
:
:
:
:
:",Eine Polizistin mit Mütze und blauer Uniform trägt eine Sonnenbrille und lächelt vor einem Geschäft.
142,A Family going for a walk in a park.,,Eine Familie spaziert durch einen Park.
143,A man in a green hard hat and yellow safety vest frowns.,":
:
:
:
:
:",Ein Mann mit einem grünen Schutzhelm und Sicherheitsweste blickt ernst.
144,"Child with pink strings on head dancing surrounded by confetti, balloons.",,Ein Kind mit pinken Fäden auf dem Kopf tanzt umgeben von Konfetti und Ballons.
145,A dog with a snub nose smells for something on a riverbank.,,Ein Hund mit Stupsnase schnuppert nach etwas an einem Flussufer.
146,A man prepares his local stand for the days business.,A woman,Ein Mann bereitet seinen Stand für das Tagesgeschäft vor.
147,A man in a red shirt is about to eat a taco.,,"Ein Mann in einem roten Hemd schickt sich an, einen Taco zu essen."
148,A young lady in white holding a tennis racket,:,Eine junge Dame in weiß hält einen Tennisschläger.
149,A boy wearing a red shirt digs into the sand with a yellow shovel.,,Ein Junge in einem roten Shirt gräbt mit einer gelben Schaufel im Sand.
150,An individual wearing rose jacket site idle on a wooden bench.,,Eine Person in einer rosa Jacke sitzt untätig auf einer hölzernen Bank.
151,A man wearing a white shirt is looking out a window of a metal construction.,"a woman:
a man:
a metal structure.",Ein Mann in einem weißen Hemd blickt durch ein Fenster einer Metallkonstruktion.
152,A woman is holding a small white statue.,,Eine Frau hält eine kleine weiße Statue.
153,Six shirtless children are playing in natural water and splashing around.,,Sechs Kinder ohne Hemd spielen in natürlichem Gewässer und planschen.
154,Two people riding bikes through a mountainous region.,,Zwei Personen fahren auf Fahrrädern durch eine Gebirgslandschaft.
155,A girl jumping rope on a sidewalk near a parking garage.,,Ein Mädchen beim Seilhüpfen auf dem Gehweg nahe einer Garage.
156,A man wearing an orange shirt and helmet.,The Man Wearing An Orange Helmet.,Ein Mann trägt ein orangefarbenes Shirt und einen Helm.
157,"A small boy plays with plastic blocks, cars, and animals with an adult watching closely.",":
:
:
:
:
:","Ein kleiner Junge spielt mit Plastikklötzen, Autos und Tieren während eine Erwachsene ihn aufmerksam beobachtet."
158,A little girl opening a Christmas present.,,"Ein kleines Mädchen, das ein Weihnachtsgeschenk auspackt."
159,The woman in blue is operating a camera in front of two other women.,,Die blau gekleidete Frau bedient eine Kamera vor zwei anderen Frauen.
160,A little girl tries taking a nap on the comfy sofa.,,Ein kleines Mädchen versucht auf einem gemütlichen Sofa ein Nickerchen zu machen.
161,A brown and black dog running on a trail in the woods.,,Ein braun-schwarzer Hund läuft auf einem Pfad im Wald.
162,Two dogs play by a tree.,,Zwei Hunde spielen an einem Baum.
163,A navy walking wearing a black coat and pants on the stairs as camera focuses on the dog,":
:",Ein Marineoffizier in einem schwarzen Mantel und Hose steigt Treppen während die Kamera auf den Hund fokussiert.
164,Two men dressed in green are preparing food in a restaurant.,,Zwei grün gekleidete Männer bereiten in einem Restaurant Essen zu.
165,A man dressed in black leather and a cowboy hat is walking around a Renaissance Festival.,The woman who has been killed by a snake: The man,Ein Mann in schwarzem Leder und einem Cowboyhut schlendert auf einem Renaissancefestival.
166,A dog runs outside with a yellow toy.,,Ein Hund läuft mit einem gelben Spielzeug im Freien.
167,A dog wearing a cover runs in the snow.,,"Ein Hund, der einen Mantel trägt, läuft im Schnee."
168,A family is playing on the beach with their dog.,,Eine Familie spielt am Strand mit ihrem Hund.
169,A woman and a child embrace while the child tastes what they have been making.,:,"Eine Frau und ein Kind umarmen sich während das Kind kostet, was sie gerade gemeinsam zubereiten."
170,Two men and a lady are standing outside.,,Zwei Männer und eine Dame stehen im Freien.
171,A group of men using logs to push a boat out of the water.,,"Eine Gruppe von Männern verwendet Baumstämme, um ein Boot aus dem Wasser zu schieben."
172,A man drinks from a wineglass while reading the paper.,,Ein Mann trinkt aus einem Weinglas während er eine Zeitung liest.
173,A man wearing a all black and playing a piano.,,Ein ganz in schwarz gekleideter Mann spielt Piano.
174,A young boy wearing a blue jersey and yellow shorts is playing soccer.,,Ein Junge in einem blauen Trikot und gelben Shorts spielt Fußball.
175,A man is standing on a stone structure with his arms out like a bird.,:,Ein Mann steht auf einem Stein und breitet seine Arme aus wie ein Vogel.
176,A dog drinks water outside on the grass.,,Ein Hund trinkt draußen Wasser auf dem Gras.
177,Two women wearing tank tops are looking at the camera.,"“The woman is a mother.

The man is a",Zwei Frauen in Tank-Tops blicken in die Kamera.
178,A man is sitting in a barber's chair getting ready for a shave.,a woman,Ein Mann sitzt im Friseurstuhl und bereitet sich auf eine Rasur vor.
179,A young child wearing green boots playing in a mud puddle,green,Ein kleines Kind in grünen Stiefeln spielt in einer Schlammpfütze.
180,A man using a chainsaw to cut lumber.,,Ein Mann schneidet Holz mit einer Kettensäge.
181,A man sitting at a picnic table with a tray and partially consumed beer in front of him.,,Ein Mann sitzt an einem Picknicktisch mit einem Tablett und halb ausgetrunkenem Bier vor sich.
182,The boy wearing a black shirt and blue jeans is holding a red baseball bat.,"red:
green:
blue:",Der Junge im schwarzen T-Shirt und blauen Jeans hält einen roten Baseballschläger.
183,A dark-haired bearded man in glasses and a Hawaiian shirt is sitting on the grass.,,"Ein dunkelhaariger Mann mit Bart, Brille und Hawaiihemd sitzt auf dem Gras."
184,Dogs run at a dog racetrack.,,Hunde Laufen auf einer Hunderennbahn.
185,A light technician man with tribal tattoos aiming a spotlight over a balcony.,,Ein Lichttechniker mit Tribal-Tattoos richtet einen Scheinwerfer über einen Balkon.
186,Two German sheperds snarling at each other.,,Zwei Deutsche Schäferhunde knurren einander an.
187,This is a group of people standing around at some sort of event.,The author:,"Das ist eine Gruppe von Leuten, die auf einem Event herumstehen."
188,A brown and white dog fetching a toy.,,Ein braun-weißer Hund holt ein Spielzeug.
189,Man with white hair playing an accordion in the middle of some buildings.,,Ein weißhaariger Mann spielt Akkordeon zwischen ein paar Gebäuden.
190,A woman with brown hair sitting on a bench outside a cafe.,,Eine Frau mit braunen Haaren sitzt auf einer Bank vor einem Café.
191,A man next to a bicycle is playing a pan flute.,A man next to a bicycle is playing a pan flute.,Ein Mann spielt neben einem Fahrrad Panflöte.
192,Two kids are balancing on a log and holding a rope.,,Zwei Kinder balancieren auf einem Stamm und halten ein Seil.
193,A man riding a motorcycle is performing a trick at a track.,,Ein Mann auf einem Motorrad zeigt einen Trick auf einer Rennstrecke.
194,A young woman with a purple cloth hiding her face relaxes on a wooden deck.,"A young woman with a purple cloth hiding her face, the",Eine junge Frau mit einem purpurnen Tuch über dem Gesicht entspannt auf einem hölzernen Deck.
195,The woman in the brown shirt is sitting on a bright red bench.,,Die Frau im braunen Shirt sitzt auf einer hellroten Bank.
196,A dog walks on a log across a small river.,,Ein Hund läuft auf einem Baumstamm über einen kleinen Fluss.
197,A young man wearing a white t-shirt and green and black shorts standing on a stump.,,Ein junger Mann in einem weißen T-Shirt und grün-schwarzen Shorts steht auf einem Pfeiler.
198,The group of people are all covered by umbrellas.,,Alle Personen in der Gruppe stehen unter Regenschirmen.
199,A man advertises with a giant sign tied onto his bicycle.,,"Ein Mann macht Werbung mit einem riesigen Schild, das auf sein Fahrrad gebunden ist."
200,A man is throwing a log into a waterway while two dogs watch.,,Ein Mann wirft einen Ast in einen Kanal während zwei Hunde zusehen.
201,Group of elders playing instruments under a tent by the water.,,"Gruppe älterer Menschen, die in einem Zelt am Wasser Instrumente spielen."
202,A view of a crowded city street.,"A view of the city street.
A view of the",Eine Ansicht einer belebten Straße in der Stadt.
203,A young blond woman holds a white rope on a sunny day.,,Eine junge blonde Frau hält ein weißes Seil an einem sonnigen Tag.
204,Two people in blue shirts are outside with a bullhorn.,,Zwei Personen in blauen Hemden stehen mit einem Megafon im Freien.
205,A black dog springs up into a pool.,,Ein schwarzer Hund springt in einen Pool.
206,A cowboy riding on the back of a bronco in a competition.,,Ein Cowboy reitet ein Wildpferd in einem Wettbewerb.
207,A railroad work crew performs maintenance on railroad tracks.,The job is a good one for the train:,Eine Gruppe von Bahnarbeitern macht Wartungsarbeiten an Bahngleisen.
208,A worker in an orange vest is using a shovel.,,Ein Arbeiter in einer orangefarbenen Weste arbeitet mit einer Schaufel.
209,Two construction workers have a discussion while on the work site.,,Zwei Bauarbeiter diskutieren auf einer Baustelle.
210,Three men are walking up hill.,,Drei Männer gehen bergauf.
211,An Asian woman in a floral wedding dress poses on a bridge close to her bridesmaids.,,Eine asiatische Frau in einem Hochzeitskleid mit Blumenmuster posiert mit ihren Brautjungfern auf einer Brücke.
212,A young man tunes his guitar in the kitchen.,,Ein junger Mann stimmt seine Gitarre in der Küche.
213,Three boys are playing with sponges and buckets of water.,,Drei Jungen spielen mit Schwämmen und Wassereimern.
214,Three construction workers are mending pavement.,":
:
:
:
:
:",Drei Arbeiter machen Ausbesserungen auf dem Gehsteig.
215,People chilling in at forest next to canoes.,,Leute entspannen in einem Wald neben Kanus.
216,A choir group is gathered together in a church.,,Ein Chor versammelt sich in einer Kirche.
217,A group of young teenagers are jumping at night making funny poses for the camera.,,Eine Gruppe Teenager springt bei Nacht in die Luft und macht lustige Posen für die Kamera.
218,"Two guys are kayaking, one orange one blue, down a creek.",The guy:,"Zwei Männer fahren in Kajaks, eines orange und das andere blau, einen Fluss hinab."
219,Two workers spread cement onto a brick building.,,Zwei Arbeiter streichen Zement auf einen Ziegelbau.
220,A lady wearing a redish sweater and jeans is sitting with hands on her left knee,":
:
:
:
:
:",Eine Dame in einem rötlichen Sweater und Jeans sitzt mit den Händen auf ihrem linken Knie.
221,Two performers putting on a mock fight for an audience that is watching attentively.,,Zwei Schauspieler inszenieren einen Kampf vor einen gebannten Publikum.
222,A GI relaxes and waits at an airport.,,Ein Soldat entspannt und wartet auf einem Flughafen.
223,"A man in a yellow coat tends a fire, a boy in a parka watches.","The woman is an apple.

The man is a tree","Ein Mann in einem gelben Mantel achtet auf ein Feuer, ein Junge im Anorak sieht zu."
224,A man and a boy on a rocky beach.,The woman in question is a child of the same age as,Ein Mann und ein Junge auf einem felsigen Strand.
225,"A woman on a boat named ""El Corazon"" drops black weights into the water.",,"Eine Frau auf einem Boot namens ""El Corazon"" lässt schwarze Gewichte ins Wasser fallen."
226,A boy sitting on and looking out from a microscope.,,Ein Junge sitzt auf einem Fernrohr und schaut hindurch.
227,A young barefoot girl in a pink dress is jumping outside.,,Ein barfüßiges junges Mädchen in einem rosa Kleid springt im Freien.
