de,en,predicted_de
Eine schöne Frau spielt auf einer Harfe.,A pretty woman plays a harpsichord.,"Eine schöne Frau spielt Harpischifferin. 
Output"
Vor einem Gebäude sieht ein uniformierter Sicherheitsbeamter hinter einem Zaun in die Kamera.,"Outside a building, a uniformed security guard looks at the camera from behind a fence.",Im Freien eines Gebäudes ist ein Uniformerungsschutzge
Die junge Dame sieht auf die Pizza.,The young lady is looking at the pizza.,"Die junge Dame blickt auf den Pizza. 

"
Ein Mann mit freiem Oberkörper und Shorts steht auf ein paar Steinen und angelt.,A shirtless man in shorts is fishing while standing on some rocks.,Ein Mann mit freiem Oberkörper und kurzen Hosen angelt auf
Ein Mädchen in einer Rettungsweste treibt im Wasser.,A girl wearing a life vest floats in water.,"Ein Mädchen tragen einen Leibwesten, wie sich im"
Ein Mann in Uniform und ein Mann in einem blauen Hemd stehen vor einem Wagen.,A man in uniform and a man in a blue shirt are standing in front of a truck.,Ein Mann im Uniform und einem Mann mit blauem Hemd stehen vor e
Leute sitzen in einem Zug.,People sit inside a train.,"Menschen sind in einem Zug herum. 

"
Ein Junge schaukelt mit den Füßen in der Luft in einem Wald.,A kid swings with his feet up in the air in a forest.,Ein Kind schwingt mit seinem Fuß im Luft in einer Wald. 
Ein Mann in einem roten Hemd betritt ein Etablissement.,A man in a red shirt entering an establishment.,Ein Mann mit einem roten Hemd überlegt einen Gebä
Zwei Männer in Badehosen springen auf einem mäßig belebten Strand in die Luft.,Two men wearing swim trunks jump in the air at a moderately populated beach.,Zwei Männer mit Badehose springen an einem bemodigen g
Ein kleines Kind kocht mit einer anderen Person.,A toddler is cooking with another person.,"Ein Kleinkind kocht mit einer anderen Person. 


Exercise"
Eine Vaterfigur und zwei Kinder machen vor ihrem Zuhause Gartenarbeit wie den Rasen mit einer Gartenhacke zu bearbeiten und einen Baum zu pflanzen.,A father-figure and two children outside their home doing yard work such as using a hoe on the grass and planting a tree.,"Ein Vater und zwei Kinder im Freien, die in der Wohnhaltung"
Ein Mann bereitet am Herd Essen zu.,A man cooking food on the stove.,"Ein Mann kocht Essen auf dem Stuhl. 


Exercise"
Ein Mann in Jeans spielt an einem Strand mit einem roten Ball.,A man in jeans at the beach playing with a red ball.,Ein Mann im Jeans spielt am Strand mit einem roten Ball. 
Leute gehen auf einem Gehsteig neben einer Reihe von Geschäften.,People walking down sidewalk next to a line of stores.,Leute gehen eine Bürgersteig entlang von einer Reihe Gesch
Ein Wakeboarder macht einen Salto während er bei hoher Geschwindigkeit an einem Seil gezogen wird.,A wakeboarder performs a flip while being towed at high speed.,Ein Wakeboardfahrer macht einen Kunstflip während se
Eine große Menschenmenge füllt eine Straße.,A large group of people fill a street.,Eine große Gruppe von Menschen vollständigt ein Stra
Ein Mann an einem Halteseil geht ins Wasser.,A man on a tag line going into the water.,"Ein Mann mit einer Stolze, der durch den Wasser geht. "
"Eine Frau in Jeans läuft vor einem Bus vorbei, auf dem eine Werbung eine Frau zeigt, die über den Rand ihrer Sonnenbrille blickt.",A woman in jeans walks by a bus with an ad depicting a woman peering over her sunglasses.,Eine Frau im Jeans geht einen Bus vorbei und hat ein
Ein Mann in einem pinken Hemd sitzt auf dem Gras und ein Ball ist in der Luft.,A man in a pink shirt is sitting in the grass and a ball is in the air.,Ein Mann mit einem rosa Hemd sitzt im Gras und einen Ball
Ein am Strand geparktes Auto.,A car parked at the beach.,"Ein Auto parkt am Strand. 


"
Zwei Männer in Schwarz in einer Stadt,Two men wearing black in a city,"Zwei Männer, die schwarz gekleidet sind in e"
Der Mann in der gelben Hose hebt seine Arme.,The man in the yellow pants is raising his arms.,"Der Mann im gelben Hose hält sich die Arme fest. 


"
Zwei Männer mit Hüten und Spazierstöcken schlendern neben einem Gewässer bei Sonnenuntergang.,Two men wearing hats and using walking sticks are walking near a body of water during sundown.,Zwei Männer mit Hut und mit Schuhrädern gehen neben
Ein Cheerleaderteam macht eine Übung auf Stühlen.,A cheerleading team doing a routine on chairs.,Eine Cheerleaderschaft macht ein Routine an Stühlen. 
Ein Junge spielt mit einem Erwachsenen außerhalb des Bildes Dame während ein Mädchen zusieht.,A boy is playing checkers with an adult shown off-screen while a girl looks on.,"Ein Junge spielt Checkers mit einem Erwachsenen, wä"
"Eine Gruppe Menschen, die sich in einem öffentlichen Park amüsieren wollen.",A crowd of people out for some fun in public park.,"Eine Menschenmenge, die im Freien eines Public Parks zu Spaß ge"
Ein Mann sitzt auf einer Bank während er seinen Hund hält und aufs Wasser blickt.,A man sits on a bench holding his dog and looking at the water.,"Ein Mann sitzt an einem Bank und hält seinen Hund, und"
Ein Junge und sein jüngerer Bruder spielen gemeinsam auf einem Spielplatz.,A boy and his younger brother playing together at the playground.,Ein Junge und seiner kleinen Brat spielen zusammen a
Ein blau gekleidete Frau sieht in eine schwarze Ledertasche während sie an einem sonnigen Nachmittag auf einer Bank sitzt und Menschen und Autos hinter ihr vorbeiziehen.,A woman in blue looks in a black leather bag while sitting on a bench during a sunny afternoon while people and limousines passed behind her.,Eine Frau mit blauem Oberteil schaut sich an einem Sonnen
Der braune Hund steht auf dem Sandstrand.,The brown dog is standing on the sandy beach.,"Der braune Hund steht am Sandeblick. 


"
"Eine Frau Sitzt mit einem Korb voller Stoff, umgeben von Stoff.","A woman is sitting with a basket of cloth, surrounded by cloth.",Eine Frau sitzt mit einem Decke von Kleidern und um sich
Ein Mann grillt im Freien in seinem Hof.,A man is grilling out in his backyard.,"Ein Mann grillt im Hinterhof. 


Exercise 1: What is the"
Eine Frau singt in einem Klub mit einem Gitarristen hinter ihr.,A woman sings in a club with a guitarist behind her.,Eine Frau singt im Club und hinter ihm ist ein Gitarrist
Gitarristin spielt in einem Nachtklub auf einer roten Gitarre.,Guitar player performs at a nightclub red guitar.,Ein Gitarstürmer führt in einer Kante clubbierges
Ein Kind sitzt auf einem Gartenstuhl und sieht zur Kamera auf,A child sitting on a lawn chair looking up at the camera,Ein Kind sitzt an einem Hofstuhl und blickt in die K
Zwei Frauen und drei Männer blicken auf den Ozean.,Two ladies and three men looking at the ocean.,Zwei Damen und drei Männer schaufen sich den Meer
Eine Musikantin mit einer Violine spielt auf der Straße während eine Frau mit einer blauen Gitarre zusieht.,A female performer with a violin plays on a street while a woman with a blue guitar looks on.,"Eine Fotografin, die mit einem Violinen spielt auf der"
Ein junges Mädchen schwimmt in einem Pool,A young girl swimming in a pool,"Ein junges Mädchen schwimmt im Schwimmbad. 

"
Mehrere Kinder sind im Freien und bereiten sich auf Tauziehen vor.,Several children are outdoors getting ready to play tug-of-war.,"Mehrere Kinder sind draußen, um zum Kampf auf einen"
Drei Teenager in einer U-Bahn albern herum.,Three teenagers in a subway playing around.,"Drei Teenager spielen im U-Bahn um. 


Exercise 2"
Ein brauner Hund läuft durchs Gras und seine Zunge hängt heraus.,A brown dog walks in the grass with its tongue hanging out.,Ein brauner Hund läuft mit seiner Schnauze im Gras.
Leute sitzen vor einem Gebäude im Gras und machen Pause.,"People sitting in the grass outside a building, taking a break.",Menschen sitzen im Gras vor einem Gebäude um zu halten
Mann ohne Hemd starrt vor einem Café in die Ferne während drei Frauen an einer Menschenmenge vorbeigehen.,Shirtless guy staring off in the distance while three woman are walking past a crowd sitting outside a cafe.,Ein Mann mit freiem Oberkörper sitzt vor einer Menschenm
Zwei Jungen packen Obst auf das Fahrrad.,Two young boys putting fruit on the bike.,Zwei kleine Jungen putzen Pflanze auf dem Fahrrad.
Ein Mann in einem schwarzen T-Shirt spielt Trommel auf einem umgedrehten gelben Kübel.,"A man in a black t-shirt, cap and jeans is playing drums on an upside down yellow pail.","Ein Mann mit schwarzem T-Shirt, Kappe und Jeans sp"
Eine junge Künstlerin malt ein Bild einer Frau auf eine Wand.,A young female artists paints an image of a woman on a wall.,"Eine junge Frau, die ein Bild von einer Frau auf einem"
"Zwei Spielerinnen der US-Nationalmannschaft klatschen im Sprung ab, umgeben von zwei weiteren Spielerinnen.",Two female members of team USA performing a jump high-five surrounded by two other female members.,"Zwei Frauen von Team Amerika, die um einen springenden Hochf"
Ein Mann rührt in einem Topf in seiner Küche.,A man stirring a pot of liquid in this kitchen.,"Ein Mann stiert eine Küche mit Fluss um. 


"
Ein Junge beim Wakeboarden auf dem See.,The boy is wakeboarding on the lake.,"Der Junge macht Wakeboard am See. 


Exercise 2:
Input:"
Ein Mann arbeitet an einem Hotdog-Stand.,A man is working a hotdog stand.,"Ein Mann arbeitet einem Grillstand. 


Exercise 1 Solution: The"
Eine große Gruppe von Menschen unterschiedlichen Alters und Geschlechts sitzt gemeinsam im Freien.,A large group of people of various ages and genders sit outside together.,"Eine große Gruppe von Leuten, die vielen Jahren und ges"
Eine blonde Frau schenkt an einer Bar Getränke ein.,A blond-haired woman is pouring drinks at a bar.,"Eine blonde Frau, die Getränke an einem Bar wirft."
Ein kleines Kind in einem blau-weißen T-Shirt hält glücklich einen gelben Plastik-Alligator.,A small child wearing a blue and white t-shirt happily holding a yellow plastic alligator.,Ein kleines Kind in einem blauen und weißen T-Sh
Eine schwarz gekleidete Frau mit rosa Haaren spricht mit einem Mann.,A woman with pink hair dressed in black talks to a man.,"Eine Frau mit rosa Haar, die schwarz gekleidet is"
Der Mann im japanischen Kochgewand bereitet ein Essen für zwei Personen zu.,The man in a Japanese cooking suit is preparing a meal for two people.,Der Mann im japanischem Kochütte bereitet ein Essen für
Ein Mädchen springt von Fels zu Fels über den Bach.,"A girl hops across the river, from rock to rock.",Ein Mädchen springt über den Fluss von Fels zu F
Ein Arbeiter mit Werkzeugkiste kniet neben zwei Frauen.,A male worker with his tool box is kneeling next to two women.,Ein arbeitender Mann mit seinem Gerätbox neben zwei Frauen
Ein älterer Mann breitet seine Arme aus und blickt verblüfft.,An older man is opening his arms wide and looking perplexed.,Ein älterer Mann schlägt seine Arme weit und betr
Ein Kind in einem weißen Karateanzug übt eine Bewegung.,A child in a white karate outfit practicing a move,"Ein Kind im weißen Karatekleidung, das einen Kun"
Drei Männer in gleichfarbigen Westen halten sich im Freien auf.,Three men in same colored vests are in the outdoors.,"Drei Männer, die sich zwei einige grüne Westen"
"Eine Frau macht ein Bild von einem Baby mit rosa Mütze, das von einem Mann getragen wird.",A woman takes a picture of a baby wearing a pink hat while a man carries her.,"Eine Frau macht ein Foto von einem Baby, der mit rosafar"
Eine Gruppe überwiegend asiatischer Kinder sitzt in Arbeitsnischen verteilt auf blauen Stühlen.,A group of mostly asian children sitting at cubicles in blue chairs.,"Eine Gruppe von mehreren Asienkinder, die auf blauen"
Ein kleiner Junge im Fußballdress hält die Hände vors Gesicht und weint.,A young boy in a soccer uniform crying into his palms.,Ein kleiner Junge im Fußballkleidung weint ins Schä
Eine glückliche Frau bereitet in einem Coffee-Shop eine Erfrischung zu.,A happy woman is preparing a refreshment at a coffee shop.,Eine glückliche Frau bereitet sich an einem Café ein
Ein Bauarbeiter bewegt schweres Gerät auf einer Baustelle.,A construction worker is driving heavy equipment at a work site.,"Ein Bauarbeiter fährt dabei heraus, eine"
Eine Frau läuft beim Softball nach einem erfolgreichen Schlag los während die Fängerin sich erhebt.,"A woman runs after making a hit in women's softball, the catcher rises to her feet.",Eine Frau rennt nach einem Wettbewerb bei Softball-
Ein Mann in Arbeitskleidung reicht einer anderen Person ein Werkzeug.,A man in a work uniform passing a tool to another person.,"Ein Mann im Arbeitsmantel, der einen Werkzeug an and"
Eine Gruppe klettert bei kaltem Wetter.,A group of people are climbing in cold weather.,Eine Gruppe von Menschen klettern im kalten Wettewesen.
Ein Bergsteiger mit einem blauen Helm beginnt mit dem Abstieg.,A mountaineer about to descend down a mountain with a blue helmet on.,"Ein Bergsteiger mit blauem Helm, der einen Berg hintergeben w"
Ein Mann macht einen Handstand auf einer runden Skulptur.,A man doing handstand on top of a round statue.,Ein Mann macht eine Handstand über einen runden Statue. 
Ein Kind sitzt an einem Restauranttisch und hält eine Papiermaske vors Gesicht.,A child sitting at a restaurant table holding a paper mask against his face.,Ein Kind sitzt an einem Restaurantstisch und hält einen Papier
"Ein brauner Hund watet in einen See, um einen Stock zu holen.",A brown dog wades into a lake to retrieve a stick.,"Ein brauner Hund, der einen See in hängt und eine St"
Eine Mutter bringt ihren zwei kleinen Söhnen an einer felsigen Küste mit sehr blauem Wasser das Angeln bei.,A mother teaches her two young boys to fish off of a rocky coast into very blue water.,"Eine Mutter lernen ihre zwei kleinese Jungen an,"
Ein kleines Kind läuft neben roten Stühlen.,A little kid is walking next to red banners.,"Ein kleines Kind geht neben roten Bannen zu. 

"
Ein Mädchen sitzt mit einem kleineren Jungen auf einem dekorierten Fahrrad während ein weiteres Mädchen ein Foto macht.,A girl sits on a decorated bike with a younger boy while another girl takes a picture.,Ein Mädchen sitzt mit einem kleiner Junge an einem
Ein Schwarzer Hund holt einen Ball im Wasser.,A black dog is retrieving a ball in water.,Ein schwarzer Hund wirft einen Ball im Wasser hoch. 
Ein Mann in weißen Hosen und einem blauen Hemd tritt gegen einen gelben Boxsack.,A man in white pants and a blue shirt is kicking a yellow boxing bag.,"Ein Mann mit weißen Hosen und einem blauen Hemd, der"
Zwei indische Männer nehmen an einer Zeremonie teil.,Two Indian men participating in a ceremony.,"Zwei Indische Männer, die eine Kerene anzusehen k"
Ein Junge mit verschrammter Nase und bekritzelten Händen steht in einer Videothek.,A boy with a bruised nose and writing on his hands is standing in a video rental store.,Ein Junge mit geschlossenem Nase schreibt an ih
Zwei Silhouetten paddeln in einem Kanu auf dem Ozean bei Sonnenuntergang.,Two silhouetted people paddle a canoe on the ocean during sunset.,Zwei Personen paddeln in einem Kanu am Sonnensunset im Meer
"Menschen stehen in einer vollen U-Bahn, der Bahnsteig draußen ist durch das Fenster zu sehen.","People are standing on a crowded subway, and the platform outside is visible through the window.",Menschen stehen in einer überfüllten U-Bahn und die
Mann erklettert Mauer mit Feuer in der Hand,Man scaling wall with fire in hand,"Ein Mann, der mit Feuer eine Wand hängt und das Warte"
Zwei braune Hunde rennen durch den Schnee.,Two brown dogs are running through the snow.,"Zwei braune Hunde rennen durch den Schnee. 


"
"Bühnenfoto einer kleinen Band, die für ein Theaterpublikum spielt.",On stage photo of small band performing for theater audience.,"Eine Fotografie von einer kleinen Band, die für Theaterpub"
Ein Baby im Weihnachtskostüm blickt in die Kamera.,A baby in a Christmas outfit looks at the camera.,Ein Baby im Weihnachtskleidung schaut die Kamera an.
Ein Mann Sitzt neben einem Computermonitor.,A man is sitting next to a computer monitor.,"Ein Mann sitzt neben einem Computermuster. 


Exercise 1"
Diese Frau hat gerade einen lustigen Witz gehört und lacht.,This lady has heard a funny joke and laughing.,Diese Dame hat einen wunderschönen Joke und lacht nachdem
"Personen in einem Gebäude, eine von ihnen macht ein Foto.","People inside of a building, one is taking a photo.",Menschen in einem Gebäude und jemandem macht ein Foto.
Vier weiße Hunde mit Maulkörben springen über eine rote Wand.,Four white dogs with muzzles jump over a red wall.,Vier weiße Hunde mit Maulen springt über eine ro
Die Frau im blauen Shirt hält ein Baby.,The woman with the blue shirt is holding a baby.,Die Frau mit dem blauen T-Shirt hält einen Baby. 
Zwei Personen sitzen auf gestreiften Liegestühlen und angeln in einem Gewässer.,Two people are sitting fishing on striped beach chairs in a body of water.,Zwei Personen sitzen am Strand mit gelben Bühne und fischen
Eine alte Frau sitzt an einem Webstuhl und stellt Stoff her.,An old woman working at a loom making cloth.,Eine altes Frau arbeitet an einem Schleife und schneidet
Ein Junge im Vordergrund blickt über andere Personen auf einem Platz.,A boy standing in the foreground looking out over other people in a court.,"Ein Junge, der im Vordergrund steht und über andere Mens"
Ein Mann in einer blauen Jacke hält einen Jungen an der Schulter.,A man in a blue coat grabbing a young boy's shoulder.,"Ein Mann mit einem blauen Mantel, der den Schäfer des klein"
Drei braune Hunde springen an der blau gekleideten Frau hoch.,Three brown dogs are jumping up at the woman wearing blue.,Drei braune Hunde springen von den Frau in blauem Oberteil
Ein Junge hängt aus dem Fenster eines vorbeifahrenden Taxis.,A boy hangs out of a passing taxi cab window,Ein Junge hängt von einem Fahrzeug in der Hand des Tax
Ein Mann in einem grauen Shirt springt über die Spitze einer Sanddüne in der Wüste.,A man in a gray shirt jumps over the top of a sand dune in the desert.,Ein Mann mit grauem Hemd springt über den Kopf einer Sand
Ein Kind in einem gelben Shirt springt rauf und runter.,A child wearing a yellow shirt is jumping up and down.,Ein Kind in einem gelben Hemd springt hoch und läuft n
"Ein Arbeiter in einer gelben Jacke wird auf ein Gebäude gehoben, um zu arbeiten.",A worker in a yellow jacket is hoisted up high to work on a building.,"Ein Arbeiter mit einem gelben Jackett wird hoch an, um z"
Ein Mann in Brasilien unterhält sich mit jungen Erwachsenen.,A man in Brazil giving an informal talk to young adults.,"Ein Mann im Brasilien, der jedoch auf kleinen Erwach"
Ein paar Bier-Zapfhähne in einer Bar mit Weihnachtsdekoration an der Decke.,A bunch of beer pull tabs at a bar with Christmas lights on the ceiling.,Eine Gruppe von Bierkleidungen an einem Bar mit Weihn
Ein Mann seilt sich an einer Klippe über dem Ozean ab.,A man is abseiling down a cliff over the ocean.,Ein Mann klettern einen Kliff hoch über den Meer an.
Ein Mann in schwarz geht im Schnee zu seinem Fahrzeug.,A man in black is walking to his truck in the snow.,Ein schwarzer Mann geht im Schnee zu seiner Lastwagen auf.
Ein Foxterrier springt nach einem Ball.,A fox terrier leaps after a ball.,"Ein Foxterrier springt nach einem Ball. 


Exercise 2:"
Eine Polizistin mit Mütze und blauer Uniform trägt eine Sonnenbrille und lächelt vor einem Geschäft.,A female police officer in a cap and navy uniform smiles while wearing sunglasses outside of a shop.,Eine Polizistin mit Kopfbedeckung und naviester Uniform lä
Eine Familie spaziert durch einen Park.,A Family going for a walk in a park.,"Eine Familie geht einen Spaziergang im Park entlang. 

"
Ein Mann mit einem grünen Schutzhelm und Sicherheitsweste blickt ernst.,A man in a green hard hat and yellow safety vest frowns.,Ein Mann mit grünem Schutzhelm und gelben Sicherheitsweste
Ein Kind mit pinken Fäden auf dem Kopf tanzt umgeben von Konfetti und Ballons.,"Child with pink strings on head dancing surrounded by confetti, balloons.",Ein Kind mit rosa Strings auf dem Kopf tanzt in verschied
Ein Hund mit Stupsnase schnuppert nach etwas an einem Flussufer.,A dog with a snub nose smells for something on a riverbank.,Ein Hund mit einem Schnürzlern schützen sich am Fluss
Ein Mann bereitet seinen Stand für das Tagesgeschäft vor.,A man prepares his local stand for the days business.,Ein Mann bereitet seine Landstand für die Tages Geschäft v
"Ein Mann in einem roten Hemd schickt sich an, einen Taco zu essen.",A man in a red shirt is about to eat a taco.,Ein Mann mit rotem Hemd wird eine Tacke zu essen. 
Eine junge Dame in weiß hält einen Tennisschläger.,A young lady in white holding a tennis racket,Eine kleines Frau in weißer Kleidung hält einen
Ein Junge in einem roten Shirt gräbt mit einer gelben Schaufel im Sand.,A boy wearing a red shirt digs into the sand with a yellow shovel.,Ein Junge in einem roten Hemd schüttelt mit einer gelben
Eine Person in einer rosa Jacke sitzt untätig auf einer hölzernen Bank.,An individual wearing rose jacket site idle on a wooden bench.,Eine Person in einem rosa Jacke sitzt bei niemals an e
Ein Mann in einem weißen Hemd blickt durch ein Fenster einer Metallkonstruktion.,A man wearing a white shirt is looking out a window of a metal construction.,Ein Mann in einem weißen Hemd blickt an einer Fenster
Eine Frau hält eine kleine weiße Statue.,A woman is holding a small white statue.,Eine Frau hält einen kleinen weißen Stückstat
Sechs Kinder ohne Hemd spielen in natürlichem Gewässer und planschen.,Six shirtless children are playing in natural water and splashing around.,Sechs kostümliche Kinder spielen im naturlichen Wasser
Zwei Personen fahren auf Fahrrädern durch eine Gebirgslandschaft.,Two people riding bikes through a mountainous region.,Zwei Personen fahren Fahrrad durch einen Bergebiet. 
Ein Mädchen beim Seilhüpfen auf dem Gehweg nahe einer Garage.,A girl jumping rope on a sidewalk near a parking garage.,Ein Mädchen springt mit einem Rampe neben einer Parkplatz
Ein Mann trägt ein orangefarbenes Shirt und einen Helm.,A man wearing an orange shirt and helmet.,"Ein Mann in einem orangen Hemd und mit Helm. 


"
"Ein kleiner Junge spielt mit Plastikklötzen, Autos und Tieren während eine Erwachsene ihn aufmerksam beobachtet.","A small boy plays with plastic blocks, cars, and animals with an adult watching closely.","Ein kleiner Junge spielt mit Plastikbloks, Autos und"
"Ein kleines Mädchen, das ein Weihnachtsgeschenk auspackt.",A little girl opening a Christmas present.,Ein kleines Mädchen öffnet eine Weihnachts
Die blau gekleidete Frau bedient eine Kamera vor zwei anderen Frauen.,The woman in blue is operating a camera in front of two other women.,Die Frau im blauen Kleidung konzertiert vor zwei and
Ein kleines Mädchen versucht auf einem gemütlichen Sofa ein Nickerchen zu machen.,A little girl tries taking a nap on the comfy sofa.,"Ein kleines Mädchen versucht, einen Rücken z"
Ein braun-schwarzer Hund läuft auf einem Pfad im Wald.,A brown and black dog running on a trail in the woods.,Ein braun-schwarzer Hund rennt einen Weg im Wald entlang
Zwei Hunde spielen an einem Baum.,Two dogs play by a tree.,"Zwei Hunde spielen an einem Baum. 

"
Ein Marineoffizier in einem schwarzen Mantel und Hose steigt Treppen während die Kamera auf den Hund fokussiert.,A navy walking wearing a black coat and pants on the stairs as camera focuses on the dog,Ein Marine in einem schwarzen Mantel und Hosen geht an den Trepp
Zwei grün gekleidete Männer bereiten in einem Restaurant Essen zu.,Two men dressed in green are preparing food in a restaurant.,Zwei grüne Männer bereiten in einem Restaurant Essen zu
Ein Mann in schwarzem Leder und einem Cowboyhut schlendert auf einem Renaissancefestival.,A man dressed in black leather and a cowboy hat is walking around a Renaissance Festival.,"Ein Mann, der schwarz gekleidet und mit Cowboyhut geht"
