de,en,predicted_de,predicted_en
Der Mann in der gelben Hose hebt seine Arme.,The man in the yellow pants is raising his arms.,,"The man in the blue shirt is wearing his coat.
"
Zwei Männer mit Hüten und Spazierstöcken schlendern neben einem Gewässer bei Sonnenuntergang.,Two men wearing hats and using walking sticks are walking near a body of water during sundown.,,"Two men with dogs and a stick were walking near the lake during sunset.
"
Ein Cheerleaderteam macht eine Übung auf Stühlen.,A cheerleading team doing a routine on chairs.,,"A cheerleading team makes an exercise on chairs.
"
Ein Junge spielt mit einem Erwachsenen außerhalb des Bildes Dame während ein Mädchen zusieht.,A boy is playing checkers with an adult shown off-screen while a girl looks on.,,"A young man plays with a toy outside while a girl watches nearby.
"
"Eine Gruppe Menschen, die sich in einem öffentlichen Park amüsieren wollen.",A crowd of people out for some fun in public park.,,"A group of people who want to enjoy a public park together.
"
Ein Mann sitzt auf einer Bank während er seinen Hund hält und aufs Wasser blickt.,A man sits on a bench holding his dog and looking at the water.,,"A man sits on the bank while his dog watches and looks at water.
"
Ein Junge und sein jüngerer Bruder spielen gemeinsam auf einem Spielplatz.,A boy and his younger brother playing together at the playground.,,"A young boy and his younger brother play together on a playground.
"
Ein blau gekleidete Frau sieht in eine schwarze Ledertasche während sie an einem sonnigen Nachmittag auf einer Bank sitzt und Menschen und Autos hinter ihr vorbeiziehen.,A woman in blue looks in a black leather bag while sitting on a bench during a sunny afternoon while people and limousines passed behind her.,,A blue-clad woman is sitting on a black leather couch while reading the morning newspaper and people are
Der braune Hund steht auf dem Sandstrand.,The brown dog is standing on the sandy beach.,,"The black dog is lying on the beach.
"
"Eine Frau Sitzt mit einem Korb voller Stoff, umgeben von Stoff.","A woman is sitting with a basket of cloth, surrounded by cloth.",,"A woman sits on a couch with a bag full of stuff.
"
Ein Mann grillt im Freien in seinem Hof.,A man is grilling out in his backyard.,,"A man is grilling outside his house.
"
Eine Frau singt in einem Klub mit einem Gitarristen hinter ihr.,A woman sings in a club with a guitarist behind her.,,"A woman sings at a club with a guitarist behind her.
"
Gitarristin spielt in einem Nachtklub auf einer roten Gitarre.,Guitar player performs at a nightclub red guitar.,,"The guitarist plays in a night club on a red guitar.
"
Ein Kind sitzt auf einem Gartenstuhl und sieht zur Kamera auf,A child sitting on a lawn chair looking up at the camera,,"A child is sitting on a bench and looking at the camera.
"
Zwei Frauen und drei Männer blicken auf den Ozean.,Two ladies and three men looking at the ocean.,,"Two women and three men are looking at the ocean.
"
Eine Musikantin mit einer Violine spielt auf der Straße während eine Frau mit einer blauen Gitarre zusieht.,A female performer with a violin plays on a street while a woman with a blue guitar looks on.,,"A musician playing on the street while a woman with a blue guitar plays nearby.
"
Ein junges Mädchen schwimmt in einem Pool,A young girl swimming in a pool,,"A young girl swims in a pool.
"
Mehrere Kinder sind im Freien und bereiten sich auf Tauziehen vor.,Several children are outdoors getting ready to play tug-of-war.,,"There are many children playing in the park before going home.
"
Drei Teenager in einer U-Bahn albern herum.,Three teenagers in a subway playing around.,,"Three teenagers were riding the subway alone.
"
Ein brauner Hund läuft durchs Gras und seine Zunge hängt heraus.,A brown dog walks in the grass with its tongue hanging out.,,"A brown dog runs through the grass and its tail wags happily.
"
Leute sitzen vor einem Gebäude im Gras und machen Pause.,"People sitting in the grass outside a building, taking a break.",,"People gather outside a building in the grass and take a break.
"
Mann ohne Hemd starrt vor einem Café in die Ferne während drei Frauen an einer Menschenmenge vorbeigehen.,Shirtless guy staring off in the distance while three woman are walking past a crowd sitting outside a cafe.,,A man without a beard started sitting at the café before three women entered while they were talking on their
Zwei Jungen packen Obst auf das Fahrrad.,Two young boys putting fruit on the bike.,,"Two kids ride bikes on the road.
"
Ein Mann in einem schwarzen T-Shirt spielt Trommel auf einem umgedrehten gelben Kübel.,"A man in a black t-shirt, cap and jeans is playing drums on an upside down yellow pail.",,"A man wearing a black t-shirt is playing the drums on an old blue drum kit.
"
Eine junge Künstlerin malt ein Bild einer Frau auf eine Wand.,A young female artists paints an image of a woman on a wall.,,"A young artist painted a picture of a woman on a canvas.
"
"Zwei Spielerinnen der US-Nationalmannschaft klatschen im Sprung ab, umgeben von zwei weiteren Spielerinnen.",Two female members of team USA performing a jump high-five surrounded by two other female members.,,Two members of the United States Nationalist Party jumped into the air in order to impress two additional players
Ein Mann rührt in einem Topf in seiner Küche.,A man stirring a pot of liquid in this kitchen.,,"A man is stirring a pot on the stove.
"
Ein Junge beim Wakeboarden auf dem See.,The boy is wakeboarding on the lake.,,"A young boy on the wakeboarding lake.
"
Ein Mann arbeitet an einem Hotdog-Stand.,A man is working a hotdog stand.,,"A man works at a hot dog stand.
"
Eine große Gruppe von Menschen unterschiedlichen Alters und Geschlechts sitzt gemeinsam im Freien.,A large group of people of various ages and genders sit outside together.,,"A large group of people consisting of different ages and genders sits together in the park.
"
Eine blonde Frau schenkt an einer Bar Getränke ein.,A blond-haired woman is pouring drinks at a bar.,,"A blonde woman orders a drink at the bar.
"
Ein kleines Kind in einem blau-weißen T-Shirt hält glücklich einen gelben Plastik-Alligator.,A small child wearing a blue and white t-shirt happily holding a yellow plastic alligator.,,"A little boy is wearing a blue and white striped shirt with a green plastic alligator on it,"
Eine schwarz gekleidete Frau mit rosa Haaren spricht mit einem Mann.,A woman with pink hair dressed in black talks to a man.,,"A black-clad woman with red hair speaks to a man in the same outfit.
"
Der Mann im japanischen Kochgewand bereitet ein Essen für zwei Personen zu.,The man in a Japanese cooking suit is preparing a meal for two people.,,"The man in Japan is preparing a meal for two people.
"
Ein Mädchen springt von Fels zu Fels über den Bach.,"A girl hops across the river, from rock to rock.",,"A girl jumps from rock to rock over the creek.
"
Ein Arbeiter mit Werkzeugkiste kniet neben zwei Frauen.,A male worker with his tool box is kneeling next to two women.,,"A worker with a toolbox sat next to two women.
"
Ein älterer Mann breitet seine Arme aus und blickt verblüfft.,An older man is opening his arms wide and looking perplexed.,,"An older man wears his coat and looks around suspiciously.
"
Ein Kind in einem weißen Karateanzug übt eine Bewegung.,A child in a white karate outfit practicing a move,,"A child is riding a white bicycle.
"
Drei Männer in gleichfarbigen Westen halten sich im Freien auf.,Three men in same colored vests are in the outdoors.,,"Three men dressed alike stand together on the beach.
"
"Eine Frau macht ein Bild von einem Baby mit rosa Mütze, das von einem Mann getragen wird.",A woman takes a picture of a baby wearing a pink hat while a man carries her.,,"A woman makes a portrait of a baby with pink cheeks that was painted by a man.
"
Eine Gruppe überwiegend asiatischer Kinder sitzt in Arbeitsnischen verteilt auf blauen Stühlen.,A group of mostly asian children sitting at cubicles in blue chairs.,,"A group of Asian children is sitting on blue benches at work.
"
Ein kleiner Junge im Fußballdress hält die Hände vors Gesicht und weint.,A young boy in a soccer uniform crying into his palms.,,"A little boy is holding the ball in front of his chest and drinking from a bottle.
"
Eine glückliche Frau bereitet in einem Coffee-Shop eine Erfrischung zu.,A happy woman is preparing a refreshment at a coffee shop.,,"A happy woman enters a coffee shop for a refreshing conversation.
"
Ein Bauarbeiter bewegt schweres Gerät auf einer Baustelle.,A construction worker is driving heavy equipment at a work site.,,"A construction worker operates heavy machinery on an elevated platform.
"
Eine Frau läuft beim Softball nach einem erfolgreichen Schlag los während die Fängerin sich erhebt.,"A woman runs after making a hit in women's softball, the catcher rises to her feet.",,"A woman is running after a successful player during the softball match.
"
Ein Mann in Arbeitskleidung reicht einer anderen Person ein Werkzeug.,A man in a work uniform passing a tool to another person.,,"A man working at a desk carries another person's toolbox.
"
Eine Gruppe klettert bei kaltem Wetter.,A group of people are climbing in cold weather.,,"A group of hikers goes hiking in cold weather.
"
Ein Bergsteiger mit einem blauen Helm beginnt mit dem Abstieg.,A mountaineer about to descend down a mountain with a blue helmet on.,,"A mountaineer with a blue helmet begins climbing the ascent.
"
Ein Mann macht einen Handstand auf einer runden Skulptur.,A man doing handstand on top of a round statue.,,"A man does a handstand on top of a round sculpture.
"
Ein Kind sitzt an einem Restauranttisch und hält eine Papiermaske vors Gesicht.,A child sitting at a restaurant table holding a paper mask against his face.,,"A child is sitting at a restaurant table and wears a mask in front of his face.
"
"Ein brauner Hund watet in einen See, um einen Stock zu holen.",A brown dog wades into a lake to retrieve a stick.,,"A brown dog watches a lake, hoping for some fish.
"
Eine Mutter bringt ihren zwei kleinen Söhnen an einer felsigen Küste mit sehr blauem Wasser das Angeln bei.,A mother teaches her two young boys to fish off of a rocky coast into very blue water.,,"A mother brings her two little seashells with a very blue sea shore by the beach.
"
Ein kleines Kind läuft neben roten Stühlen.,A little kid is walking next to red banners.,,"A little boy is playing under yellow leaves.
"
Ein Mädchen sitzt mit einem kleineren Jungen auf einem dekorierten Fahrrad während ein weiteres Mädchen ein Foto macht.,A girl sits on a decorated bike with a younger boy while another girl takes a picture.,,"A girl is riding her bike while another girl takes a photo of them together.
"
Ein Schwarzer Hund holt einen Ball im Wasser.,A black dog is retrieving a ball in water.,,"A black dog was playing with a ball in the water.
"
Ein Mann in weißen Hosen und einem blauen Hemd tritt gegen einen gelben Boxsack.,A man in white pants and a blue shirt is kicking a yellow boxing bag.,,"A man wearing white socks and a blue shirt is walking against a red suitcase.
"
Zwei indische Männer nehmen an einer Zeremonie teil.,Two Indian men participating in a ceremony.,,"Two Indian men are taking part in a ceremony.
"
Ein Junge mit verschrammter Nase und bekritzelten Händen steht in einer Videothek.,A boy with a bruised nose and writing on his hands is standing in a video rental store.,,"A young boy with crooked nose and messy hair sits at a video arcade.
"
Zwei Silhouetten paddeln in einem Kanu auf dem Ozean bei Sonnenuntergang.,Two silhouetted people paddle a canoe on the ocean during sunset.,,"Two silhouettes swam on the ocean at sunset.
"
"Menschen stehen in einer vollen U-Bahn, der Bahnsteig draußen ist durch das Fenster zu sehen.","People are standing on a crowded subway, and the platform outside is visible through the window.",,"People are standing inside a crowded subway train that goes through the window looking outside.
"
Mann erklettert Mauer mit Feuer in der Hand,Man scaling wall with fire in hand,,"He wrote with fire a wall of smoke in his hand.
"
Zwei braune Hunde rennen durch den Schnee.,Two brown dogs are running through the snow.,,"Two black dogs are running through the snow.
"
"Bühnenfoto einer kleinen Band, die für ein Theaterpublikum spielt.",On stage photo of small band performing for theater audience.,,"Photo of a small band performing for an audience at the theater pub.
"
Ein Baby im Weihnachtskostüm blickt in die Kamera.,A baby in a Christmas outfit looks at the camera.,,"A baby is looking at the camera during Christmas time.
"
Ein Mann Sitzt neben einem Computermonitor.,A man is sitting next to a computer monitor.,,"A man sits next to a computer monitor.
"
Diese Frau hat gerade einen lustigen Witz gehört und lacht.,This lady has heard a funny joke and laughing.,,"This woman has always had a lively personality and laughs often.
"
"Personen in einem Gebäude, eine von ihnen macht ein Foto.","People inside of a building, one is taking a photo.",,"People in a building take a photo of each other.
"
Vier weiße Hunde mit Maulkörben springen über eine rote Wand.,Four white dogs with muzzles jump over a red wall.,,"Four white dogs with red collars are running over a green fence.
"
Die Frau im blauen Shirt hält ein Baby.,The woman with the blue shirt is holding a baby.,,"The woman in the blue shirt is holding a baby.
"
Zwei Personen sitzen auf gestreiften Liegestühlen und angeln in einem Gewässer.,Two people are sitting fishing on striped beach chairs in a body of water.,,"Two people are sitting on benches and enjoying the view of a lake.
"
Eine alte Frau sitzt an einem Webstuhl und stellt Stoff her.,An old woman working at a loom making cloth.,,"An elderly woman is sitting on a chair and holds something in her hand.
"
Ein Junge im Vordergrund blickt über andere Personen auf einem Platz.,A boy standing in the foreground looking out over other people in a court.,,"A young man looks at other people on a street corner.
"
Ein Mann in einer blauen Jacke hält einen Jungen an der Schulter.,A man in a blue coat grabbing a young boy's shoulder.,,"A man is sitting on a bench at the school gate.
"
Drei braune Hunde springen an der blau gekleideten Frau hoch.,Three brown dogs are jumping up at the woman wearing blue.,,"Three brown dogs are running after the blue-clad woman high up in the air.
"
Ein Junge hängt aus dem Fenster eines vorbeifahrenden Taxis.,A boy hangs out of a passing taxi cab window,,"A young man is standing at the window of an approaching taxi.
"
Ein Mann in einem grauen Shirt springt über die Spitze einer Sanddüne in der Wüste.,A man in a gray shirt jumps over the top of a sand dune in the desert.,,"A man runs up the slope of a sand dune on the beach.
"
Ein Kind in einem gelben Shirt springt rauf und runter.,A child wearing a yellow shirt is jumping up and down.,,"A child in a red shirt runs and jumps around excitedly.
"
"Ein Arbeiter in einer gelben Jacke wird auf ein Gebäude gehoben, um zu arbeiten.",A worker in a yellow jacket is hoisted up high to work on a building.,,A worker who is wearing a blue jacket will be assigned to a building so that he can work there
Ein Mann in Brasilien unterhält sich mit jungen Erwachsenen.,A man in Brazil giving an informal talk to young adults.,,"A man from Brazil is living with young adults.
"
Ein paar Bier-Zapfhähne in einer Bar mit Weihnachtsdekoration an der Decke.,A bunch of beer pull tabs at a bar with Christmas lights on the ceiling.,,"A few beer taps on a bar with Christmas decorations at the counter.
"
Ein Mann seilt sich an einer Klippe über dem Ozean ab.,A man is abseiling down a cliff over the ocean.,,"A man sits silently on a rock over the ocean.
"
Ein Mann in schwarz geht im Schnee zu seinem Fahrzeug.,A man in black is walking to his truck in the snow.,,"A man goes for a walk in the snow.
"
Ein Foxterrier springt nach einem Ball.,A fox terrier leaps after a ball.,,"A Poodle jumps after a ball.
"
Eine Polizistin mit Mütze und blauer Uniform trägt eine Sonnenbrille und lächelt vor einem Geschäft.,A female police officer in a cap and navy uniform smiles while wearing sunglasses outside of a shop.,,"A police officer with a hat and blue uniform wears sunglasses and walks towards a business meeting.
"
Eine Familie spaziert durch einen Park.,A Family going for a walk in a park.,,"A family goes for a walk in the park.
"
Ein Mann mit einem grünen Schutzhelm und Sicherheitsweste blickt ernst.,A man in a green hard hat and yellow safety vest frowns.,,"A man with a green helmet and security vest looks suspiciously at the scene.
"
Ein Kind mit pinken Fäden auf dem Kopf tanzt umgeben von Konfetti und Ballons.,"Child with pink strings on head dancing surrounded by confetti, balloons.",,"A child with red balloons on their head dances around covered in confetti and balloons.
"
Ein Hund mit Stupsnase schnuppert nach etwas an einem Flussufer.,A dog with a snub nose smells for something on a riverbank.,,"A dog with a tail chases something into the river.
"
Ein Mann bereitet seinen Stand für das Tagesgeschäft vor.,A man prepares his local stand for the days business.,,"A man is getting ready for his daily work routine.
"
"Ein Mann in einem roten Hemd schickt sich an, einen Taco zu essen.",A man in a red shirt is about to eat a taco.,,"A man is eating a red apple while sitting on a chair.
"
Eine junge Dame in weiß hält einen Tennisschläger.,A young lady in white holding a tennis racket,,"A young woman is holding a pencil case.
"
Ein Junge in einem roten Shirt gräbt mit einer gelben Schaufel im Sand.,A boy wearing a red shirt digs into the sand with a yellow shovel.,,"A young man wearing a red shirt picks up a green pebble from the sand.
"
Eine Person in einer rosa Jacke sitzt untätig auf einer hölzernen Bank.,An individual wearing rose jacket site idle on a wooden bench.,,"A woman sitting on a red bench is reading at the library.
"
Ein Mann in einem weißen Hemd blickt durch ein Fenster einer Metallkonstruktion.,A man wearing a white shirt is looking out a window of a metal construction.,,"A man looks out of a window made of metal construction.
"
Eine Frau hält eine kleine weiße Statue.,A woman is holding a small white statue.,,"A woman holds a small white statue.
"
Sechs Kinder ohne Hemd spielen in natürlichem Gewässer und planschen.,Six shirtless children are playing in natural water and splashing around.,,"Six children are playing in a natural lake and planning something.
"
Zwei Personen fahren auf Fahrrädern durch eine Gebirgslandschaft.,Two people riding bikes through a mountainous region.,,"Two people are driving through a mountainous landscape.
"
Ein Mädchen beim Seilhüpfen auf dem Gehweg nahe einer Garage.,A girl jumping rope on a sidewalk near a parking garage.,,"A girl was walking along the sidewalk towards her garage.
"
Ein Mann trägt ein orangefarbenes Shirt und einen Helm.,A man wearing an orange shirt and helmet.,,"A man is wearing a red shirt and a hat.
"
"Ein kleiner Junge spielt mit Plastikklötzen, Autos und Tieren während eine Erwachsene ihn aufmerksam beobachtet.","A small boy plays with plastic blocks, cars, and animals with an adult watching closely.",,A little boy plays with plastic toys such as cars and animals while an adult watches him attentively.
"Ein kleines Mädchen, das ein Weihnachtsgeschenk auspackt.",A little girl opening a Christmas present.,,"A little girl who is holding a Christmas present in her hands.
"
Die blau gekleidete Frau bedient eine Kamera vor zwei anderen Frauen.,The woman in blue is operating a camera in front of two other women.,,"The blue-clad woman stood beside two other women holding a camera.
"
Ein kleines Mädchen versucht auf einem gemütlichen Sofa ein Nickerchen zu machen.,A little girl tries taking a nap on the comfy sofa.,,"A little girl is trying to make a sandwich on a comfortable sofa with her favorite toy car.
"
Ein braun-schwarzer Hund läuft auf einem Pfad im Wald.,A brown and black dog running on a trail in the woods.,,"A brown dog is running in the forest.
"
Zwei Hunde spielen an einem Baum.,Two dogs play by a tree.,,"Two dogs are playing in a tree.
"
Ein Marineoffizier in einem schwarzen Mantel und Hose steigt Treppen während die Kamera auf den Hund fokussiert.,A navy walking wearing a black coat and pants on the stairs as camera focuses on the dog,,"A marine officer is standing on a black ladder and holding the camera focused on the dog.
"
Zwei grün gekleidete Männer bereiten in einem Restaurant Essen zu.,Two men dressed in green are preparing food in a restaurant.,,"Two green-clothed men are getting ready for dinner at a restaurant.
"
Ein Mann in schwarzem Leder und einem Cowboyhut schlendert auf einem Renaissancefestival.,A man dressed in black leather and a cowboy hat is walking around a Renaissance Festival.,,"A man wearing black leather and sitting on a cowboy hat is walking into a renaissance fair.
"
Ein Hund läuft mit einem gelben Spielzeug im Freien.,A dog runs outside with a yellow toy.,,"A dog is running with a blue ball in the park.
"
"Ein Hund, der einen Mantel trägt, läuft im Schnee.",A dog wearing a cover runs in the snow.,,"A dog sitting on a mat is running in the snow.
"
Eine Familie spielt am Strand mit ihrem Hund.,A family is playing on the beach with their dog.,,"A family plays at the beach with their dog.
"
"Eine Frau und ein Kind umarmen sich während das Kind kostet, was sie gerade gemeinsam zubereiten.",A woman and a child embrace while the child tastes what they have been making.,,"A woman and a child were sitting together while the child read his book.
"
Zwei Männer und eine Dame stehen im Freien.,Two men and a lady are standing outside.,,"Two men and a lady are standing in the park.
"
"Eine Gruppe von Männern verwendet Baumstämme, um ein Boot aus dem Wasser zu schieben.",A group of men using logs to push a boat out of the water.,,"A group of men uses tree branches to make a raft so they can cross the water.
"
Ein Mann trinkt aus einem Weinglas während er eine Zeitung liest.,A man drinks from a wineglass while reading the paper.,,"A man drinks from an empty glass while reading the newspaper during his time off work.
"
Ein ganz in schwarz gekleideter Mann spielt Piano.,A man wearing a all black and playing a piano.,,"A very handsome man plays the piano.
"
Ein Junge in einem blauen Trikot und gelben Shorts spielt Fußball.,A young boy wearing a blue jersey and yellow shorts is playing soccer.,,"A young boy is playing soccer in a blue jersey and red shorts.
"
Ein Mann steht auf einem Stein und breitet seine Arme aus wie ein Vogel.,A man is standing on a stone structure with his arms out like a bird.,,"A man stands on top of a rock and plays his guitar like a bird.
"
