,input_de,output_en,gt_en
41,Ein Mann in Uniform und ein Mann in einem blauen Hemd stehen vor einem Wagen.,A man dressed in uniform and a man wearing blue sh,A man in uniform and a man in a blue shirt are standing in front of a truck.
42,Leute sitzen in einem Zug.,People are sitting on a train.,People sit inside a train.
43,Ein Junge schaukelt mit den Füßen in der Luft in einem Wald.,A young boy is looking up at the trees with his feet,A kid swings with his feet up in the air in a forest.
44,Ein Mann in einem roten Hemd betritt ein Etablissement.,A man wearing a red shirt enters an establishment.,A man in a red shirt entering an establishment.
45,Zwei Männer in Badehosen springen auf einem mäßig belebten Strand in die Luft.,Two men dressed as swimmers jump into the air on,Two men wearing swim trunks jump in the air at a moderately populated beach.
46,Ein kleines Kind kocht mit einer anderen Person.,A little child is cooking with another person.,A toddler is cooking with another person.
47,Eine Vaterfigur und zwei Kinder machen vor ihrem Zuhause Gartenarbeit wie den Rasen mit einer Gartenhacke zu bearbeiten und einen Baum zu pflanzen.,A father and his two children are working in their backyard,A father-figure and two children outside their home doing yard work such as using a hoe on the grass and planting a tree.
48,Ein Mann bereitet am Herd Essen zu.,A man is preparing food on a stove in his,A man cooking food on the stove.
49,Ein Mann in Jeans spielt an einem Strand mit einem roten Ball.,A man wearing jeans is playing a ball on the,A man in jeans at the beach playing with a red ball.
50,Leute gehen auf einem Gehsteig neben einer Reihe von Geschäften.,People are walking on a sidewalk alongside a row of stores,People walking down sidewalk next to a line of stores.
51,Ein Wakeboarder macht einen Salto während er bei hoher Geschwindigkeit an einem Seil gezogen wird.,A wake boarder is doing a jump while being pulled,A wakeboarder performs a flip while being towed at high speed.
52,Eine große Menschenmenge füllt eine Straße.,A large crowd is filling a street.im,A large group of people fill a street.
53,Ein Mann an einem Halteseil geht ins Wasser.,A man is walking across a suspended bridge in the water,A man on a tag line going into the water.
54,"Eine Frau in Jeans läuft vor einem Bus vorbei, auf dem eine Werbung eine Frau zeigt, die über den Rand ihrer Sonnenbrille blickt.",A woman wearing jeans and a sun hat is walking,A woman in jeans walks by a bus with an ad depicting a woman peering over her sunglasses.
55,Ein Mann in einem pinken Hemd sitzt auf dem Gras und ein Ball ist in der Luft.,A man in a pink shirt is sitting on the,A man in a pink shirt is sitting in the grass and a ball is in the air.
56,Ein am Strand geparktes Auto.,An outoftheway car parked on,A car parked at the beach.
57,Zwei Männer in Schwarz in einer Stadt,Two men dressed in black standing in a city.im,Two men wearing black in a city
58,Der Mann in der gelben Hose hebt seine Arme.,The man wearing the yellow shirt is holding his arms,The man in the yellow pants is raising his arms.
59,Zwei Männer mit Hüten und Spazierstöcken schlendern neben einem Gewässer bei Sonnenuntergang.,Two men wearing hats and sneakers are walking,Two men wearing hats and using walking sticks are walking near a body of water during sundown.
60,Ein Cheerleaderteam macht eine Übung auf Stühlen.,A cheerleading team doing a drill on stools.,A cheerleading team doing a routine on chairs.
61,Ein Junge spielt mit einem Erwachsenen außerhalb des Bildes Dame während ein Mädchen zusieht.,"A boy is playing with an adult outside of the picture,",A boy is playing checkers with an adult shown off-screen while a girl looks on.
62,"Eine Gruppe Menschen, die sich in einem öffentlichen Park amüsieren wollen.",A group of people are having a picnic in public park,A crowd of people out for some fun in public park.
63,Ein Mann sitzt auf einer Bank während er seinen Hund hält und aufs Wasser blickt.,A man is sitting on a bench with his dog while,A man sits on a bench holding his dog and looking at the water.
64,Ein Junge und sein jüngerer Bruder spielen gemeinsam auf einem Spielplatz.,A young boy and his younger brother are playing together on a,A boy and his younger brother playing together at the playground.
65,Ein blau gekleidete Frau sieht in eine schwarze Ledertasche während sie an einem sonnigen Nachmittag auf einer Bank sitzt und Menschen und Autos hinter ihr vorbeiziehen.,A woman in blue is looking into a black leather pur,A woman in blue looks in a black leather bag while sitting on a bench during a sunny afternoon while people and limousines passed behind her.
66,Der braune Hund steht auf dem Sandstrand.,The brown dog is standing on the sandy beach.,The brown dog is standing on the sandy beach.
67,"Eine Frau Sitzt mit einem Korb voller Stoff, umgeben von Stoff.",A woman is sitting with a basket of fabric around her feet,"A woman is sitting with a basket of cloth, surrounded by cloth."
68,Ein Mann grillt im Freien in seinem Hof.,A man is cooking outside on a patio.,A man is grilling out in his backyard.
69,Eine Frau singt in einem Klub mit einem Gitarristen hinter ihr.,A woman is singing at a club with a guitarist behind,A woman sings in a club with a guitarist behind her.
70,Gitarristin spielt in einem Nachtklub auf einer roten Gitarre.,Guitarist playing at a red guitar in a nightclub,Guitar player performs at a nightclub red guitar.
71,Ein Kind sitzt auf einem Gartenstuhl und sieht zur Kamera auf,A child sits on a garden chair and looks out at,A child sitting on a lawn chair looking up at the camera
72,Zwei Frauen und drei Männer blicken auf den Ozean.,Two women and three men are looking at the ocean.,Two ladies and three men looking at the ocean.
73,Eine Musikantin mit einer Violine spielt auf der Straße während eine Frau mit einer blauen Gitarre zusieht.,A musician with a violin is playing in the street,A female performer with a violin plays on a street while a woman with a blue guitar looks on.
74,Ein junges Mädchen schwimmt in einem Pool,A young girl swimming in a pool.im,A young girl swimming in a pool
75,Mehrere Kinder sind im Freien und bereiten sich auf Tauziehen vor.,Several children are outside and getting ready for a water slide ride,Several children are outdoors getting ready to play tug-of-war.
76,Drei Teenager in einer U-Bahn albern herum.,"Three teenagers walking around a subway station, looking",Three teenagers in a subway playing around.
77,Ein brauner Hund läuft durchs Gras und seine Zunge hängt heraus.,"A brown dog is running through the grass, with his tongue",A brown dog walks in the grass with its tongue hanging out.
78,Leute sitzen vor einem Gebäude im Gras und machen Pause.,People are sitting in a field of grass and taking a break,"People sitting in the grass outside a building, taking a break."
79,Mann ohne Hemd starrt vor einem Café in die Ferne während drei Frauen an einer Menschenmenge vorbeigehen.,A man without a shirt is staring off into the,Shirtless guy staring off in the distance while three woman are walking past a crowd sitting outside a cafe.
80,Zwei Jungen packen Obst auf das Fahrrad.,Two boys are loading fruit on a bike.,Two young boys putting fruit on the bike.
81,Ein Mann in einem schwarzen T-Shirt spielt Trommel auf einem umgedrehten gelben Kübel.,A man wearing a black shirt is playing drums on,"A man in a black t-shirt, cap and jeans is playing drums on an upside down yellow pail."
82,Eine junge Künstlerin malt ein Bild einer Frau auf eine Wand.,A young artist is painting a portrait of a woman on the,A young female artists paints an image of a woman on a wall.
83,"Zwei Spielerinnen der US-Nationalmannschaft klatschen im Sprung ab, umgeben von zwei weiteren Spielerinnen.",Two American women are jumping off the blocks in a relay,Two female members of team USA performing a jump high-five surrounded by two other female members.
84,Ein Mann rührt in einem Topf in seiner Küche.,A man is stirring something in a pot in his kitchen,A man stirring a pot of liquid in this kitchen.
85,Ein Junge beim Wakeboarden auf dem See.,A young boy wakesurfing on the lake.,The boy is wakeboarding on the lake.
86,Ein Mann arbeitet an einem Hotdog-Stand.,A man is working at a hot dog stand.im,A man is working a hotdog stand.
87,Eine große Gruppe von Menschen unterschiedlichen Alters und Geschlechts sitzt gemeinsam im Freien.,"A large group of people, all different ages and genders",A large group of people of various ages and genders sit outside together.
88,Eine blonde Frau schenkt an einer Bar Getränke ein.,A blond woman is giving drinks to a bar patron,A blond-haired woman is pouring drinks at a bar.
89,Ein kleines Kind in einem blau-weißen T-Shirt hält glücklich einen gelben Plastik-Alligator.,A little boy wears a blue and white shirt with,A small child wearing a blue and white t-shirt happily holding a yellow plastic alligator.
90,Eine schwarz gekleidete Frau mit rosa Haaren spricht mit einem Mann.,A blackclad woman with red hair is talking to,A woman with pink hair dressed in black talks to a man.
91,Der Mann im japanischen Kochgewand bereitet ein Essen für zwei Personen zu.,The man in the Japanese apron is preparing a me,The man in a Japanese cooking suit is preparing a meal for two people.
92,Ein Mädchen springt von Fels zu Fels über den Bach.,A girl jumps from rock to rock over the creek,"A girl hops across the river, from rock to rock."
93,Ein Arbeiter mit Werkzeugkiste kniet neben zwei Frauen.,A worker with a tool box kneels next to two women,A male worker with his tool box is kneeling next to two women.
94,Ein älterer Mann breitet seine Arme aus und blickt verblüfft.,A man in his late 50s is looking at,An older man is opening his arms wide and looking perplexed.
95,Ein Kind in einem weißen Karateanzug übt eine Bewegung.,A child is practicing a martial arts move in a,A child in a white karate outfit practicing a move
96,Drei Männer in gleichfarbigen Westen halten sich im Freien auf.,Three men standing outside in the same color of western clothing,Three men in same colored vests are in the outdoors.
97,"Eine Frau macht ein Bild von einem Baby mit rosa Mütze, das von einem Mann getragen wird.",A woman is taking a picture of a baby with a red,A woman takes a picture of a baby wearing a pink hat while a man carries her.
98,Eine Gruppe überwiegend asiatischer Kinder sitzt in Arbeitsnischen verteilt auf blauen Stühlen.,A group of mostly Asian children are sitting on blue chairs,A group of mostly asian children sitting at cubicles in blue chairs.
99,Ein kleiner Junge im Fußballdress hält die Hände vors Gesicht und weint.,A young boy in a soccer jersey is holding,A young boy in a soccer uniform crying into his palms.
100,Eine glückliche Frau bereitet in einem Coffee-Shop eine Erfrischung zu.,A happy woman is making a cup of coffee at the ca,A happy woman is preparing a refreshment at a coffee shop.
101,Ein Bauarbeiter bewegt schweres Gerät auf einer Baustelle.,A construction worker moves heavy equipment on a building site.,A construction worker is driving heavy equipment at a work site.
102,Eine Frau läuft beim Softball nach einem erfolgreichen Schlag los während die Fängerin sich erhebt.,A woman is running after a successful hit while the catcher,"A woman runs after making a hit in women's softball, the catcher rises to her feet."
103,Ein Mann in Arbeitskleidung reicht einer anderen Person ein Werkzeug.,A man dressed as a worker is giving another person tools to,A man in a work uniform passing a tool to another person.
104,Eine Gruppe klettert bei kaltem Wetter.,A group of people climbing in cold weather.,A group of people are climbing in cold weather.
105,Ein Bergsteiger mit einem blauen Helm beginnt mit dem Abstieg.,A mountain climber wearing a blue helmet begins desc,A mountaineer about to descend down a mountain with a blue helmet on.
106,Ein Mann macht einen Handstand auf einer runden Skulptur.,A man is doing a handstand on a round sculpture,A man doing handstand on top of a round statue.
107,Ein Kind sitzt an einem Restauranttisch und hält eine Papiermaske vors Gesicht.,A child sits at a restaurant table and holds up his,A child sitting at a restaurant table holding a paper mask against his face.
108,"Ein brauner Hund watet in einen See, um einen Stock zu holen.",A brown dog is swimming and looking for a rock to,A brown dog wades into a lake to retrieve a stick.
109,Eine Mutter bringt ihren zwei kleinen Söhnen an einer felsigen Küste mit sehr blauem Wasser das Angeln bei.,A mother and two sons are fishing at a rocky,A mother teaches her two young boys to fish off of a rocky coast into very blue water.
110,Ein kleines Kind läuft neben roten Stühlen.,A little boy runs beside the red chairs.,A little kid is walking next to red banners.
111,Ein Mädchen sitzt mit einem kleineren Jungen auf einem dekorierten Fahrrad während ein weiteres Mädchen ein Foto macht.,A girl is sitting on a decorated bicycle with,A girl sits on a decorated bike with a younger boy while another girl takes a picture.
112,Ein Schwarzer Hund holt einen Ball im Wasser.,A black dog is fetching a ball in the water.,A black dog is retrieving a ball in water.
113,Ein Mann in weißen Hosen und einem blauen Hemd tritt gegen einen gelben Boxsack.,A man dressed in white pants and a blue shirt,A man in white pants and a blue shirt is kicking a yellow boxing bag.
114,Zwei indische Männer nehmen an einer Zeremonie teil.,Two Indian men participate in a ceremony.im,Two Indian men participating in a ceremony.
115,Ein Junge mit verschrammter Nase und bekritzelten Händen steht in einer Videothek.,Young boy with crunched nose and gnarled hands,A boy with a bruised nose and writing on his hands is standing in a video rental store.
116,Zwei Silhouetten paddeln in einem Kanu auf dem Ozean bei Sonnenuntergang.,Two silhouettes are paddling a canoe on,Two silhouetted people paddle a canoe on the ocean during sunset.
117,"Menschen stehen in einer vollen U-Bahn, der Bahnsteig draußen ist durch das Fenster zu sehen.",People are standing outside the train station with their backs to,"People are standing on a crowded subway, and the platform outside is visible through the window."
118,Mann erklettert Mauer mit Feuer in der Hand,A man climbs the wall with a fire extingu,Man scaling wall with fire in hand
119,Zwei braune Hunde rennen durch den Schnee.,Two brown dogs running through the snow in Germany.,Two brown dogs are running through the snow.
120,"Bühnenfoto einer kleinen Band, die für ein Theaterpublikum spielt.",A small band playing for a theater audience.im,On stage photo of small band performing for theater audience.
121,Ein Baby im Weihnachtskostüm blickt in die Kamera.,This is a baby wearing Santas suit on Christmas,A baby in a Christmas outfit looks at the camera.
122,Ein Mann Sitzt neben einem Computermonitor.,A man is sitting next to a computer monitor.im,A man is sitting next to a computer monitor.
123,Diese Frau hat gerade einen lustigen Witz gehört und lacht.,This lady is just having a good laugh over something she heard,This lady has heard a funny joke and laughing.
124,"Personen in einem Gebäude, eine von ihnen macht ein Foto.",People inside a building with someone taking photos of them.,"People inside of a building, one is taking a photo."
125,Vier weiße Hunde mit Maulkörben springen über eine rote Wand.,Four white dogs with bowls on their heads are jumping,Four white dogs with muzzles jump over a red wall.
126,Die Frau im blauen Shirt hält ein Baby.,The woman in the blue shirt is holding a baby.,The woman with the blue shirt is holding a baby.
127,Zwei Personen sitzen auf gestreiften Liegestühlen und angeln in einem Gewässer.,Two people are sitting on a row of benches and fish,Two people are sitting fishing on striped beach chairs in a body of water.
128,Eine alte Frau sitzt an einem Webstuhl und stellt Stoff her.,An old lady sitting at a desk with stuff.,An old woman working at a loom making cloth.
129,Ein Junge im Vordergrund blickt über andere Personen auf einem Platz.,A boy in the front is looking at other people on a,A boy standing in the foreground looking out over other people in a court.
130,Ein Mann in einer blauen Jacke hält einen Jungen an der Schulter.,A man wearing a blue jacket is holding his son,A man in a blue coat grabbing a young boy's shoulder.
131,Drei braune Hunde springen an der blau gekleideten Frau hoch.,Three brown dogs jump up on a womans back while,Three brown dogs are jumping up at the woman wearing blue.
132,Ein Junge hängt aus dem Fenster eines vorbeifahrenden Taxis.,A young boy hangs out of the window of a tax,A boy hangs out of a passing taxi cab window
133,Ein Mann in einem grauen Shirt springt über die Spitze einer Sanddüne in der Wüste.,A man wearing a gray shirt leaps over the,A man in a gray shirt jumps over the top of a sand dune in the desert.
134,Ein Kind in einem gelben Shirt springt rauf und runter.,A young boy wearing a yellow shirt jumps up,A child wearing a yellow shirt is jumping up and down.
135,"Ein Arbeiter in einer gelben Jacke wird auf ein Gebäude gehoben, um zu arbeiten.",This worker is being lifted by a blue jacket to work,A worker in a yellow jacket is hoisted up high to work on a building.
136,Ein Mann in Brasilien unterhält sich mit jungen Erwachsenen.,A man is talking with young adults in Brazil.,A man in Brazil giving an informal talk to young adults.
137,Ein paar Bier-Zapfhähne in einer Bar mit Weihnachtsdekoration an der Decke.,Two bottle openers hanging from the ceiling in,A bunch of beer pull tabs at a bar with Christmas lights on the ceiling.
138,Ein Mann seilt sich an einer Klippe über dem Ozean ab.,A man is climbing a cliff overlooking the ocean,A man is abseiling down a cliff over the ocean.
139,Ein Mann in schwarz geht im Schnee zu seinem Fahrzeug.,A man wearing black is walking down the street to his,A man in black is walking to his truck in the snow.
140,Ein Foxterrier springt nach einem Ball.,A fox terrier is jumping after a ball.,A fox terrier leaps after a ball.
141,Eine Polizistin mit Mütze und blauer Uniform trägt eine Sonnenbrille und lächelt vor einem Geschäft.,A police officer in a hat and blue uniform is smiling,A female police officer in a cap and navy uniform smiles while wearing sunglasses outside of a shop.
142,Eine Familie spaziert durch einen Park.,A family is walking through a park.,A Family going for a walk in a park.
143,Ein Mann mit einem grünen Schutzhelm und Sicherheitsweste blickt ernst.,A man in a green helmet and safety gear is,A man in a green hard hat and yellow safety vest frowns.
144,Ein Kind mit pinken Fäden auf dem Kopf tanzt umgeben von Konfetti und Ballons.,A child with pink hair and balloon on their,"Child with pink strings on head dancing surrounded by confetti, balloons."
145,Ein Hund mit Stupsnase schnuppert nach etwas an einem Flussufer.,A dog with a snout full of water is splash,A dog with a snub nose smells for something on a riverbank.
146,Ein Mann bereitet seinen Stand für das Tagesgeschäft vor.,A man is preparing his stand for the days,A man prepares his local stand for the days business.
147,"Ein Mann in einem roten Hemd schickt sich an, einen Taco zu essen.",A man wearing a red shirt is eating t,A man in a red shirt is about to eat a taco.
148,Eine junge Dame in weiß hält einen Tennisschläger.,"A young woman, dressed in white holding a tennis racket",A young lady in white holding a tennis racket
149,Ein Junge in einem roten Shirt gräbt mit einer gelben Schaufel im Sand.,A young boy wearing a red shirt is digging,A boy wearing a red shirt digs into the sand with a yellow shovel.
150,Eine Person in einer rosa Jacke sitzt untätig auf einer hölzernen Bank.,"A person sitting on a wooden bench, dressed in p",An individual wearing rose jacket site idle on a wooden bench.
151,Ein Mann in einem weißen Hemd blickt durch ein Fenster einer Metallkonstruktion.,A man looking through a window of a metal structure.,A man wearing a white shirt is looking out a window of a metal construction.
152,Eine Frau hält eine kleine weiße Statue.,A woman holding a small white statue.imend,A woman is holding a small white statue.
153,Sechs Kinder ohne Hemd spielen in natürlichem Gewässer und planschen.,Six children without clothes are playing and splashing around in,Six shirtless children are playing in natural water and splashing around.
154,Zwei Personen fahren auf Fahrrädern durch eine Gebirgslandschaft.,Two people are riding bikes through a mountainous landscape,Two people riding bikes through a mountainous region.
155,Ein Mädchen beim Seilhüpfen auf dem Gehweg nahe einer Garage.,A girl in a swinging on the sidewalk near a,A girl jumping rope on a sidewalk near a parking garage.
156,Ein Mann trägt ein orangefarbenes Shirt und einen Helm.,A man wearing an orange shirt and a helmet,A man wearing an orange shirt and helmet.
157,"Ein kleiner Junge spielt mit Plastikklötzen, Autos und Tieren während eine Erwachsene ihn aufmerksam beobachtet.",A little boy playing with plastic clips and cars while,"A small boy plays with plastic blocks, cars, and animals with an adult watching closely."
158,"Ein kleines Mädchen, das ein Weihnachtsgeschenk auspackt.",A little girl packing a Christmas gift box.,A little girl opening a Christmas present.
159,Die blau gekleidete Frau bedient eine Kamera vor zwei anderen Frauen.,The blueclad woman is serving coffee to two other,The woman in blue is operating a camera in front of two other women.
160,Ein kleines Mädchen versucht auf einem gemütlichen Sofa ein Nickerchen zu machen.,A little girl is trying to make a chicken on a,A little girl tries taking a nap on the comfy sofa.
161,Ein braun-schwarzer Hund läuft auf einem Pfad im Wald.,A brown and black dog is running in a forest path.,A brown and black dog running on a trail in the woods.
162,Zwei Hunde spielen an einem Baum.,Two dogs are playing in a tree on the sidewalk.,Two dogs play by a tree.
163,Ein Marineoffizier in einem schwarzen Mantel und Hose steigt Treppen während die Kamera auf den Hund fokussiert.,An officer wearing a black uniform stands on the steps of,A navy walking wearing a black coat and pants on the stairs as camera focuses on the dog
164,Zwei grün gekleidete Männer bereiten in einem Restaurant Essen zu.,Two men dressed in green are preparing food at a restaurant,Two men dressed in green are preparing food in a restaurant.
165,Ein Mann in schwarzem Leder und einem Cowboyhut schlendert auf einem Renaissancefestival.,A man wearing black leather and a cowboy hat,A man dressed in black leather and a cowboy hat is walking around a Renaissance Festival.
166,Ein Hund läuft mit einem gelben Spielzeug im Freien.,A dog is running with a yellow toy in the open,A dog runs outside with a yellow toy.
167,"Ein Hund, der einen Mantel trägt, läuft im Schnee.",A dog wearing a coat is walking in the snow.,A dog wearing a cover runs in the snow.
168,Eine Familie spielt am Strand mit ihrem Hund.,A family is playing with their dog on the beach.,A family is playing on the beach with their dog.
169,"Eine Frau und ein Kind umarmen sich während das Kind kostet, was sie gerade gemeinsam zubereiten.",A woman and child are kissing while the mother is prepar,A woman and a child embrace while the child tastes what they have been making.
170,Zwei Männer und eine Dame stehen im Freien.,Two men and one woman are standing outside in the open air,Two men and a lady are standing outside.
171,"Eine Gruppe von Männern verwendet Baumstämme, um ein Boot aus dem Wasser zu schieben.",A group of men are using branches to propel a boat,A group of men using logs to push a boat out of the water.
172,Ein Mann trinkt aus einem Weinglas während er eine Zeitung liest.,A man is drinking from a glass of wine while reading,A man drinks from a wineglass while reading the paper.
173,Ein ganz in schwarz gekleideter Mann spielt Piano.,A man dressed in black playing the piano.im,A man wearing a all black and playing a piano.
174,Ein Junge in einem blauen Trikot und gelben Shorts spielt Fußball.,A young boy wearing a blue shirt and shorts,A young boy wearing a blue jersey and yellow shorts is playing soccer.
175,Ein Mann steht auf einem Stein und breitet seine Arme aus wie ein Vogel.,A man is standing on a rock with his arms spread like,A man is standing on a stone structure with his arms out like a bird.
176,Ein Hund trinkt draußen Wasser auf dem Gras.,A dog is drinking water outside on grass.,A dog drinks water outside on the grass.
177,Zwei Frauen in Tank-Tops blicken in die Kamera.,Two women wearing tank tops are looking into the camera,Two women wearing tank tops are looking at the camera.
178,Ein Mann sitzt im Friseurstuhl und bereitet sich auf eine Rasur vor.,A man is getting ready for a foil styling session,A man is sitting in a barber's chair getting ready for a shave.
179,Ein kleines Kind in grünen Stiefeln spielt in einer Schlammpfütze.,A little boy wearing green boots is playing in a,A young child wearing green boots playing in a mud puddle
180,Ein Mann schneidet Holz mit einer Kettensäge.,A man is sawing wood with a chainsaw.,A man using a chainsaw to cut lumber.
181,Ein Mann sitzt an einem Picknicktisch mit einem Tablett und halb ausgetrunkenem Bier vor sich.,A man is sitting at a picnic table with half,A man sitting at a picnic table with a tray and partially consumed beer in front of him.
182,Der Junge im schwarzen T-Shirt und blauen Jeans hält einen roten Baseballschläger.,The boy in the black shirt and blue jeans holding,The boy wearing a black shirt and blue jeans is holding a red baseball bat.
183,"Ein dunkelhaariger Mann mit Bart, Brille und Hawaiihemd sitzt auf dem Gras.",A darkhaired man with a beard and hat,A dark-haired bearded man in glasses and a Hawaiian shirt is sitting on the grass.
184,Hunde Laufen auf einer Hunderennbahn.,Dog are running on a dog track.imend,Dogs run at a dog racetrack.
185,Ein Lichttechniker mit Tribal-Tattoos richtet einen Scheinwerfer über einen Balkon.,A light technician with tribal tattoos adjusting,A light technician man with tribal tattoos aiming a spotlight over a balcony.
186,Zwei Deutsche Schäferhunde knurren einander an.,Two German Shepherd dogs are barking at each,Two German sheperds snarling at each other.
187,"Das ist eine Gruppe von Leuten, die auf einem Event herumstehen.",This group of people are standing around at an event.,This is a group of people standing around at some sort of event.
