en,de,generated_de
A mother and her young song enjoying a beautiful day outside.,Eine Mutter und ihr kleiner Sohn genießen einen schönen Tag im Freien.,"<|user|>
A mother and her young song enjoying a beautiful day outside. 
<|assistant|>:
Eine Mutter und ihr Kind genießen einen schönen Tag draußen im Fre"
"Men playing volleyball, with one player missing the ball but hands still in the air.","Männer, die Volleyball spielen, wobei ein Mann den Ball nicht trifft, während seine Hände immer noch in der Luft sind.","<|user|>
Men playing volleyball, with one player missing the ball but hands still in the air. 
<|assistant|>:
Männer spielen Vollebaltsport mit einem Spieler aus dem Spiel und der andere ist"
A woman holding a bowl of food in a kitchen.,"Eine Frau, die in einer Küche eine Schale mit Essen hält.","<|user|>
A woman holding a bowl of food in a kitchen. 
<|assistant|>:
Eine Frau hält eine Schüssel mit Essen im Küchenraum.  
"
Man sitting using tool at a table in his home.,"Ein sitzender Mann, der an einem Tisch in seinem Haus mit einem Werkzeug arbeitet.","<|user|>
Man sitting using tool at a table in his home. 
<|assistant|>:
Ein Mann, der ein Werkzeug an einem Tisch seiner Hauses setzt.  "
Three people sit in a cave.,Drei Leute sitzen in einer Höhle.,"<|user|>
Three people sit in a cave. 
<|assistant|>:
Drei Menschen sitzend im Keller. 
3 Männer, die sich auf einer"
A girl in a jean dress is walking along a raised balance beam.,Ein Mädchen in einem Jeanskleid läuft über einen erhöhten Schwebebalken.,"<|user|>
A girl in a jean dress is walking along a raised balance beam. 
<|assistant|>:
Ein Mädchen mit Jeans geht einen erhöhten Balken herabge"
A blond holding hands with a guy in the sand.,Eine Blondine hält mit einem Mann im Sand Händchen.,"<|user|>
A blond holding hands with a guy in the sand. 
<|assistant|>:
Ein blau gekleideter Mann hält Händchen mit einem anderen, dunk"
A woman in a gray sweater and black baseball cap is standing in line at a shop.,Eine Frau in einem Grauen Pulli und mit einer schwarzen Baseballmütze steht in einem Geschäft in der Schlange.,"<|user|>
A woman in a gray sweater and black baseball cap is standing in line at a shop. 
<|assistant|>:Eine Frau mit einem grauen Pullover und einer schwarzen Baseballmütze steht"
The person in the striped shirt is mountain climbing.,Die Person im gestreiften Shirt klettert auf einen Berg.,"<|user|>
The person in the striped shirt is mountain climbing. 
<|assistant|>:
Die Person im gestreiften Oberteil klettert auf einem Bergwandern. "
Two men pretend to be statutes while women look on.,"Zwei Männer tun so als seien sie Statuen, während Frauen ihnen zusehen.","<|user|>
Two men pretend to be statutes while women look on. 
<|assistant|>:
Zwei Männer, die sich als Statuen auffallen und Frauen zuschauen."
People standing outside of a building.,"Leute, die vor einem Gebäude stehen.","<|user|>
People standing outside of a building. 
<|assistant|>:
Leute stehen draußen vor einem Gebäude. 
Kinder im Freien stehen an"
A teenager plays her trumpet on the field at a game.,Eine Teenagerin spielt bei einem Spiel Trompete auf dem Feld.,"<|user|>
A teenager plays her trumpet on the field at a game. 
<|assistant|>:
Ein Teenspielertalent spielt auf dem Spielplatz Trompete und"
A woman does a somersault on a trampoline on the beach.,Eine Frau macht einen Salto auf einem Trampolin am Strand.,"<|user|>
A woman does a somersault on a trampoline on the beach. 
<|assistant|>:
Eine Frau macht einen Springbrett auf dem Strand ein Somer-Spring"
A man is standing by a group of video games in a bar.,Ein Mann steht bei einigen Spielautomaten in einer Bar.,"<|user|>
A man is standing by a group of video games in a bar. 
<|assistant|>:
Ein Mann steht bei einer Gruppe von Video-Spielen auf der Bande. "
A woman uses a drill while another man takes her picture.,Eine Frau verwendet eine Bohrmaschine während ein Mann sie fotografiert.,"<|user|>
A woman uses a drill while another man takes her picture. 
<|assistant|>:
Eine Frau verwendet eine Spitze und ein anderer Mann macht Fotos von ihr"
"A woman in a pink sweater and an apron, cleaning a table with a sponge.",Eine Frau in einem pinken Pulli und einer Schürze putzt einen Tisch mit einem Schwamm.,"<|user|>
A woman in a pink sweater and an apron, cleaning a table with a sponge. 
<|assistant|>:
Eine Frau mit einem rosafarbenen Pullover und einer Schürze w"
A man cutting branches of trees.,Ein Mann schneidet Äste von Bäumen.,"<|user|>
A man cutting branches of trees. 
<|assistant|>:
Ein Mann schneidet Baumstämme aus Bäumen. 
"
Group of Asian boys wait for meat to cook over barbecue.,"Eine Gruppe Asiatischer Jungen wartet am Grill darauf, dass Fleisch gar wird.","<|user|>
Group of Asian boys wait for meat to cook over barbecue. 
<|assistant|>:
Gruppe von asiatischen Jungen wartet auf Essen, das über einer"
"Women, wearing traditional clothing, are reenacting native life.","Frauen, die traditionelle Kleidung tragen, spielen das Leben Einheimischer nach.","<|user|>
Women, wearing traditional clothing, are reenacting native life. 
<|assistant|>:
Frauen in traditionellen Kleidern erinnert an die vorherige Lebensweise"
One man holds another man's head down and prepares to punch him in the face.,Ein Mann drückt den Kopf eines anderen Mannes nach unten und will ihm ins Gesicht schlagen.,"<|user|>
One man holds another man's head down and prepares to punch him in the face. 
<|assistant|>:Ein Mann hält einen anderen Mann den Kopf und bereitet sich darauf vor, ihn im"
Six people ride mountain bikes through a jungle environment.,Sechs Leute fahren Mountainbikes durch eine Dschungellandschaft.,"<|user|>
Six people ride mountain bikes through a jungle environment. 
<|assistant|>:
Sechs Personen fahren Mountainbiken durch einen Waldgebieteumstieg. Die B"
2 blond girls are sitting on a ledge in a crowded plaza.,2 blonde Mädchen sitzen auf einem Absatz auf einem belebten Platz.,"<|user|>
2 blond girls are sitting on a ledge in a crowded plaza. 
<|assistant|>:
Zwei Blonde sind auf einem Geländer im belebten Platz zu sitzen. "
A child is splashing in the water,Ein Kind planscht im Wasser.,"<|user|>
A child is splashing in the water 
<|assistant|>:
Ein Kind schlüpft im Wasser. Ein Mädchen rutscht durch"
Three people sit at a picnic table outside of a building painted like a union jack.,"Drei Leute sitzen an einem Picknicktisch vor einem Gebäude, das wie der Union Jack bemalt ist.","<|user|>
Three people sit at a picnic table outside of a building painted like a union jack. 
<|assistant|>:
Drei Personen, die im Freien neben einem Gebäude mit einer Unionskriegsflagge"
3 boys are standing on a pier in their bathing suits.,3 Jungen stehen in ihren Badehosen auf einem Pier.,"<|user|>
3 boys are standing on a pier in their bathing suits. 
<|assistant|>:
Drei Jungen stehen auf einem Pier im Badeanzug an der Uferseite her"
An employee is handing a woman a bag while she is browsing through fish on ice at a street market.,"Ein Angestellter reicht einer Frau auf einem Markt eine Tüte, während sie auf Eis gelegten Fisch begutachtet.","<|user|>
An employee is handing a woman a bag while she is browsing through fish on ice at a street market. 
<|assistant|>:
Ein Mitarbeiter hält einen Koffer an, während sie auf einem Mark"
A pretty woman plays a harpsichord.,Eine schöne Frau spielt auf einer Harfe.,"<|user|>
A pretty woman plays a harpsichord. 
<|assistant|>:
Eine bunte Frau spielt auf einer Harfe. 2013 in der"
"Outside a building, a uniformed security guard looks at the camera from behind a fence.",Vor einem Gebäude sieht ein uniformierter Sicherheitsbeamter hinter einem Zaun in die Kamera.,"<|user|>
Outside a building, a uniformed security guard looks at the camera from behind a fence. 
<|assistant|>: im Freien vor einem Gebäude sieht eine Uniformierte Sicherheitskontrollmann in"
The young lady is looking at the pizza.,Die junge Dame sieht auf die Pizza.,"<|user|>
The young lady is looking at the pizza. 
<|assistant|>:
Die junge Frau blickt auf den Pizzaschweiß. 
D"
A shirtless man in shorts is fishing while standing on some rocks.,Ein Mann mit freiem Oberkörper und Shorts steht auf ein paar Steinen und angelt.,"<|user|>
A shirtless man in shorts is fishing while standing on some rocks. 
<|assistant|>:
Ein Mann mit nacktem Oberkörper und Hosen fischt, während"
A girl wearing a life vest floats in water.,Ein Mädchen in einer Rettungsweste treibt im Wasser.,"<|user|>
A girl wearing a life vest floats in water. 
<|assistant|>:
Ein Mädchen mit einem Schwimmbecken schwimmt im Wasser. 
"
A man in uniform and a man in a blue shirt are standing in front of a truck.,Ein Mann in Uniform und ein Mann in einem blauen Hemd stehen vor einem Wagen.,"<|user|>
A man in uniform and a man in a blue shirt are standing in front of a truck. 
<|assistant|>:
Ein Mann im Uniform und ein Mann mit blauem Hemd stehen vor einem L"
People sit inside a train.,Leute sitzen in einem Zug.,"<|user|>
People sit inside a train. 
<|assistant|>:
Leute, die in einem Zug sind. Die Menschen sitzen im Schlafwagen."
A kid swings with his feet up in the air in a forest.,Ein Junge schaukelt mit den Füßen in der Luft in einem Wald.,"<|user|>
A kid swings with his feet up in the air in a forest. 
<|assistant|>:
Ein Kind schwingt seine Beine im Luftbewegung mit dem Kopf nach"
A man in a red shirt entering an establishment.,Ein Mann in einem roten Hemd betritt ein Etablissement.,"<|user|>
A man in a red shirt entering an establishment. 
<|assistant|>:
Ein Mann mit rotem Hemd, der ein Geschäft betreten möchte. "
Two men wearing swim trunks jump in the air at a moderately populated beach.,Zwei Männer in Badehosen springen auf einem mäßig belebten Strand in die Luft.,"<|user|>
Two men wearing swim trunks jump in the air at a moderately populated beach. 
<|assistant|>:
Zwei Männer mit Schwimmhose springen auf einem belebten Strand im Luft"
A toddler is cooking with another person.,Ein kleines Kind kocht mit einer anderen Person.,"<|user|>
A toddler is cooking with another person. 
<|assistant|>:
Ein Kleinkind kocht mit einem anderen Personen in einer Kochküche zu."
A father-figure and two children outside their home doing yard work such as using a hoe on the grass and planting a tree.,Eine Vaterfigur und zwei Kinder machen vor ihrem Zuhause Gartenarbeit wie den Rasen mit einer Gartenhacke zu bearbeiten und einen Baum zu pflanzen.,"<|user|>
A father-figure and two children outside their home doing yard work such as using a hoe on the grass and planting a tree. 
<|assistant|>:
Ein Vater und zwei Kinder im Freien machen Arbeit, die sich an einem Hof befindet"
A man cooking food on the stove.,Ein Mann bereitet am Herd Essen zu.,"<|user|>
A man cooking food on the stove. 
<|assistant|>:
Ein Mann kocht auf der Wokkette Essen zu. 
Dies"
A man in jeans at the beach playing with a red ball.,Ein Mann in Jeans spielt an einem Strand mit einem roten Ball.,"<|user|>
A man in jeans at the beach playing with a red ball. 
<|assistant|>:
Ein Mann im Jean spielt mit einem roten Ball am Strand. 
"
People walking down sidewalk next to a line of stores.,Leute gehen auf einem Gehsteig neben einer Reihe von Geschäften.,"<|user|>
People walking down sidewalk next to a line of stores. 
<|assistant|>:
Leute gehen auf dem Gehweg neben einer Reihe von Geschäften herunter,"
A wakeboarder performs a flip while being towed at high speed.,Ein Wakeboarder macht einen Salto während er bei hoher Geschwindigkeit an einem Seil gezogen wird.,"<|user|>
A wakeboarder performs a flip while being towed at high speed. 
<|assistant|>:
Ein Wakeskater führt mit einer Flipperbewegung bei hohem Gesch"
A large group of people fill a street.,Eine große Menschenmenge füllt eine Straße.,"<|user|>
A large group of people fill a street. 
<|assistant|>:
Eine große Gruppe von Menschen füllt eine Straße mitten in der Stadt auf einer W"
A man on a tag line going into the water.,Ein Mann an einem Halteseil geht ins Wasser.,"<|user|>
A man on a tag line going into the water. 
<|assistant|>:
Ein Mann mit einem Seil, der in das Wasser fährt. 
D"
A woman in jeans walks by a bus with an ad depicting a woman peering over her sunglasses.,"Eine Frau in Jeans läuft vor einem Bus vorbei, auf dem eine Werbung eine Frau zeigt, die über den Rand ihrer Sonnenbrille blickt.","<|user|>
A woman in jeans walks by a bus with an ad depicting a woman peering over her sunglasses. 
<|assistant|>:
Eine Frau mit Jeanen geht vor einem Bus entlang, der eine Wandpl"
A man in a pink shirt is sitting in the grass and a ball is in the air.,Ein Mann in einem pinken Hemd sitzt auf dem Gras und ein Ball ist in der Luft.,"<|user|>
A man in a pink shirt is sitting in the grass and a ball is in the air. 
<|assistant|>:
Ein Mann mit einem rosa Oberteil sitzt im Gras und ein Ball befindet sich"
A car parked at the beach.,Ein am Strand geparktes Auto.,"<|user|>
A car parked at the beach. 
<|assistant|>:
Ein Auto, das am Strand parkt ist.  
Der Parkplatz an dem"
Two men wearing black in a city,Zwei Männer in Schwarz in einer Stadt,"<|user|>
Two men wearing black in a city 
<|assistant|>:
Zwei Männer, die schwarz sind. In einer Stadt. 10 Pro"
The man in the yellow pants is raising his arms.,Der Mann in der gelben Hose hebt seine Arme.,"<|user|>
The man in the yellow pants is raising his arms. 
<|assistant|>:
Der Mann im gelben Hosen hebt seine Arme hoch. 
Ein Jun"
Two men wearing hats and using walking sticks are walking near a body of water during sundown.,Zwei Männer mit Hüten und Spazierstöcken schlendern neben einem Gewässer bei Sonnenuntergang.,"<|user|>
Two men wearing hats and using walking sticks are walking near a body of water during sundown. 
<|assistant|>:
Zwei Männer mit Mützen und Gehstühlen gehen während Sonnab"
A cheerleading team doing a routine on chairs.,Ein Cheerleaderteam macht eine Übung auf Stühlen.,"<|user|>
A cheerleading team doing a routine on chairs. 
<|assistant|>:
Eine Cheerleadergruppe macht auf Stühlen einen Trick, bei dem"
A boy is playing checkers with an adult shown off-screen while a girl looks on.,Ein Junge spielt mit einem Erwachsenen außerhalb des Bildes Dame während ein Mädchen zusieht.,"<|user|>
A boy is playing checkers with an adult shown off-screen while a girl looks on. 
<|assistant|>:
Ein Junge spielt Schach, während ein Mädchen zuschaut und auf"
A crowd of people out for some fun in public park.,"Eine Gruppe Menschen, die sich in einem öffentlichen Park amüsieren wollen.","<|user|>
A crowd of people out for some fun in public park. 
<|assistant|>:
Eine Menschenmenge im Freien, um etwas frei zu spielen und sich mit"
A man sits on a bench holding his dog and looking at the water.,Ein Mann sitzt auf einer Bank während er seinen Hund hält und aufs Wasser blickt.,"<|user|>
A man sits on a bench holding his dog and looking at the water. 
<|assistant|>:
Ein Mann sitzt auf einer Bank und hält seinen Hund, der im Wasser sch"
A boy and his younger brother playing together at the playground.,Ein Junge und sein jüngerer Bruder spielen gemeinsam auf einem Spielplatz.,"<|user|>
A boy and his younger brother playing together at the playground. 
<|assistant|>:
Ein Junge und sein jüngerer Bruder spielen zusammen am Spielplatz herum"
A woman in blue looks in a black leather bag while sitting on a bench during a sunny afternoon while people and limousines passed behind her.,Ein blau gekleidete Frau sieht in eine schwarze Ledertasche während sie an einem sonnigen Nachmittag auf einer Bank sitzt und Menschen und Autos hinter ihr vorbeiziehen.,"<|user|>
A woman in blue looks in a black leather bag while sitting on a bench during a sunny afternoon while people and limousines passed behind her. 
<|assistant|>:
Eine Frau mit blauem Lederschnurchen sitzt auf einer Bank,"
The brown dog is standing on the sandy beach.,Der braune Hund steht auf dem Sandstrand.,"<|user|>
The brown dog is standing on the sandy beach. 
<|assistant|>:
Der braune Hund steht am Sandstrand an der Küste. Die Bande ist"
"A woman is sitting with a basket of cloth, surrounded by cloth.","Eine Frau Sitzt mit einem Korb voller Stoff, umgeben von Stoff.","<|user|>
A woman is sitting with a basket of cloth, surrounded by cloth. 
<|assistant|>:
Eine Frau sitzt mit einem Eimer von Stoff umgeben und ist dabei zwischen B"
A man is grilling out in his backyard.,Ein Mann grillt im Freien in seinem Hof.,"<|user|>
A man is grilling out in his backyard. 
<|assistant|>:
Ein Mann braucht im Backyard sein Grillen zu laden. 
"
A woman sings in a club with a guitarist behind her.,Eine Frau singt in einem Klub mit einem Gitarristen hinter ihr.,"<|user|>
A woman sings in a club with a guitarist behind her. 
<|assistant|>:
Eine Frau singt bei einem Club mit Gitarrist und einer Sängerin hinter ihr"
Guitar player performs at a nightclub red guitar.,Gitarristin spielt in einem Nachtklub auf einer roten Gitarre.,"<|user|>
Guitar player performs at a nightclub red guitar. 
<|assistant|>:
Ein Gitarrist spielt in einem Nachtclub mit einer roten Gitarr"
A child sitting on a lawn chair looking up at the camera,Ein Kind sitzt auf einem Gartenstuhl und sieht zur Kamera auf,"<|user|>
A child sitting on a lawn chair looking up at the camera 
<|assistant|>:Ein Kind sitzt auf einem Launchen und schaut in die Kamera.  
"
Two ladies and three men looking at the ocean.,Zwei Frauen und drei Männer blicken auf den Ozean.,"<|user|>
Two ladies and three men looking at the ocean. 
<|assistant|>:
Zwei Frauen und drei Männer schauen auf den Meer. 1970"
A female performer with a violin plays on a street while a woman with a blue guitar looks on.,Eine Musikantin mit einer Violine spielt auf der Straße während eine Frau mit einer blauen Gitarre zusieht.,"<|user|>
A female performer with a violin plays on a street while a woman with a blue guitar looks on. 
<|assistant|>:
Eine Tänzerin mit einem Violine spielt auf einer Straße, während eine Frau"
A young girl swimming in a pool,Ein junges Mädchen schwimmt in einem Pool,"<|user|>
A young girl swimming in a pool 
<|assistant|>:
Ein kleines Mädchen schwimmt im Pool. 10 Jahre alt ist"
Several children are outdoors getting ready to play tug-of-war.,Mehrere Kinder sind im Freien und bereiten sich auf Tauziehen vor.,"<|user|>
Several children are outdoors getting ready to play tug-of-war. 
<|assistant|>:
Mehrere Kinder sind im Freien, um sich zu bereiten für Tüfteln"
Three teenagers in a subway playing around.,Drei Teenager in einer U-Bahn albern herum.,"<|user|>
Three teenagers in a subway playing around. 
<|assistant|>:
Drei Teens spielend im U-Bahn, die umgeben sind und an den"
A brown dog walks in the grass with its tongue hanging out.,Ein brauner Hund läuft durchs Gras und seine Zunge hängt heraus.,"<|user|>
A brown dog walks in the grass with its tongue hanging out. 
<|assistant|>:
Ein brauner Hund läuft im Gras mit seinem Vorderbeinen"
"People sitting in the grass outside a building, taking a break.",Leute sitzen vor einem Gebäude im Gras und machen Pause.,"<|user|>
People sitting in the grass outside a building, taking a break. 
<|assistant|>:
Leute sitzen im Gras draußen und müssen auf ein Gebäude fahren um"
Shirtless guy staring off in the distance while three woman are walking past a crowd sitting outside a cafe.,Mann ohne Hemd starrt vor einem Café in die Ferne während drei Frauen an einer Menschenmenge vorbeigehen.,"<|user|>
Shirtless guy staring off in the distance while three woman are walking past a crowd sitting outside a cafe. 
<|assistant|>:
Ein Mann mit nacktem Oberkörper schaut aus, während drei Frauen vor"
Two young boys putting fruit on the bike.,Zwei Jungen packen Obst auf das Fahrrad.,"<|user|>
Two young boys putting fruit on the bike. 
<|assistant|>:
Zwei kleine Jungen setzen auf dem Fahrrad Obst an. 20 "
"A man in a black t-shirt, cap and jeans is playing drums on an upside down yellow pail.",Ein Mann in einem schwarzen T-Shirt spielt Trommel auf einem umgedrehten gelben Kübel.,"<|user|>
A man in a black t-shirt, cap and jeans is playing drums on an upside down yellow pail. 
<|assistant|>:
Ein Mann mit schwarzem T-Shirn und Kopfbedeckung"
A young female artists paints an image of a woman on a wall.,Eine junge Künstlerin malt ein Bild einer Frau auf eine Wand.,"<|user|>
A young female artists paints an image of a woman on a wall. 
<|assistant|>:
Eine junge Künstlerin malt ein Bild von einer Frau auf eine Wand aus."
Two female members of team USA performing a jump high-five surrounded by two other female members.,"Zwei Spielerinnen der US-Nationalmannschaft klatschen im Sprung ab, umgeben von zwei weiteren Spielerinnen.","<|user|>
Two female members of team USA performing a jump high-five surrounded by two other female members. 
<|assistant|>:
Zwei Frauen der Mannschaft von Team USA führen eine Sprunghüpferei an,"
A man stirring a pot of liquid in this kitchen.,Ein Mann rührt in einem Topf in seiner Küche.,"<|user|>
A man stirring a pot of liquid in this kitchen. 
<|assistant|>:
Ein Mann, der eine Tasse mit einem Liquid auf seiner Küche kocht"
The boy is wakeboarding on the lake.,Ein Junge beim Wakeboarden auf dem See.,"<|user|>
The boy is wakeboarding on the lake. 
<|assistant|>:
Ein Junge macht Waterski auf dem See. Die Wasserbahn ist in der"
A man is working a hotdog stand.,Ein Mann arbeitet an einem Hotdog-Stand.,"<|user|>
A man is working a hotdog stand. 
<|assistant|>:
Ein Mann arbeitet an einem Hotdough-Stand. 
Dieser M"
A large group of people of various ages and genders sit outside together.,Eine große Gruppe von Menschen unterschiedlichen Alters und Geschlechts sitzt gemeinsam im Freien.,"<|user|>
A large group of people of various ages and genders sit outside together. 
<|assistant|>:
Eine große Gruppe von Menschen, die verschieden alt und Geschlecht hat. In einem großen"
A blond-haired woman is pouring drinks at a bar.,Eine blonde Frau schenkt an einer Bar Getränke ein.,"<|user|>
A blond-haired woman is pouring drinks at a bar. 
<|assistant|>:
Eine Blonde Frau, die ein Getränk trinkt an einer Bar ausgest"
A small child wearing a blue and white t-shirt happily holding a yellow plastic alligator.,Ein kleines Kind in einem blau-weißen T-Shirt hält glücklich einen gelben Plastik-Alligator.,"<|user|>
A small child wearing a blue and white t-shirt happily holding a yellow plastic alligator. 
<|assistant|>:Ein kleines Kind in einem blau und Weiß T-Shirt, das hü"
A woman with pink hair dressed in black talks to a man.,Eine schwarz gekleidete Frau mit rosa Haaren spricht mit einem Mann.,"<|user|>
A woman with pink hair dressed in black talks to a man. 
<|assistant|>:
Eine Frau mit rosa Haare und einem schwarzen Haar, der einen Mann"
The man in a Japanese cooking suit is preparing a meal for two people.,Der Mann im japanischen Kochgewand bereitet ein Essen für zwei Personen zu.,"<|user|>
The man in a Japanese cooking suit is preparing a meal for two people. 
<|assistant|>:
Der Mann im japanischen Kochkostüm bereitet zwei Personen ein Essen zu"
"A girl hops across the river, from rock to rock.",Ein Mädchen springt von Fels zu Fels über den Bach.,"<|user|>
A girl hops across the river, from rock to rock. 
<|assistant|>:Ein Mädchen springt von einem Felsen über den Fluss aus zu seinem Blick"
A male worker with his tool box is kneeling next to two women.,Ein Arbeiter mit Werkzeugkiste kniet neben zwei Frauen.,"<|user|>
A male worker with his tool box is kneeling next to two women. 
<|assistant|>:
Ein Mann mit seinem Werkzeugkasten kniet neben zwei Frauen. Knie"
An older man is opening his arms wide and looking perplexed.,Ein älterer Mann breitet seine Arme aus und blickt verblüfft.,"<|user|>
An older man is opening his arms wide and looking perplexed. 
<|assistant|>:
Ein älterer Mann öffnet seine Arme und schaut erstrittig aus"
A child in a white karate outfit practicing a move,Ein Kind in einem weißen Karateanzug übt eine Bewegung.,"<|user|>
A child in a white karate outfit practicing a move 
<|assistant|>:Ein Kind im weißen Karatestiefen macht einen Schlag.  
"
Three men in same colored vests are in the outdoors.,Drei Männer in gleichfarbigen Westen halten sich im Freien auf.,"<|user|>
Three men in same colored vests are in the outdoors. 
<|assistant|>:
Drei Männer mit ähnlichen Weste sind im Freien zu sehen. 
E"
A woman takes a picture of a baby wearing a pink hat while a man carries her.,"Eine Frau macht ein Bild von einem Baby mit rosa Mütze, das von einem Mann getragen wird.","<|user|>
A woman takes a picture of a baby wearing a pink hat while a man carries her. 
<|assistant|>:
Eine Frau macht ein Foto von einem Baby mit rosa Mütze, während"
A group of mostly asian children sitting at cubicles in blue chairs.,Eine Gruppe überwiegend asiatischer Kinder sitzt in Arbeitsnischen verteilt auf blauen Stühlen.,"<|user|>
A group of mostly asian children sitting at cubicles in blue chairs. 
<|assistant|>:
Mehrere ausschließlich Asiatische Kinder sitzen im Keller von blauen"
A young boy in a soccer uniform crying into his palms.,Ein kleiner Junge im Fußballdress hält die Hände vors Gesicht und weint.,"<|user|>
A young boy in a soccer uniform crying into his palms. 
<|assistant|>:
Ein kleiner Junge im Fußballkleid, der sich mit den Händen aus"
A happy woman is preparing a refreshment at a coffee shop.,Eine glückliche Frau bereitet in einem Coffee-Shop eine Erfrischung zu.,"<|user|>
A happy woman is preparing a refreshment at a coffee shop. 
<|assistant|>:
Eine glückliche Frau bereitet sich auf einen Essens in einem Café vor."
A construction worker is driving heavy equipment at a work site.,Ein Bauarbeiter bewegt schweres Gerät auf einer Baustelle.,"<|user|>
A construction worker is driving heavy equipment at a work site. 
<|assistant|>:
Ein Bauarbeiter fährt auf einer Arbeitssite Heavy Equipment her"
"A woman runs after making a hit in women's softball, the catcher rises to her feet.",Eine Frau läuft beim Softball nach einem erfolgreichen Schlag los während die Fängerin sich erhebt.,"<|user|>
A woman runs after making a hit in women's softball, the catcher rises to her feet. 
<|assistant|>:
Eine Frau läuft nach einem Schlag der Catcherspitze und die H"
A man in a work uniform passing a tool to another person.,Ein Mann in Arbeitskleidung reicht einer anderen Person ein Werkzeug.,"<|user|>
A man in a work uniform passing a tool to another person. 
<|assistant|>:
Ein Mann im Arbeitsanzug, der einen Werkzeugsatz an eine andere Person h"
A group of people are climbing in cold weather.,Eine Gruppe klettert bei kaltem Wetter.,"<|user|>
A group of people are climbing in cold weather. 
<|assistant|>:
Eine Gruppe von Menschen klettert im kalten Wetter auf einem Berg. 
"
A mountaineer about to descend down a mountain with a blue helmet on.,Ein Bergsteiger mit einem blauen Helm beginnt mit dem Abstieg.,"<|user|>
A mountaineer about to descend down a mountain with a blue helmet on. 
<|assistant|>:
Ein Bergsteiger ist mit einem blauen Helm im Bauch zu erheben"
A man doing handstand on top of a round statue.,Ein Mann macht einen Handstand auf einer runden Skulptur.,"<|user|>
A man doing handstand on top of a round statue. 
<|assistant|>:
Ein Mann macht Handstand auf einer Statue hoch in der Luft. 
D"
A child sitting at a restaurant table holding a paper mask against his face.,Ein Kind sitzt an einem Restauranttisch und hält eine Papiermaske vors Gesicht.,"<|user|>
A child sitting at a restaurant table holding a paper mask against his face. 
<|assistant|>:
Ein Kind sitzt an einem Restaurant-Tisch und hält einen Papier"
A brown dog wades into a lake to retrieve a stick.,"Ein brauner Hund watet in einen See, um einen Stock zu holen.","<|user|>
A brown dog wades into a lake to retrieve a stick. 
<|assistant|>:Ein brauner Hund taucht in ein Gewässer, um eine Stange"
